sum taxonomy	mock_sanger
;;;;;	1
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	1
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	1
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	1
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
;;Prymnesiales;Prymnesiaceae;Prymnesium;	1
