sum taxonomy	mock_sanger
;;;;;	2
Bacillariophyta;;;;;	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	1
;Cryptophyta;;;;	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;Peridiniales;Heterocapsaceae;;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;	1
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
