sum taxonomy	run1	run2
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata	1	1
Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:AAG4515	1	1
Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:ACM6964	1	1
Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:ACQ1281	1	1
Annelida;Polychaeta;Phyllodocida;Hesionidae;NA;Hesionidae sp. BOLD:AAG1042	1	1
Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis	1	1
Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;;Alpheidae sp. BOLD:ACQ5750	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ2777	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ4373	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ6887	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli	1	1
Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;Menippe mercenaria	1	1
Arthropoda;Malacostraca;Decapoda;Hippolytidae;;Hippolytidae sp. BOLD:AAF4969	1	1
Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus	1	1
Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps	1	1
Arthropoda;Malacostraca;Decapoda;Palaemonidae;;Palaemonidae sp. BOLD:AAI2206	1	1
Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi	1	1
Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis	1	1
Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus	1	1
Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii	1	1
Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:AAR9230	1	1
Arthropoda;Malacostraca;;;;Malacostraca sp. BOLD:ACQ1097	1	1
Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau	1	1
Chordata;Actinopteri;Blenniiformes;Blenniidae;;Blenniidae sp. BOLD:ACP9792	1	1
Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum	1	1
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata	1	1
Echinodermata;Ophiuroidea;Ophiurida;NA;NA;Ophiurida sp. BOLD:ACQ3159	1	1
Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi	1	1
Mollusca;Gastropoda;NA;NA;NA;Gastropoda sp. BOLD:ACQ5764	1	1
Mollusca;Gastropoda;NA;Placobranchidae;Elysia;Elysia subornata	1	1
Platyhelminthes;NA;Polycladida;Leptoplanidae;Hoploplana;Hoploplana elisabelloi (nomen nudum)	1	1
Platyhelminthes;NA;Polycladida;Pseudocerotidae;Pseudoceros;Pseudoceros concinnus	1	1
Platyhelminthes;;Polycladida;Pseudocerotidae;Pseudoceros;Pseudoceros sp. m SCK-2017	1	1
