Taxonomy	HiSeq_Length	MiSeq_Length
Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau	10.03611943	9.869492835
Chordata;Actinopteri;Blenniiformes;Blenniidae;;Blenniidae sp. BOLD:ACP9792	6.740491614	6.652000713
Annelida;Polychaeta;;;;Polychaeta sp. BOLD:ACM6964 a	13.08383169	13.11463226
unidentified a		
Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis	6.773204572	6.284856412
Echinodermata;Ophiuroidea;Ophiurida;;;Ophiurida sp. BOLD:ACQ3159	5.13917877	5.241988228
Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:AAR9230	4.83070368	5.24436649
Arthropoda;Malacostraca;Decapoda;Hippolytidae;;Hippolytidae sp. BOLD:AAF4969	4.079116696	3.95237529
Annelida;Polychaeta;Phyllodocida;Hesionidae;;Hesionidae sp. BOLD:AAG1042	3.962864033	3.972887805
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ6887	3.75901634	4.046613949
Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus	3.695482908	4.025209584
Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;Menippe mercenaria	3.727384802	3.831678459
Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum	3.797406755	3.608716333
Annelida;Polychaeta;;;;Polychaeta sp. BOLD:AAG4515	3.492716635	3.465426006
Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis	3.017973202	3.049230037
Annelida;;;;;Annelida sp. BOLD:ACQ1281	2.986071309	2.986800642
Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi	2.674081604	2.797134193
Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus	2.180142964	2.21267614
Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps	1.711347341	1.708781735
Mollusca;Gastropoda;;Placobranchidae;Elysia;Elysia subornata	1.679986158	1.713240977
Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi	1.673497637	1.60651644
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata	1.645651069	1.609191985
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ4373	1.283104973	1.385338011
Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii	1.315277222	1.332421666
Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli	1.11899947	1.079433973
Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis b	1.468027814	1.486414174
Annelida;Polychaeta;Phyllodocida;Polynoidae;; b		
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata c	1.380703139	1.365122778
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe; c		0
Platyhelminthes;;;;;Platyhelminthes sp. FLTWO228-14	0.414724616	0.426898151
