exp	hi	mi
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas	8.86	9.15
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira	0.01	0
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;	12.21	13.19
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella	9.73	10.4
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris	24.31	24.14
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis	0	0
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas	17.62	16.42
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas	27.15	26.64
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa	0	0
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa 	0	0
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium	0.01	0.03
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis	0	0
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium	0.01	0
