taxon	hi	mi
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;;  c	15.55	16.08
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;; c	0.02	0.01
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	0.58	0.51
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella d	0.34	0.04
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;	0.47	0.48
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	0.56	0.49
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	0.65	0.63
;;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum	15.61	16.13
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	14.01	12.42
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	23.58	23.47
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	0.00	0.07
;Dinophyceae;Peridiniales;;;  e	26.63	26.79
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;	0.00	0.41
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsi	1.50	1.49
