taxon	hi	mi
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	15.95	20.31
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	0.08	0.12
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	0.06	0.00
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;	0.05	0.07
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera	0.04	0.00
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	0.04	0.06
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	17.23	5.43
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	15.87	7.71
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	17.48	21.87
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa niei 	0.03	0.03
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa c	26.98	26.98
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	5.84	7.41
