taxon	Hi	Mi
Annelida;Polychaeta;;;;Polychaeta sp. BOLD:ACM6964	0.13	13.11
Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau	10.04	9.87
Chordata;Actinopteri;Blenniiformes;Blenniidae;;Blenniidae sp. BOLD:ACP9792	6.74	6.65
Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis	6.77	6.28
Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:AAR9230	4.83	5.24
Echinodermata;Ophiuroidea;Ophiurida;;;Ophiurida sp. BOLD:ACQ3159	5.14	5.24
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ6887	3.76	4.05
Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus	3.70	4.03
Annelida;Polychaeta;Phyllodocida;Hesionidae;;Hesionidae sp. BOLD:AAG1042	3.96	3.97
Arthropoda;Malacostraca;Decapoda;Hippolytidae;;Hippolytidae sp. BOLD:AAF4969	4.08	3.95
Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;Menippe mercenaria	3.73	3.83
Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum	3.80	3.61
Annelida;Polychaeta;;;;Polychaeta sp. BOLD:AAG4515	3.49	3.47
Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis	3.02	3.05
Annelida;;;;;Annelida sp. BOLD:ACQ1281	2.99	2.99
Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi	2.67	2.80
Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus	2.18	2.21
Mollusca;Gastropoda;;Placobranchidae;Elysia;Elysia subornata	1.68	1.71
Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps	1.71	1.71
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata	1.65	1.61
Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi	1.67	1.61
Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis  	0.03	1.49
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ4373	1.28	1.39
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata	0.01	1.37
Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii	1.32	1.33
Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli	1.12	1.08
Platyhelminthes;;;;;Platyhelminthes sp. FLTWO228-14	0.41	0.43
Mollusca;Gastropoda;;;;Gastropoda sp. BOLD:ACQ5764	0.29	0.30
Arthropoda;Malacostraca;;;;Malacostraca sp. BOLD:ACQ1097	0.15	0.15
Arthropoda;Malacostraca;Decapoda;Alpheidae;;Alpheidae sp. BOLD:ACQ5750	0.13	0.12
Platyhelminthes;;;;;Platyhelminthes sp. FLTWO130-14	0.00	0.03
Arthropoda;Malacostraca;Decapoda;Palaemonidae;;Palaemonidae sp. BOLD:AAI2206	0.03	0.03
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ2777	0.01	0.00
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe; c	1.37	0.00
Annelida;Polychaeta;Phyllodocida;Polynoidae;; b	1.44	0.00
unidentified	12.95	0.00
