taxon	hi	mi
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides; 	89.7121	50.3360
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	4.4063	4.0459
Firmicutes;Clostridia;Clostridiales;Clostridiaceae;;	3.7659	4.1191
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	0.5261	0.5083
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0.4282	0.4499
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] cocleatum	0.3678	0.3636
Firmicutes;Clostridia;Clostridiales;;;	0.2918	0.3107
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus 	0.1398	39.6203
Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;	0.0453	0.0404
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0.0435	0.0431
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	0.0341	0.0377
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	0.0304	0.0275
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;	0.0207	0.0165
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0.0043	0.0045
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phytofermentans	0.0008	0.0000
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus	0.0007	0.0000
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] methylpentosum	0.0006	0.0000
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis	0.0004	0.0000
Firmicutes;Clostridia;Clostridiales;;Howardella;Howardella ureilytica	0.0003	0.0000
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0.0003	0.0000
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0.0002	0.0000
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis	0.0000	0.0048
