exp	hi	mi
4.26530	3.7659	4.1191
4.26530	4.4063	4.0459
0.42653	0.5261	0.5083
0.42653	0.4282	0.4499
0.42653	0.3678	0.3636
0.42653	0.2918	0.3107
0.04265	0.0341	0.0377
0.04265	0.0453	0.0404
0.04265	0.0435	0.0431
0.04265	0.0304	0.0275
4.27E-03	0.0000	0.0048
4.27E-03	0.0207	0.0165
4.27E-03	0.0043	0.0045
4.27E-03	0.00	0.00
4.27E-04	0.00	0.00
4.27E-04	0.0002	0.0000
4.27E-04	0.0006	0.0000
4.27E-04	0.0008	0.0000
4.27E-04	0.0003	0.0000
4.27E-04	0.00	0.00
4.27E-04	0.00	0.00
4.27E-04	0.0004	0.0000
4.27E-04	0.0003	0.0000
4.27E-04	0.0007	0.0000
