	taxon	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	sea4_Mi_sk	sea5_Mi_sk	sea6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2	sea4_Mi_b2	sea5_Mi_b2	sea6_Mi_b2	land4_Mi_bl	land5_Mi_bl	land6_Mi_bl	sea4_Mi_bl	sea5_Mi_bl	sea6_Mi_bl	land4_Mi_vs	land5_Mi_vs	land6_Mi_vs	sea4_Mi_vs	sea5_Mi_vs	sea6_Mi_vs
0	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0.0	0.0	0.0	9648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis	0.0	0.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus	0.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	All	0.0	0.0	0.0	9933.0	430.0	3.0	0.0	0.0	0.0	41124.0	1143.0	3599.0	0.0	0.0	0.0	126.0	0.0	9.0	0.0	0.0	0.0	126.0	0.0	9.0
6	Chordata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41124.0	1143.0	3599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Chordata;Actinopteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Chordata;Actinopteri;Clupeiformes;Engraulidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	1.0	0.0	0.0	0.0	97.0	0.0	1.0
10	Chordata;Actinopteri;Perciformes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
11	Chordata;Actinopteri;Perciformes;Cottidae;Cottus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	1.0
12	Chordata;Chondrichthyes;Myliobatiformes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	1.0
13	Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
