	taxon	land1_x	land2_x	land3_x	sea1_x	sea2_x	sea3_x	land4	land5	land6	sea4	sea5	sea6	land1_y	land2_y	land3_y	sea1_y	sea2_y	sea3_y
0	Chordata	35849.0	8173.0	37669.0	502.0	143.0	412.0	0.0	0.0	0.0	8474.0	11505.0	3552.0	0.0	0.0	0.0	0.0	0.0	0.0
1	Chordata;Actinopteri	40.0	126.0	95.0	27989.0	10813.0	24573.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
3	Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni	0.0	38.0	0.0	55.0	1793.0	702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	55.0	1793.0	702.0
4	Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca	0.0	56.0	0.0	0.0	1.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	1.0	54.0
5	Chordata;Actinopteri;;Pomacanthidae;Centropyge;Centropyge flavissima	15.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Chordata;Actinopteri;;Pomacentridae	0.0	2.0	0.0	6.0	164.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis	27.0	55.0	66.0	1438.0	9859.0	2078.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	57.0	66.0	1444.0	10023.0	2081.0
8	Chordata;Actinopteri;;Pomacentridae;Chrysiptera;Chrysiptera leucopoma	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
9	Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus	0.0	0.0	21.0	65.0	234.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	65.0	234.0	143.0
10	Chordata;Actinopteri;;Pomacentridae;Neopomacentrus	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Chordata;Actinopteri;;Pomacentridae;Pomachromis;Pomachromis richardsoni	0.0	0.0	0.0	6.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	25.0
12	Chordata;Actinopteri;;Sciaenidae;Argyrosomus;Argyrosomus japonicus	0.0	0.0	0.0	2047.0	1086.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Chordata;Actinopteri;;Sphyraenidae;Sphyrae;Sphyraena helleri	0.0	0.0	0.0	0.0	805.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	810.0	59.0
14	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus striatus	181.0	0.0	0.0	57.0	20.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	57.0	20.0	82.0
16	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
