12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
merged_12S_1	91	303	1228	4651	89650	363	96286			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_2	0	0	4258	13732	30835	0	48825			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_3	0	85	19243	16	15132	19	34495			merged	Chordata;Actinopteri;;Malacanthidae;Malacanthus;Malacanthus brevirostris
merged_12S_4	33	38	4886	10731	7441	76	23205			merged	Chordata;Actinopteri;;;;
merged_12S_5	2	143	1849	25	20777	18	22814			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
merged_12S_6	20	17	8911	1782	6333	15	17078			merged	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialu;Medialuna californiensis
merged_12S_7	0	8	9290	4349	3167	15	16829			merged	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens
merged_12S_8	27	55	1438	9859	2078	66	13523			merged	Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
merged_12S_9	0	18	12	0	13313	24	13367			merged	Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;
merged_12S_10	0	101	1523	10222	712	57	12615			merged	Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
merged_12S_11	0	0	8796	0	0	0	8796			merged	Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
merged_12S_12	0	6	4755	313	3502	0	8576			merged	Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus
merged_12S_13	0	0	0	0	5923	0	5923			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_14	125	50	999	1232	3078	47	5531			merged	Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_12S_15	0	0	5480	0	0	0	5480			merged	Chordata;Aves;Pelecaniformes;Sulidae;Sula;
merged_12S_16	0	7	16	0	5307	0	5330			merged	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
merged_12S_17	0	0	39	2461	2019	16	4535			merged	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
merged_12S_18	0	0	0	0	4516	0	4516			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
reverse_12S_1	1385	84	0	0	7	2959	4435		reverse		
merged_12S_19	0	9	2491	594	910	0	4004			merged	Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus
merged_12S_20	0	0	0	0	3724	0	3724			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_21	0	0	3614	0	0	0	3614			merged	Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei
merged_12S_22	0	0	282	2167	1005	0	3454			merged	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus
merged_12S_23	0	0	3374	0	0	0	3374			merged	Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus filamentosus
merged_12S_24	0	0	2041	1084	0	0	3125			merged	Chordata;Actinopteri;;Sciaenidae;;
merged_12S_25	0	0	55	1785	702	0	2542			merged	Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
merged_12S_26	0	0	0	0	2325	0	2325			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_27	0	0	0	0	2304	0	2304			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
reverse_12S_2	2129	40	0	0	1	56	2226		reverse		
merged_12S_28	0	0	2182	0	0	0	2182			merged	Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus
merged_12S_29	0	5	1817	0	152	0	1974			merged	Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
merged_12S_30	0	43	24	0	1820	0	1887			merged	Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
reverse_12S_3	263	40	0	0	1	1479	1783		reverse		
merged_12S_31	0	0	0	1637	0	0	1637			merged	Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus
merged_12S_32	0	11	954	251	397	10	1623			merged	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;
merged_12S_33	0	0	0	1387	0	0	1387			merged	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
reverse_12S_4	218	40	0	0	2	1085	1345		reverse		
reverse_12S_5	213	147	0	0	3	936	1299		reverse		
merged_12S_34	0	0	0	0	1280	0	1280			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_35	0	0	0	0	1259	0	1259			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
reverse_12S_6	126	23	0	0	2	966	1117		reverse		
reverse_12S_7	272	38	0	0	1	798	1109		reverse		
merged_12S_36	0	0	0	0	1096	0	1096			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
reverse_12S_8	491	112	0	0	0	357	960		reverse		
reverse_12S_9	210	27	0	0	1	681	919		reverse		
merged_12S_37	0	0	831	73	0	0	904			merged	Chordata;Actinopteri;Gobiiformes;Gobiidae;;
merged_12S_38	0	0	0	805	59	0	864			merged	Chordata;Actinopteri;;Sphyraenidae;Sphyrae;Sphyraena helleri
merged_12S_39	0	0	0	772	0	0	772			merged	Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;
merged_12S_40	0	0	0	0	752	0	752			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
