12S_seq_number	SkHi_12S_5.C2.S1540.L007	SkHi12S_8.C4.S900.L007	SkHi12S_AN1H.S1214.L007	SkHi12S_AN2C.S1215.L007	SkHi12S_ANB2.S1217.L007	SkHi12S_C1g.S885.L007	Forward	reverse	merged	sumtax Confidence
forward_12S_1	0	1	14	44	219	3	forward			Chordata;Actinopteri;Labriformes;Labridae	0.991112631
forward_12S_10	0	0	16	11	0	0	forward			Chordata	0.995514746
forward_12S_100	0	0	3	0	0	0	forward			Chordata	0.996926974
forward_12S_101	0	0	3	0	0	0	forward			Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	0.998655018
forward_12S_102	0	0	3	0	0	0	forward			Chordata;Actinopteri	0.996374738
forward_12S_103	0	0	3	0	0	0	forward			Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss	0.973182177
forward_12S_104	0	0	3	0	0	0	forward			Chordata	0.99623155
forward_12S_105	0	0	2	1	0	0	forward			Chordata	0.99572284
forward_12S_106	0	0	2	1	0	0	forward			Chordata	0.993852432
forward_12S_107	0	0	2	0	1	0	forward			Eukaryota	1
forward_12S_108	0	0	2	0	1	0	forward			Chordata	0.994273877
forward_12S_109	0	0	2	1	0	0	forward			Chordata	0.995952519
forward_12S_11	0	0	6	10	11	0	forward			Chordata;Actinopteri	0.9995621
forward_12S_110	0	0	2	0	1	0	forward			Chordata	0.998032174
forward_12S_111	0	0	2	0	1	0	forward			Chordata	0.997716629
forward_12S_112	0	0	2	0	1	0	forward			Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	0.998291346
forward_12S_113	0	0	2	0	1	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.9585314
forward_12S_114	0	0	2	0	1	0	forward			Chordata;Actinopteri	0.989428811
forward_12S_115	0	0	1	2	0	0	forward			Chordata	0.995608463
forward_12S_116	0	0	1	1	1	0	forward			Chordata	0.995651072
forward_12S_117	0	0	1	2	0	0	forward			Chordata	0.993502405
forward_12S_118	0	0	1	0	2	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.953619028
forward_12S_119	0	0	1	0	2	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.97011964
forward_12S_12	0	0	24	2	0	0	forward			Chordata	0.995230721
forward_12S_120	0	0	1	0	2	0	forward			Chordata;Actinopteri	0.989417274
forward_12S_121	0	0	0	3	0	0	forward			Chordata;Actinopteri	0.99870939
forward_12S_122	0	0	0	3	0	0	forward			Chordata;Actinopteri	0.99783707
forward_12S_123	0	0	0	3	0	0	forward			Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni	0.99057825
forward_12S_124	0	0	0	3	0	0	forward			Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni	0.989997764
forward_12S_125	0	0	0	3	0	0	forward			Chordata;Chondrichthyes	0.964338575
forward_12S_126	0	0	0	1	2	0	forward			Chordata	0.997050103
forward_12S_127	0	0	0	1	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.985128712
forward_12S_128	0	0	0	0	3	0	forward			Chordata	0.995622542
forward_12S_129	0	0	0	0	3	0	forward			Chordata	0.995192351
forward_12S_13	0	0	13	0	13	0	forward			Chordata;Actinopteri	0.990205172
forward_12S_130	0	0	0	0	3	0	forward			Chordata	0.995688771
forward_12S_131	0	0	0	0	3	0	forward			Chordata	0.995675544
forward_12S_132	0	0	0	0	3	0	forward			Chordata	0.99597181
forward_12S_133	0	0	0	0	3	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.961296215
forward_12S_134	0	0	0	0	3	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.974655217
forward_12S_135	0	0	0	0	3	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.982057667
forward_12S_136	0	0	0	0	3	0	forward			Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes	0.778776864
forward_12S_137	0	0	0	0	3	0	forward			Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica	0.934690178
forward_12S_138	1	0	0	0	1	0	forward			Chordata	0.99683953
forward_12S_139	1	0	1	0	0	0	forward			Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistapus;Balistapus undulatus	0.988664902
forward_12S_14	0	0	12	5	8	1	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.999670542
forward_12S_140	0	1	1	0	0	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Chlorurus;Chlorurus sordidus	0.991725976
forward_12S_141	0	1	0	1	0	0	forward			Chordata;Actinopteri;;Pomacentridae	0.94742564
forward_12S_142	0	1	1	0	0	0	forward			Chordata;Actinopteri;;Pomacentridae	0.914182315
forward_12S_143	0	1	0	0	1	0	forward			Chordata;Actinopteri	0.989117083
forward_12S_144	0	0	2	0	0	0	forward			Chordata	0.995896591
forward_12S_145	0	0	2	0	0	0	forward			Chordata	0.996701647
