	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	css1_Mi_sk	css2_Mi_sk	css3_Mi_sk	sand1_Mi_sk	sand2_Mi_sk	sand3_Mi_sk	css1_Mi_b2	css2_Mi_b2	css3_Mi_b2	sand1_Mi_b2	sand2_Mi_b2	sand3_Mi_b2
0	;;Rotaliida	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	;;Rotaliida;Glabratellidae;Planoglabratella;Planoglabratella opercularis	124.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	913.0	6.0	0.0	0.0	0.0
2	;Dictyochophyceae;Florenciellales;;Florenciella	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	133.0	15.0	7.0	0.0	0.0	2.0	126.0	13.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Acidobacteria	13.0	5.0	60.0	0.0	0.0	0.0	235.0	71.0	515.0	0.0	0.0	1.0	2.0	46.0	1.0	20.0	0.0	0.0	0.0	0.0	0.0	25.0	146.0	161.0
5	Acidobacteria;;;;Luteitalea;Luteitalea pratensis	57.0	109.0	131.0	0.0	0.0	0.0	709.0	909.0	2977.0	0.0	0.0	6.0	24.0	0.0	3.0	393.0	10.0	0.0	24.0	0.0	3.0	818.0	13.0	2.0
6	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae	164.0	8.0	22.0	0.0	0.0	0.0	253.0	99.0	669.0	0.0	0.0	0.0	0.0	68.0	3.0	0.0	0.0	0.0	1.0	148.0	1.0	29.0	19.0	12.0
7	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;Acidobacteria bacterium KBS 96	37.0	3.0	0.0	0.0	0.0	0.0	156.0	6.0	19.0	0.0	0.0	0.0	11.0	41.0	18.0	0.0	0.0	0.0	15.0	101.0	24.0	18.0	0.0	0.0
8	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin5257	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin6075	7.0	0.0	2.0	0.0	0.0	0.0	79.0	18.0	165.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	33.0	0.0	23.0	8.0	13.0
10	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Candidatus Koribacter versatilis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella paludicola	3.0	1.0	7.0	0.0	0.0	0.0	18.0	1.0	13.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Acidobacteria;Blastocatellia	61.0	65.0	90.0	0.0	0.0	0.0	986.0	194.0	1393.0	0.0	0.0	2.0	5.0	2.0	0.0	145.0	107.0	161.0	10.0	0.0	0.0	46.0	2.0	3.0
14	Acidobacteria;Blastocatellia;;;Stenotrophobacter	5.0	2.0	5.0	0.0	0.0	0.0	2.0	1.0	6.0	0.0	0.0	0.0	108.0	72.0	0.0	94.0	0.0	4.0	65.0	42.0	0.0	8.0	5.0	5.0
15	Acidobacteria;Blastocatellia;;;Stenotrophobacter;Stenotrophobacter terrae	117.0	85.0	305.0	0.0	0.0	1.0	126.0	114.0	405.0	0.0	0.0	1.0	3.0	3.0	0.0	457.0	5.0	3.0	3.0	3.0	0.0	452.0	7.0	58.0
