	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
0	;;Rotaliida	2.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	4.0
1	;;Rotaliida;Glabratellidae;Planoglabratella;Planoglabratella opercularis	127.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0
2	;Dictyochophyceae;Florenciellales;;Florenciella	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
3	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	157.0	0.0	0.0	157.0	74.0	0.0	0.0	70.0	144.0
4	Acidobacteria	78.0	0.0	0.0	78.0	568.0	0.0	0.0	254.0	822.0
5	Acidobacteria;;;;Luteitalea;Luteitalea pratensis	297.0	0.0	0.0	297.0	4117.0	0.0	0.0	484.0	4601.0
6	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae	194.0	0.0	0.0	194.0	261.0	0.0	0.0	760.0	1021.0
7	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;Acidobacteria bacterium KBS 96	40.0	0.0	0.0	40.0	85.0	0.0	0.0	96.0	181.0
8	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin5257	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
9	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin6075	9.0	0.0	0.0	9.0	263.0	0.0	0.0	0.0	263.0
10	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Candidatus Koribacter versatilis	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
11	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella paludicola	11.0	0.0	0.0	11.0	17.0	0.0	0.0	15.0	32.0
12	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
13	Acidobacteria;Blastocatellia	216.0	0.0	0.0	216.0	1573.0	0.0	0.0	1002.0	2575.0
14	Acidobacteria;Blastocatellia;;;Stenotrophobacter	12.0	0.0	0.0	12.0	9.0	0.0	0.0	0.0	9.0
15	Acidobacteria;Blastocatellia;;;Stenotrophobacter;Stenotrophobacter terrae	508.0	0.0	0.0	508.0	562.0	0.0	0.0	84.0	646.0
16	Acidobacteria;Blastocatellia;;;Tellurimicrobium;Tellurimicrobium multivorans	128.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0
17	Acidobacteria;Blastocatellia;;Pyrinomonadaceae	161.0	0.0	0.0	161.0	8.0	0.0	0.0	133.0	141.0
18	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum	875.0	0.0	0.0	875.0	902.0	0.0	0.0	1436.0	2338.0
19	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea	7.0	0.0	0.0	7.0	5.0	0.0	0.0	2318.0	2323.0
20	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea aridisoli	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
21	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa	8.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	8.0
22	Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus	340.0	0.0	0.0	340.0	78.0	0.0	0.0	20.0	98.0
23	Actinobacteria	1988.0	0.0	0.0	1988.0	1244.0	0.0	0.0	4093.0	5337.0
24	Actinobacteria;Acidimicrobiia	6.0	0.0	0.0	6.0	10.0	0.0	0.0	2.0	12.0
25	Actinobacteria;Acidimicrobiia;;;;Acidimicrobidae bacterium Ellin7143	14.0	0.0	0.0	14.0	24.0	0.0	0.0	34.0	58.0
26	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter fluminis	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
27	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis	17.0	0.0	0.0	17.0	23.0	0.0	0.0	13.0	36.0
28	Actinobacteria;Actinobacteria	1590.0	0.0	0.0	1590.0	1281.0	0.0	0.0	3525.0	4806.0
29	Actinobacteria;Actinobacteria;;;;actinobacterium YJF1-30	4.0	0.0	0.0	4.0	31.0	0.0	0.0	36.0	67.0
30	Actinobacteria;Actinobacteria;Actinomycetales;;;Actinomycetales bacterium	35.0	0.0	0.0	35.0	19.0	0.0	0.0	10.0	29.0
31	Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	5.0	0.0	0.0	5.0	5.0	0.0	0.0	25.0	30.0
32	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	116.0	0.0	0.0	116.0	116.0	0.0	0.0	403.0	519.0
33	Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
34	Actinobacteria;Actinobacteria;Frankiales	32.0	0.0	0.0	32.0	9.0	0.0	0.0	0.0	9.0
35	Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium japonicum	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
36	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae	348.0	0.0	0.0	348.0	23.0	0.0	0.0	0.0	23.0
37	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.	65.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
38	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.	33.0	0.0	0.0	33.0	12.0	0.0	0.0	164.0	176.0
39	Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
40	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae	72.0	0.0	0.0	72.0	84.0	0.0	0.0	593.0	677.0
41	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus	2.0	0.0	0.0	2.0	853.0	0.0	0.0	2375.0	3228.0
42	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus	684.0	0.0	0.0	684.0	0.0	0.0	0.0	0.0	0.0
43	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens	103.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0
44	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus	66.0	0.0	0.0	66.0	99.0	0.0	0.0	88.0	187.0
45	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus	38.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0
46	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter	10.0	0.0	0.0	10.0	357.0	0.0	0.0	961.0	1318.0
47	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus	360.0	0.0	0.0	360.0	6.0	0.0	0.0	715.0	721.0
48	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0
49	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	6.0	0.0	0.0	6.0	8.0	0.0	0.0	18.0	26.0
50	Actinobacteria;Actinobacteria;Micrococcales	17.0	0.0	0.0	17.0	6.0	0.0	0.0	24.0	30.0
51	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	2.0	0.0	0.0	2.0	236.0	0.0	0.0	855.0	1091.0
52	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens	234.0	0.0	0.0	234.0	0.0	0.0	0.0	0.0	0.0
53	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	4.0	0.0	0.0	4.0	4.0	0.0	0.0	25.0	29.0
54	Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	11.0	0.0	0.0	11.0	11.0	0.0	0.0	41.0	52.0
55	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	48.0	0.0	0.0	48.0	35.0	0.0	0.0	175.0	210.0
56	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	22.0	0.0	0.0	22.0	2.0	0.0	0.0	28.0	30.0
57	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter limosus	35.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
58	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus leptocrescens	54.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;Phycicoccus aerophilus	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
60	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terracoccus;Terracoccus sp.	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	644.0	0.0	0.0	644.0	447.0	0.0	0.0	941.0	1388.0
62	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	4.0	0.0	0.0	4.0	8.0	0.0	0.0	36.0	44.0
63	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces cerinus	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	634.0	0.0	0.0	634.0	2.0	0.0	0.0	15.0	17.0
66	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	10.0	0.0	0.0	10.0	648.0	0.0	0.0	1960.0	2608.0
67	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
68	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
70	Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	5.0	0.0	0.0	5.0	5.0	0.0	0.0	28.0	33.0
71	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	484.0	0.0	0.0	484.0	637.0	0.0	0.0	125.0	762.0
72	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	20.0	0.0	0.0	20.0	388.0	0.0	0.0	67.0	455.0
73	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes cibodasensis	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
74	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes philippinensis	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
75	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
76	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	23.0	0.0	0.0	23.0	23.0	0.0	0.0	80.0	103.0
77	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Hamadaea	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
78	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	279.0	0.0	0.0	279.0	55.0	0.0	0.0	1246.0	1301.0
79	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora echinaurantiaca	14.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
80	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
81	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium;Virgisporangium ochraceum	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
82	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	25.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
83	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	95.0	0.0	0.0	95.0	43.0	0.0	0.0	230.0	273.0
84	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	37.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
85	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	93.0	0.0	0.0	93.0	181.0	0.0	0.0	540.0	721.0
