	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
0	;;Rotaliida	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1	;;Rotaliida;Glabratellidae;Planoglabratella;Planoglabratella opercularis	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	;Dictyochophyceae;Florenciellales;;Florenciella	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
3	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	13.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0
4	Acidobacteria	6.0	0.0	0.0	0.0	42.0	0.0	0.0	2.0
5	Acidobacteria;;;;Luteitalea;Luteitalea pratensis	9.0	0.0	0.0	0.0	157.0	0.0	0.0	6.0
6	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae	15.0	0.0	0.0	0.0	25.0	0.0	0.0	7.0
7	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;Acidobacteria bacterium KBS 96	4.0	0.0	0.0	0.0	11.0	0.0	0.0	1.0
8	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin5257	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;bacterium Ellin6075	3.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
10	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Candidatus Koribacter versatilis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella paludicola	3.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
12	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Acidobacteria;Blastocatellia	32.0	0.0	0.0	0.0	61.0	0.0	0.0	5.0
14	Acidobacteria;Blastocatellia;;;Stenotrophobacter	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
15	Acidobacteria;Blastocatellia;;;Stenotrophobacter;Stenotrophobacter terrae	36.0	0.0	0.0	0.0	46.0	0.0	0.0	3.0
16	Acidobacteria;Blastocatellia;;;Tellurimicrobium;Tellurimicrobium multivorans	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Acidobacteria;Blastocatellia;;Pyrinomonadaceae	19.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0
18	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum	26.0	0.0	0.0	0.0	33.0	0.0	0.0	9.0
19	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea	2.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0
20	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea aridisoli	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
21	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
