	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
0	Acidobacteria	6.0	1.0	0.0	0.0	35.0	2.0	0.0	0.0
1	Acidobacteria;;;;Luteitalea;Luteitalea pratensis	63.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0
2	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae	3.0	1.0	0.0	0.0	20.0	2.0	0.0	0.0
3	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;;Acidobacteria bacterium KBS 96	11.0	0.0	0.0	0.0	23.0	1.0	0.0	0.0
4	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella paludicola	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Acidobacteria;Blastocatellia	38.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0
8	Acidobacteria;Blastocatellia;;;Stenotrophobacter	36.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
9	Acidobacteria;Blastocatellia;;;Stenotrophobacter;Stenotrophobacter terrae	27.0	0.0	0.0	0.0	27.0	1.0	0.0	0.0
10	Acidobacteria;Blastocatellia;;;Tellurimicrobium;Tellurimicrobium multivorans	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Acidobacteria;Blastocatellia;;Pyrinomonadaceae	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
13	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
14	Acidobacteria;Holophagae;Holophagales;Holophagaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. WY42	7.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
16	Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus	20.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
17	Actinobacteria	205.0	6.0	0.0	0.0	88.0	4.0	0.0	0.0
18	Actinobacteria;Acidimicrobiia	2.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0
19	Actinobacteria;Acidimicrobiia;;;;Acidimicrobidae bacterium YM18-244	27.0	1.0	0.0	0.0	65.0	2.0	0.0	0.0
20	Actinobacteria;Acidimicrobiia;Acidimicrobiales	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;Ferrimicrobium acidiphilum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter coccineus	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
23	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis	9.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
24	Actinobacteria;Actinobacteria	129.0	6.0	0.0	0.0	112.0	6.0	0.0	0.0
25	Actinobacteria;Actinobacteria;;;;Actinobacteria bacterium	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
26	Actinobacteria;Actinobacteria;;;;actinobacterium L2002	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
27	Actinobacteria;Actinobacteria;;;;actinobacterium SCGC AAA001-G18	1.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0
28	Actinobacteria;Actinobacteria;;;;actinobacterium SCGC AAA007-L10	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
29	Actinobacteria;Actinobacteria;;;;actinobacterium SCGC AAA163-G08	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
30	Actinobacteria;Actinobacteria;Actinomycetales;;;Actinomycetales bacterium	25.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0
31	Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	15.0	1.0	0.0	0.0	16.0	1.0	0.0	0.0
33	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gordonae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium japonicum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.	8.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
36	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.	26.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
37	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae	14.0	3.0	0.0	0.0	15.0	2.0	0.0	0.0
38	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus	22.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens	13.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus	6.0	0.0	0.0	0.0	18.0	3.0	0.0	0.0
41	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sp.	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
43	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter	1.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0
44	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus	26.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	5.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
46	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
47	Actinobacteria;Actinobacteria;Micrococcales	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
48	Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia muralis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp.	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
51	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
52	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	29.0	3.0	0.0	0.0	24.0	2.0	0.0	0.0
53	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter michiganensis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
55	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	6.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0
56	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	5.0	2.0	0.0	0.0	17.0	3.0	0.0	0.0
57	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter agilis	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter crystallopoietes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter tumbae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	5.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	13.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0
63	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	4.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	20.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	7.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
68	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
