	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
0	;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sinomuralis	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	;Oomycetes;Pythiales;Pythiaceae;Pythium	6.0	11.0	0.0	250.0	934.0	209.0	0.0	0.0	0.0	7.0	0.0	0.0
2	;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella marina	0.0	0.0	2.0	15.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Arthropoda	108.0	198.0	368.0	164.0	237.0	205.0	1461.0	601.0	2475.0	0.0	0.0	0.0
4	Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus;Xysticus pretiosus	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Arthropoda;Insecta	64.0	155.0	217.0	1188.0	833.0	5367.0	2987.0	4226.0	4253.0	0.0	0.0	0.0
6	Arthropoda;Insecta;Blattodea;Blaberidae;Blaptica;Blaptica dubia	0.0	4.0	3.0	0.0	350.0	441.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Arthropoda;Insecta;Coleoptera;Curculionidae;Hypera;Hypera postica	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Arthropoda;Insecta;Diptera	0.0	1.0	1.0	14.0	189.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Arthropoda;Insecta;Lepidoptera;Noctuidae;Euxoa	0.0	1.0	1.0	0.0	52.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Arthropoda;Insecta;Lepidoptera;Sphingidae;Manduca	8.0	0.0	0.0	535.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Ascomycota	11.0	14.0	29.0	83319.0	16405.0	49573.0	2517.0	2287.0	4704.0	16546.0	27297.0	21399.0
12	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium bruhnei	2.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium herbarum	1.0	1.0	5.0	1.0	1.0	5.0	0.0	14.0	0.0	0.0	0.0	0.0
14	Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pithomyces;Pithomyces chartarum	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	2.0	13.0	35.0	40.0	1330.0	1581.0	24.0	0.0	23.0	26.0	0.0	0.0
16	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	0.0	2.0	10.0	2.0	25.0	15.0	17.0	0.0	252.0	15.0	0.0	254.0
17	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	0.0	7.0	0.0	317.0	557.0	3230.0	0.0	0.0	0.0	0.0	0.0	0.0
18	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium digitatum	0.0	0.0	8.0	14.0	0.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0
19	Ascomycota;Leotiomycetes	0.0	0.0	4.0	1257.0	756.0	156.0	877.0	2491.0	3215.0	1799.0	4047.0	6693.0
20	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola levissima	73.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
21	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus roseus	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Ascomycota;Leotiomycetes;Helotiales	1.0	1.0	10.0	0.0	180.0	78.0	75.0	0.0	0.0	0.0	0.0	0.0
23	Ascomycota;Leotiomycetes;Helotiales;;Rhynchosporium	0.0	2.0	1.0	1.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
24	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea;Glarea lozoyensis	0.0	5.0	17.0	1.0	0.0	1.0	0.0	0.0	257.0	0.0	0.0	257.0
25	Ascomycota;Sordariomycetes	14.0	79.0	116.0	6141.0	7036.0	8044.0	3393.0	4840.0	1255.0	6624.0	6198.0	1591.0
26	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae	2.0	10.0	2.0	2.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
27	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	6.0	6.0	0.0	0.0	24.0	11.0	24.0	1.0	10.0	14.0	0.0	3.0
28	Ascomycota;Sordariomycetes;Hypocreales	0.0	0.0	4.0	20163.0	6176.0	5844.0	31.0	12.0	0.0	53.0	1136.0	60.0
29	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Epichloe	0.0	0.0	8.0	0.0	0.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae	4.0	4.0	6.0	890.0	339.0	1358.0	0.0	0.0	0.0	0.0	0.0	0.0
