	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
0	;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sinomuralis	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
1	;Oomycetes;Pythiales;Pythiaceae;Pythium	17.0	0.0	0.0	0.0	17.0	10.0	0.0	1383.0	1393.0
2	;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella marina	2.0	0.0	0.0	0.0	2.0	2.0	0.0	66.0	68.0
3	Arthropoda	573.0	73.0	25.0	3.0	674.0	0.0	0.0	606.0	606.0
4	Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus;Xysticus pretiosus	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
5	Arthropoda;Insecta	434.0	0.0	2.0	0.0	436.0	0.0	0.0	7388.0	7388.0
6	Arthropoda;Insecta;Blattodea;Blaberidae;Blaptica;Blaptica dubia	7.0	0.0	0.0	0.0	7.0	21.0	0.0	770.0	791.0
7	Arthropoda;Insecta;Coleoptera;Curculionidae;Hypera;Hypera postica	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
8	Arthropoda;Insecta;Diptera	2.0	0.0	0.0	0.0	2.0	1.0	0.0	274.0	275.0
9	Arthropoda;Insecta;Lepidoptera;Noctuidae;Euxoa	2.0	0.0	0.0	0.0	2.0	2.0	0.0	93.0	95.0
10	Arthropoda;Insecta;Lepidoptera;Sphingidae;Manduca	8.0	0.0	0.0	0.0	8.0	8.0	0.0	527.0	535.0
11	Ascomycota	54.0	0.0	0.0	0.0	54.0	616.0	15.0	148666.0	149297.0
12	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium bruhnei	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0
13	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium herbarum	7.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	7.0
14	Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pithomyces;Pithomyces chartarum	9.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
15	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	50.0	0.0	0.0	0.0	50.0	13.0	0.0	2938.0	2951.0
16	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	12.0	0.0	0.0	0.0	12.0	42.0	0.0	0.0	42.0
17	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	7.0	0.0	0.0	0.0	7.0	74.0	0.0	4030.0	4104.0
18	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium digitatum	8.0	0.0	0.0	0.0	8.0	2.0	0.0	308.0	310.0
19	Ascomycota;Leotiomycetes	4.0	0.0	0.0	0.0	4.0	44.0	0.0	2125.0	2169.0
20	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola levissima	13.0	73.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0
21	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus roseus	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
22	Ascomycota;Leotiomycetes;Helotiales	12.0	0.0	0.0	0.0	12.0	0.0	0.0	258.0	258.0
23	Ascomycota;Leotiomycetes;Helotiales;;Rhynchosporium	3.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	11.0
24	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea;Glarea lozoyensis	22.0	0.0	0.0	0.0	22.0	2.0	0.0	0.0	2.0
25	Ascomycota;Sordariomycetes	209.0	0.0	0.0	0.0	209.0	750.0	0.0	20471.0	21221.0
26	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae	14.0	0.0	0.0	0.0	14.0	7.0	0.0	0.0	7.0
27	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	12.0	0.0	0.0	0.0	12.0	35.0	0.0	0.0	35.0
28	Ascomycota;Sordariomycetes;Hypocreales	4.0	0.0	0.0	0.0	4.0	323.0	2.0	31858.0	32183.0
29	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Epichloe	8.0	0.0	0.0	0.0	8.0	8.0	0.0	558.0	566.0
30	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae	14.0	0.0	0.0	0.0	14.0	980.0	0.0	1607.0	2587.0
31	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	33.0	0.0	0.0	0.0	33.0	23.0	0.0	0.0	23.0
32	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	30.0	0.0	0.0	0.0	30.0	11.0	0.0	3598.0	3609.0
33	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium cf. avenaceum HY046-07	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
34	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
35	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria veuillotiana	26.0	0.0	0.0	0.0	26.0	202.0	0.0	14144.0	14346.0
36	Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;Pluteus cervinus	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0
