	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
0	;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sinomuralis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	;Oomycetes;Pythiales;Pythiaceae;Pythium	4.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0
2	;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella marina	1.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
3	Arthropoda	101.0	3.0	11.0	1.0	0.0	0.0	0.0	16.0
4	Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus;Xysticus pretiosus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Arthropoda;Insecta	74.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0
6	Arthropoda;Insecta;Blattodea;Blaberidae;Blaptica;Blaptica dubia	3.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0
7	Arthropoda;Insecta;Coleoptera;Curculionidae;Hypera;Hypera postica	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Arthropoda;Insecta;Diptera	1.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0
9	Arthropoda;Insecta;Lepidoptera;Noctuidae;Euxoa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
10	Arthropoda;Insecta;Lepidoptera;Sphingidae;Manduca	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
11	Ascomycota	10.0	0.0	0.0	0.0	77.0	0.0	4.0	185.0
12	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium bruhnei	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
13	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium herbarum	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
14	Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Pithomyces;Pithomyces chartarum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	11.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0
16	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
17	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	2.0	0.0	0.0	0.0	11.0	0.0	0.0	8.0
18	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium digitatum	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
19	Ascomycota;Leotiomycetes	1.0	0.0	0.0	0.0	8.0	0.0	0.0	16.0
20	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola levissima	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
21	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus roseus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Ascomycota;Leotiomycetes;Helotiales	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
23	Ascomycota;Leotiomycetes;Helotiales;;Rhynchosporium	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
24	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea;Glarea lozoyensis	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
25	Ascomycota;Sordariomycetes	15.0	0.0	0.0	0.0	55.0	0.0	0.0	53.0
26	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
27	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
28	Ascomycota;Sordariomycetes;Hypocreales	1.0	0.0	0.0	0.0	45.0	0.0	1.0	57.0
29	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Epichloe	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
30	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae	4.0	0.0	0.0	0.0	33.0	0.0	0.0	25.0
31	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
32	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	3.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0
33	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium cf. avenaceum HY046-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria veuillotiana	3.0	0.0	0.0	0.0	15.0	0.0	0.0	9.0
36	Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;Pluteus cervinus	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
37	Chordata;Amphibia;Anura;Pelobatidae;Spea;Spea bombifrons	4.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0
38	Chordata;Amphibia;Caudata;Plethodontidae;Batrachoseps;Batrachoseps nigriventris	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
39	Chordata;Aves;Falconiformes;Accipitridae;Accipiter;Accipiter cooperii	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
40	Chordata;Aves;Passeriformes;Corvidae;Aphelocoma;Aphelocoma californica	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
41	Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus brachyrhynchos	2.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0
42	Chordata;Aves;Passeriformes;Passerellidae;Kieneria;Kieneria crissalis	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
43	Chordata;Mammalia;;Cervidae;Odocoileus;Odocoileus virginianus	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
44	Chordata;Mammalia;Chiroptera;Vespertilionidae;Eptesicus;Eptesicus fuscus	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
45	Rotifera;Bdelloidea	2.0	0.0	0.0	0.0	4.0	0.0	0.0	11.0
46	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
47	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina sp. CWB-2005	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	Unassigned	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	All	288.0	4.0	12.0	1.0	533.0	0.0	12.0	1145.0
50	;;;Paramoebidae;Cunea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
51	;;;Vannellidae;Paravannella;Paravannella minima	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
52	;;Himatismenida;;Parvamoeba;Parvamoeba rugata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
53	;;Himatismenida;Cochliopodiidae;Cochliopodium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
54	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium kieliense	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0
55	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
56	;;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
57	;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia kanyakumariensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
58	;Florideophyceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	25.0
59	;Florideophyceae;Batrachospermales;Batrachospermaceae;Sheathia;Sheathia involuta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
60	;Florideophyceae;Ceramiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
61	;Florideophyceae;Ceramiales;Ceramiaceae;Ptilota;Ptilota hypnoides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
62	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
63	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena;Hymenena sp. 3GWS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
64	;Florideophyceae;Ceramiales;Delesseriaceae;Martensia;Martensia jejuensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
65	;Florideophyceae;Ceramiales;Rhodomelaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
66	;Florideophyceae;Ceramiales;Rhodomelaceae;Ophidocladus;Ophidocladus simpliciusculus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
67	;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea splendens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
68	;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia hamata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
69	;Florideophyceae;Ceramiales;Rhodomelaceae;Rhodomela;Rhodomela lycopodioides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
70	;Florideophyceae;Corallinales;Corallinaceae;Lithophyllum;Lithophyllum hibernicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
71	;Florideophyceae;Gigartinales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
72	;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
73	;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
74	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
75	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium;Plocamium fimbriatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
76	;Florideophyceae;Rhodymeniales;Rhodymeniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
77	;Florideophyceae;Sebdeniales;Sebdeniaceae;Sebdenia;Sebdenia sp. 1flabellata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
78	;Oomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
79	;Oomycetes;Albuginales;Albuginaceae;Albugo;Albugo candida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
80	;Oomycetes;Peronosporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
81	;Oomycetes;Peronosporales;;Phytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
82	;Oomycetes;Peronosporales;;Phytophthora;Phytophthora fallax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
83	;Oomycetes;Peronosporales;;Phytopythium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
84	;Oomycetes;Peronosporales;Peronosporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
85	;Oomycetes;Pythiales;Pythiaceae;Halophytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
86	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium heterothallicum	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
87	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium irregulare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
88	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
