	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
0	Arthropoda	3.0	47.0	3.0	0.0	0.0	0.0	0.0	0.0
1	Arthropoda;Arachnida;Araneae;Nemesiidae;Aname;Aname sp. MYG271	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0
2	Arthropoda;Insecta	14.0	70.0	1.0	0.0	0.0	0.0	0.0	0.0
3	Ascomycota	18.0	23.0	0.0	0.0	29.0	39.0	2.0	0.0
4	Ascomycota;;;;Tetracladium	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
5	Ascomycota;;;;Tetracladium;Tetracladium apiense	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0
6	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium herbarum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium tenuissimum	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
8	Ascomycota;Dothideomycetes;Pleosporales	2.0	12.0	0.0	0.0	1.0	7.0	0.0	0.0
9	Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;Shiraia bambusicola	1.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0
10	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella pinodes	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0
11	Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0
12	Ascomycota;Eurotiomycetes	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0
13	Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana	8.0	8.0	0.0	0.0	18.0	20.0	0.0	0.0
14	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0
