	taxon	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
0	Arthropoda	1461.0	601.0	2475.0	0.0	0.0	0.0
1	Arthropoda;Arachnida;Araneae;Nemesiidae;Aname;Aname sp. MYG271	172.0	80.0	386.0	67.0	80.0	95.0
2	Arthropoda;Insecta	2987.0	4226.0	4253.0	0.0	0.0	0.0
3	Ascomycota	2517.0	2287.0	4704.0	16546.0	27297.0	21399.0
4	Ascomycota;;;;Tetracladium	0.0	0.0	2.0	0.0	21.0	2.0
5	Ascomycota;;;;Tetracladium;Tetracladium apiense	95.0	21.0	216.0	95.0	0.0	216.0
6	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium herbarum	0.0	14.0	0.0	0.0	0.0	0.0
7	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium tenuissimum	119.0	1.0	363.0	1.0	1.0	0.0
8	Ascomycota;Dothideomycetes;Pleosporales	1429.0	640.0	960.0	3931.0	812.0	172.0
9	Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;Shiraia bambusicola	0.0	118.0	7.0	18.0	119.0	8.0
10	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella pinodes	3412.0	294.0	49.0	808.0	1.0	0.0
11	Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum	48.0	0.0	0.0	169.0	122.0	837.0
12	Ascomycota;Eurotiomycetes	829.0	1431.0	1216.0	0.0	43.0	0.0
13	Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana	4482.0	850.0	1322.0	5953.0	3503.0	3435.0
14	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	24.0	0.0	23.0	26.0	0.0	0.0
15	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	17.0	0.0	252.0	15.0	0.0	254.0
16	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus niger	0.0	0.0	2.0	0.0	0.0	0.0
17	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium citrinum	87.0	0.0	33.0	0.0	0.0	0.0
18	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium restrictum	0.0	8.0	66.0	0.0	0.0	0.0
19	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	18.0	0.0	47.0	18.0	0.0	47.0
20	Ascomycota;Leotiomycetes	877.0	2491.0	3215.0	1799.0	4047.0	6693.0
21	Ascomycota;Leotiomycetes;;;Leohumicola	39.0	80.0	87.0	1427.0	537.0	697.0
22	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus pannorum	0.0	0.0	27.0	0.0	0.0	0.0
23	Ascomycota;Leotiomycetes;Helotiales	75.0	0.0	0.0	0.0	0.0	0.0
24	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Articulospora;Articulospora tetracladia	158.0	17.0	111.0	0.0	0.0	0.0
25	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea;Glarea lozoyensis	0.0	0.0	257.0	0.0	0.0	257.0
26	Ascomycota;Sordariomycetes	3393.0	4840.0	1255.0	6624.0	6198.0	1591.0
27	Ascomycota;Sordariomycetes;Glomerellales	0.0	15.0	0.0	4.0	3.0	17.0
28	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae	0.0	8.0	0.0	0.0	0.0	0.0
29	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	24.0	1.0	10.0	14.0	0.0	3.0
30	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Glomerella;Glomerella glycines	1.0	0.0	1.0	2.0	0.0	0.0
31	Ascomycota;Sordariomycetes;Hypocreales	31.0	12.0	0.0	53.0	1136.0	60.0
32	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria bassiana	0.0	0.0	9.0	0.0	0.0	0.0
33	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma gamsii	226.0	0.0	0.0	226.0	0.0	0.0
34	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cosmospora;Cosmospora gigas	13.0	49.0	17.0	13.0	49.0	17.0
35	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium cf. avenaceum HY046-07	120.0	115.0	1494.0	119.0	115.0	276.0
36	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum	6264.0	550.0	4241.0	6833.0	2311.0	4124.0
37	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria veuillotiana	454.0	77.0	1895.0	454.0	77.0	1895.0
38	Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora crassa	99.0	177.0	82.0	0.0	0.0	19.0
39	Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium;Arthrinium arundinis	0.0	0.0	46.0	340.0	229.0	49.0
40	Basidiomycota;Agaricomycetes;Agaricales	0.0	24.0	0.0	0.0	0.0	0.0
41	Chlorophyta;Pedinophyceae;Pedinomonadales;Pedinomonadaceae;Pedinomonas;Pedinomonas minor	0.0	31.0	0.0	0.0	31.0	0.0
42	Chlorophyta;Trebouxiophyceae;Microthamniales;;Trebouxia;Trebouxia aggregata	0.0	19.0	0.0	0.0	19.0	0.0
43	Eustigmatophyceae;;Eustigmatales;Eustigmataceae	0.0	41.0	0.0	0.0	0.0	0.0
