	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_bl	sum-reads_Hi_bl	sum-reads_Hi_bl	sum-reads_Hi_vs	sum-reads_Hi_vs	sum-reads_Hi_vs	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_b2	sum-reads_Mi_b2	sum-reads_Mi_b2	sum-reads_Mi_bl	sum-reads_Mi_bl	sum-reads_Mi_bl	sum-reads_Mi_vs	sum-reads_Mi_vs	sum-reads_Mi_vs
ASV		forward	merged	reverse	unmerged	All	forward	merged	reverse	All	forward	reverse	All	forward	reverse	All	forward	merged	unmerged	All	forward	merged	All	forward	merged	All	forward	merged	All
0	Basidiomycota	244.0	0.0	0.0	0.0	244.0	224.0	0.0	0.0	224.0	119.0	0.0	119.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	Basidiomycota;Agaricomycetes	354.0	0.0	0.0	0.0	354.0	1979.0	0.0	0.0	1979.0	6.0	0.0	6.0	359.0	0.0	359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	Basidiomycota;Agaricomycetes;Agaricales	202.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	82.0	0.0	82.0	99.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita battarrae	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe	51.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	24.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	9.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Geastrum;Geastrum coronatum	82.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Hapalopilus;Hapalopilus rutilans	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Rhizochaete;Rhizochaete filamentosa	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Basidiomycota;Microbotryomycetes	709.0	0.0	0.0	0.0	709.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
