	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	land1_Hi_bl	land2_Hi_bl	land3_Hi_bl	sea1_Hi_bl	sea2_Hi_bl	sea3_Hi_bl	land1_Hi_vs	land2_Hi_vs	land3_Hi_vs	sea1_Hi_vs	sea2_Hi_vs	sea3_Hi_vs
0	Basidiomycota	153.0	30.0	60.0	0.0	0.0	1.0	107.0	0.0	117.0	0.0	0.0	0.0	2.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1	Basidiomycota;Agaricomycetes	133.0	10.0	211.0	0.0	0.0	0.0	1763.0	34.0	179.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	267.0	2.0	90.0	0.0	0.0	0.0
2	Basidiomycota;Agaricomycetes;Agaricales	20.0	85.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	81.0	0.0	0.0	0.0	29.0	1.0	69.0	0.0	0.0	0.0
3	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita battarrae	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe	12.0	17.0	21.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Geastrum;Geastrum coronatum	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Hapalopilus;Hapalopilus rutilans	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Rhizochaete;Rhizochaete filamentosa	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Basidiomycota;Microbotryomycetes	563.0	92.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia;Phenoliferia glacialis	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia albidosimilis	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	Chlorophyta	42.0	66.0	132.0	0.0	0.0	0.0	114.0	11.0	47.0	0.0	0.0	0.0	24.0	382.0	851.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
15	Chlorophyta;Chlorophyceae	119.0	308.0	304.0	0.0	0.0	0.0	41.0	30.0	32.0	0.0	0.0	0.0	244.0	1.0	5.0	0.0	0.0	0.0	671.0	303.0	105.0	0.0	0.0	0.0
16	Chlorophyta;Chlorophyceae;;;Gloeocystis;Gloeocystis vesiculosa	131.0	328.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Diplosphaera;Diplosphaera chodatii	0.0	2.0	0.0	3.0	0.0	2.0	0.0	1.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
