	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2	forward_Mi_bl	merged_Mi_bl	reverse_Mi_bl	unmerged_Mi_bl	forward_Mi_vs	merged_Mi_vs	reverse_Mi_vs	unmerged_Mi_vs
0	Chlorophyta	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	Chlorophyta;Chlorophyceae;Chlamydomonadales	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0
2	Chlorophyta;Chlorophyceae;Chlamydomonadales;;Tetracystis	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	Chlorophyta;Chlorophyceae;Chlamydomonadales;;Tetracystis;Tetracystis intermedia	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Chlorophyta;Chlorophyceae;Chlamydomonadales;;Tetracystis;Tetracystis pampae	4.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Chlorophyta;Chlorophyceae;Chlamydomonadales;;Tetracystis;Tetracystis vinatzeri	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0
7	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;;Chlamydomonadaceae sp. MCWWS30	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas applanata	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas inflexa	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
