seq_name	mock_sanger	Taxon
KU900218.1_extraction	1	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
KU900219.1_extraction	1	Eukaryota;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris
KU900220.1_extraction	1	Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
KU900221.1_extraction	1	Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus obliquus
KU900222.1_extraction	1	Eukaryota;NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
KU900223.1_extraction	1	Eukaryota;NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae
KU900224.1_extraction	1	Eukaryota;NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum
KU900225.1_extraction	1	Eukaryota;NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
KU900226.1_extraction	1	Eukaryota;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium
KU900227.1_extraction	1	Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra
KU900228.1_extraction	1	Eukaryota;NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;Poterioochromonas malhamensis
KU900229.1_extraction	1	Eukaryota;Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oceanica
