Actual Taxonomy
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
Chlorophyta;Trebouxiophyceae;Microthamniales;;Trebouxia;Trebouxia sp. CCAP 213/3 ^
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus obliquus
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas sp. CCAP 995/5
;;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium microadriaticum
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa niei
;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp. UTEX LB 2575 *
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata
