assigned Taxonomy
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris;
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa niei
NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata
