assigned Taxonomy
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus obliquus
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra
NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;Poterioochromonas malhamensis
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oceanica
