assigned Taxonomy
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;
;;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsi;
