seq_name	mock_sanger	sum taxonomy
KU900218.1_extraction	1	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
KU900221.1_extraction	1	Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus obliquus
KU900220.1_extraction	1	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
KU900219.1_extraction	1	Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Trebouxia;Trebouxia sp. CCAP 213/3
KU900229.1_extraction	1	Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata
KU900228.1_extraction	1	NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp. UTEX LB 2575
KU900222.1_extraction	1	NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
KU900223.1_extraction	1	NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas sp. CCAP 995/5
KU900227.1_extraction	1	NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa niei
KU900226.1_extraction	1	NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium microadriaticum
KU900225.1_extraction	1	NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
KU900224.1_extraction	1	NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum
