sum.taxonomy	mock_sanger
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;NA;	1
Chlorophyta;Chlorophyceae;NA;;NA;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;NA;	1
Chlorophyta;Trebouxiophyceae;NA;;NA;	1
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	1
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
NA;Cryptophyta;NA;;NA;	1
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
NA;NA;Isochrysidales;NA;;	1
NA;NA;;NA;;	1
NA;NA;NA;;NA;	1
