sum.taxonomy	mock_sanger
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;NA;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	1
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris;	1
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;	1
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum	1
NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;	1
