CO1_seq_number	run1	run2	sum taxonomy
KP253993.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi
KP253998.1_extraction	1	1	Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:
KP254006.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Alpheidae;NA;Alpheidae sp. BOLD:
KP254038.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;Menippe mercenaria
KP254059.1_extraction	1	1	Mollusca;Gastropoda;NA;Placobranchidae;Elysia;Elysia subornata
KP254100.1_extraction	1	1	Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO130-14
KP254102.1_extraction	1	1	Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis
KP254114.1_extraction	1	1	Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:
KP254117.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli
KP254207.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Palaemonidae;NA;Palaemonidae sp. BOLD:
KP254210.1_extraction	1	1	Annelida;Polychaeta;Phyllodocida;Hesionidae;NA;Hesionidae sp. BOLD:
KP254222.1_extraction	1	1	Echinodermata;Ophiuroidea;Ophiurida;NA;NA;Ophiurida sp. BOLD:
KP254259.1_extraction	1	1	Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata
KP254266.1_extraction	1	1	Chordata;Actinopteri;Blenniiformes;Blenniidae;NA;Blenniidae sp. BOLD:
KP254357.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis
KP254368.1_extraction	1	1	Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi
KP254462.1_extraction	1	1	Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:
KP254531.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:
KP254742.1_extraction	1	1	Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau
KP254745.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus
KP254748.1_extraction	1	1	Arthropoda;Malacostraca;NA;NA;NA;Malacostraca sp. BOLD:
KP254797.1_extraction	1	1	
KP254843.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps
KP254861.1_extraction	1	1	Annelida;NA;NA;NA;NA;Annelida sp. BOLD:
KP254868.1_extraction	1	1	Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO228-14
KP255000.1_extraction	1	1	Mollusca;Gastropoda;NA;NA;NA;Gastropoda sp. BOLD:
KP255001.1_extraction	1	1	Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata
KP255097.1_extraction	1	1	Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis
KP255147.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus
KP255166.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Hippolytidae;NA;Hippolytidae sp. BOLD:
KP255183.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii
KP255241.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:
KP255273.1_extraction	1	1	Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum
KP255278.1_extraction	1	1	Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:
