sum.taxonomy	run1	run2
Annelida;NA;NA;NA;NA;Annelida sp. BOLD:	1	1
Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata	1	1
Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:	2	2
Annelida;Polychaeta;Phyllodocida;Hesionidae;NA;Hesionidae sp. BOLD:	1	1
Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis	1	1
Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:	3	3
Arthropoda;Malacostraca;Decapoda;Alpheidae;NA;Alpheidae sp. BOLD:	1	1
Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli	1	1
Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;	1	1
Arthropoda;Malacostraca;Decapoda;Hippolytidae;NA;Hippolytidae sp. BOLD:	1	1
Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus	1	1
Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps	1	1
Arthropoda;Malacostraca;Decapoda;Palaemonidae;NA;Palaemonidae sp. BOLD:	1	1
Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi	1	1
Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis	1	1
Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus	1	1
Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii	1	1
Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:	1	1
Arthropoda;Malacostraca;NA;NA;NA;Malacostraca sp. BOLD:	1	1
Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau	1	1
Chordata;Actinopteri;Blenniiformes;Blenniidae;NA;Blenniidae sp. BOLD:	1	1
Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum	1	1
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata	1	1
Echinodermata;Ophiuroidea;Ophiurida;NA;NA;Ophiurida sp. BOLD:	1	1
Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi	1	1
Mollusca;Gastropoda;NA;NA;NA;Gastropoda sp. BOLD:	1	1
Mollusca;Gastropoda;NA;Placobranchidae;Elysia;Elysia subornata	1	1
Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO130-14	1	1
Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO228-14	1	1
NA	1	1
