sum taxonomy	mock_sanger
;;;;;	2
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;;	1
Chlorophyta;;;;;	1
Chlorophyta;Chlorophyceae;;;;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;;;	1
;Cryptophyta;;;;	1
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	1
;;Isochrysidales;;;	1
