sum taxonomy	mock_sanger
;;;;;	2
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	1
;Cryptophyta;;;;	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	1
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
