sum taxonomy	mock_sanger
;;;;;	1
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;	1
Chlorophyta;;;;;	1
Chlorophyta;Chlorophyceae;;;;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;;;	1
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;;;;	2
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;	1
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
;;Prymnesiales;Prymnesiaceae;Prymnesium;	1
