sum.taxonomy	mock_sanger
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;	1
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;NA;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;NA;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;NA;	1
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;	1
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
NA;Dinophyceae;NA;;NA;	1
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	1
NA;NA;;NA;;	1
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	1
