seq_name	mock_sanger	sum taxonomy
KU900218.1_extraction	1	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
KU900219.1_extraction	1	Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;
KU900220.1_extraction	1	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
KU900221.1_extraction	1	Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;
KU900222.1_extraction	1	;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;
KU900223.1_extraction	1	;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;
KU900224.1_extraction	1	;;Prymnesiales;Prymnesiaceae;Prymnesium;
KU900225.1_extraction	1	;;Isochrysidales;Isochrysidaceae;Isochrysis;
KU900226.1_extraction	1	;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
KU900227.1_extraction	1	;Dinophyceae;Peridiniales;Heterocapsaceae;;
KU900228.1_extraction	1	;;;;;
KU900229.1_extraction	1	Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsis;
