sum.taxonomy	mock_sanger
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;	1
Chlorophyta;Chlorophyceae;NA;;NA;	1
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;	1
Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris;	1
;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;	1
;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	1
;Dinophyceae;NA;;NA;	1
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	1
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;	1
;NA;Isochrysidales;NA;;	1
;NA;;NA;;	1
;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	1
