seq_name	mock_sanger	Taxon
KU900218.1_extraction	1	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana
KU900219.1_extraction	1	Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris
KU900220.1_extraction	1	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris
KU900221.1_extraction	1	Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus obliquus
KU900222.1_extraction	1	NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera
KU900223.1_extraction	1	NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae
KU900224.1_extraction	1	NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium polylepis
KU900225.1_extraction	1	NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
KU900226.1_extraction	1	NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium voratum
KU900227.1_extraction	1	NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra
KU900228.1_extraction	1	NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;Poterioochromonas malhamensis
KU900229.1_extraction	1	Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oceanica
