seq_name	Andrew	HMP	Extreme	sum taxonomy
read_01	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
read_02	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis
read_03	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara
read_04	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis
read_05	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri
read_06	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri
read_07	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
read_08	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
read_09	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
read_10	0	0	1	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;;
read_11	0	0	1	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] methylpentosum
read_12	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae
read_13	0	0	1	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
read_14	0	0	1	Firmicutes;Clostridia;Clostridiales;;;
read_15	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
read_16	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
read_17	0	0	1	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
read_18	0	0	1	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
read_19	0	0	1	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
read_20	0	0	1	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
read_21	0	0	1	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] cocleatum
read_22	0	1	0	Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
read_23	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
read_24	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
read_25	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
read_26	0	0	1	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phytofermentans
read_27	0	0	1	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
