accession_numbers	run1	run2	taxonomy
KP254059.1_extraction	1	1	Eukaryota;Mollusca;Gastropoda;NA;NA;NA;Gastropoda sp. BOLD:ACQ5764
KP255183.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:ACM6964
KP254102.1_extraction	1	1	Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Ophiactidae;Ophiactis;Ophiactis savignyi
KP255278.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;NA;Hesionidae sp. BOLD:AAG1042
KP254222.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Panopeidae;Panopeus;Panopeus occidentalis
KP254861.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Palaemonidae;NA;Palaemonidae sp. BOLD:AAI2206
KP255000.1_extraction	1	1	Eukaryota;Mollusca;Gastropoda;NA;Placobranchidae;Elysia;Elysia subornata
KP254038.1_extraction	1	1	Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis;Amphipholis squamata
KP254207.1_extraction	1	1	Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;NA;NA;Ophiurida sp. BOLD:ACQ3159
KP254210.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cilicaea;Cilicaea sp. BOLD:AAR9230
KP254259.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Majidae;Microphrys;Microphrys bicornutus
KP255241.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Petrolisthes;Petrolisthes armatus
KP253993.1_extraction	1	1	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Coryphopterus;Coryphopterus glaucofraenum
KP255097.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ6887
KP255166.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Mysida;Mysidae;NA;Mysidae sp. BOLD:ACQ1097
KP254266.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe longidentis
KP254742.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Panopeidae;Dyspanopeus;Dyspanopeus sayi
KP253998.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Hippolytidae;NA;Hippolytidae sp. BOLD:AAF4969
KP254114.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ2777
KP254745.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithraculus;Mithraculus forceps
KP255273.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;Lepidonotus humilis
KP254843.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus hemphilli
KP254357.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus sp. BOLD:ACQ4373
KP255147.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hellerii
KP254748.1_extraction	1	1	Eukaryota;Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO043-14
KP255001.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe complanata
KP254462.1_extraction	1	1	Eukaryota;Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. BOLD:ACQ0238
KP254368.1_extraction	1	1	Eukaryota;Platyhelminthes;NA;NA;NA;NA;Platyhelminthes sp. FLTWO130-14
KP254868.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Eriphiidae;Menippe;Menippe mercenaria
KP254117.1_extraction	1	1	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;NA;Blenniidae sp. BOLD:ACP9792
KP254006.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:ACQ1281
KP254531.1_extraction	1	1	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;NA;Alpheidae sp. BOLD:ACQ5750
KP254100.1_extraction	1	1	Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus tau
KP254797.1_extraction	1	1	Eukaryota;Annelida;Polychaeta;NA;NA;NA;Polychaeta sp. BOLD:AAG4515
