sum.taxonomy	Andrew	HMP	Extreme
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;	0	1	0
Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;	1	0	0
Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes	0	1	0
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	0	5	8
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp.	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	3
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis	0	1	0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis	0	0	1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	2
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	0	0	3
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	0	0	1
Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;	0	1	0
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	1	1	0
Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria monocytogenes	0	1	0
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	1	4	0
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	0	1	0
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;	0	2	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri	0	1	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	1	0	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae	0	1	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans	0	1	0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	1	0
Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;	0	3	1
Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;	0	0	1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus	0	0	2
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phytofermentans	0	0	1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;	0	0	2
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	0	0	1
Firmicutes;Clostridia;Clostridiales;NA;;	0	0	1
Firmicutes;Clostridia;Clostridiales;NA;Howardella;Howardella ureilytica	0	0	1
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] methylpentosum	0	0	1
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] cocleatum	0	0	1
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sphaeroides	0	1	0
Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis	0	1	0
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori	0	1	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	1	1	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;	1	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;	1	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	0	1	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	1	2	0
