exp	Hi	Mi
2.94	3.80	3.61
2.94	4.08	3.95
2.94	2.99	2.99
2.94	1.65	1.61
2.94	0.29	0.30
2.94	10.04	9.87
2.94	1.67	1.61
2.94	0.01	0.00
2.94	6.74	6.65
2.94	5.14	5.24
2.94	4.83	5.24
2.94	3.02	3.05
2.94	3.70	4.03
2.94	0.03	1.49
0	1.44	0.00
2.94	1.28	1.39
2.94	0.00	0.03
2.94	0.00	0.00
2.94	0.13	0.12
2.94	2.67	2.80
2.94	1.71	1.71
2.94	0.41	0.43
2.94	3.49	3.47
2.94	1.12	1.08
2.94	0.03	0.03
2.94	3.73	3.83
2.94	1.68	1.71
2.94	0.01	1.37
0	1.37	0.00
2.94	3.76	4.05
2.94	1.32	1.33
2.94	0.15	0.15
2.94	0.13	13.11
0	12.95	0.00
2.94	2.18	2.21
2.94	6.77	6.28
2.94	3.96	3.97
