,"blastblca","bowtie2blca","Qiimeblast","Qiimesklearn","Qiimevsearch",,
correct,0.906666667,0.908888889,0.828888889,0.917777778,0.826666667,,
wrong,0.004444444,0.004444444,0.006666667,0.008888889,0.015555556,,
ambig,0.088888889,0.086666667,0.164444444,0.073333333,0.157777778,,
,,,,,,,
,90.67,90.89,82.89,91.78,82.67,,450
,0.44,0.44,0.67,0.89,1.56,,
,8.89,8.67,16.44,7.33,15.78,,
,,,,,,,
,,,,,,,
,408,409,373,413,372,,
,,,,,,,
,,,,,,,
,,,,,,,
bowtie2 vs,,,,,,,
blast blca,Z-Score is -0.1152. The p-value is 0.90448,,,,,,
q blast,The Z-Score is 3.4442. The p-value is 0.00058.,,,,,,
sklearn,The Z-Score is -0.4739. The p-value is 0.63836,,,,,,
vsearch,The Z-Score is -3.641. The p-value is 0.00028,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,alpha,0.05,,,,
,bonferoni,corrected for multiple testing,0.0125,,,,
