seq_name	sequence	sequencesF	sequencesR	mock_sanger	single_or_multiple_hit	end_to_end_or_local	max_percent_id	input_sequence_length	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction				1	multiple	end_to_end	0.987055016181	325	superkingdom:Eukaryota;phylum:Bacillariophyta;class:Coscinodiscophyceae;order:Thalassiosirales;family:Thalassiosiraceae;genus:Thalassiosira;species:Thalassiosira pseudonana;	superkingdom:100.0;phylum:90.0577838828;class:75.3882326007;order:75.3882326007;family:75.3882326007;genus:73.0352564103;species:65.7317307692;	DQ514863.1;HM991698.1;JN090893.1;DQ093364.1;DQ093367.1;HF565127.1;AF374481.2;HQ912555.1;AF525672.1;EU143937.1;AY485452.1;JF275181.1;JF275177.1;DQ514880.1;DQ514859.1;JF275559.1;KU900218.1;FR865514.1;AY496207.1;KY364697.1;EU143923.1;JQ420108.1;KY364696.1;JQ420113.1;AB430591.1;GQ148712.1;JQ420101.1;AY496212.1;HM805030.1;AY221723.1;DQ093371.1;AY496213.1;AY496210.1;JQ420120.1;AY496206.1;DQ514862.1;DQ514856.1;JQ420125.1;JN090884.1;DQ514861.1;JF275105.1;JF275755.1;DQ514850.1;KC736617.1;HQ912576.1;DQ514853.1;AJ810858.1;HM991701.1;GU823614.1;GU823069.1;JQ782076.1;GU823174.1;DQ514869.1;KF959665.1;AB948138.1;AB948140.1;JQ782061.1;DQ396523.1;KT347147.1;AB948141.1;AY485494.1;JN090903.1;AJ535166.1;FJ600728.1;GQ281043.1;AF374479.2;AJ535170.1;AY485445.1;KT072987.1;DQ514864.1;AY684960.1;KT386324.1;DQ514852.1;DQ514879.1;GU385591.1;GU385524.1;AY684965.1;GU385520.1;GU385579.1;GU385556.1;GU385517.1;HQ912562.1;JF275727.1;GU385580.1;GU385529.1;AY684959.1;DQ514889.1;GU385531.1;AY684961.1;DQ514875.1;JF275601.1;DQ011159.1;HQ227778.1;JF275591.1;JF275719.1;HQ227798.1;KJ081747.1;KJ758143.1;GQ148716.1;GQ148714.1
KU900219.1_extraction				1	multiple	end_to_end	1.0	323	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Microthamniales;family:NA;genus:Asterochloris;species:Asterochloris erici;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:5.88235294118;genus:82.3529411765;species:11.7647058824;	KR952314.1;KP318694.1;KP318685.1;KP318686.1;KP318692.1;JN573863.1;KP318690.1;GU017647.1;FJ552779.1;KP318687.1;KP318691.1;AB080310.1;KU900219.1;KP318683.1;KP318684.1;KP318695.1;KR952315.1;KR952316.1;Z21552.1;JN573891.1;MF581791.1;EF023527.1;EF023347.1;EF023120.1;EF023800.1;EU878373.1;HQ191377.1;JX446479.1;X74000.1;KM020066.1;FR865553.1;FR865539.1;FR865541.1;LC075789.1;KP262476.1;HQ111431.1;JX127164.1;Z47208.1;GQ487250.1;AJ410463.1;FJ211064.1;FR865546.1;AJ410466.1;AJ410465.1;KF693801.1;FR865584.1;HM066008.1;FR865557.1;FR865559.1;AJ410459.1;FR865552.1;AJ410462.1;FR865549.1;FR865558.1;GQ487209.1;FR865556.1;FR865533.1;AY220563.1;FR865560.1;AJ410461.1;JN903984.1;FR865739.1;FR865540.1;AJ410456.1;FR865535.1;FR865554.1;FR865542.1;FR865534.1;JN982286.1;KY086472.1;AB175837.1;KY086474.1;JX446485.1;LC057292.1;JX446487.1;JX446486.1;AJ410467.1;JQ315765.1;FR865545.1;FR865551.1;AB218708.1;AJ410460.1;FR865604.1;FR865562.1;AJ410457.1;KX781334.1;FR865561.1;JQ315506.1;AJ410464.1;FR865590.1;FR865537.1;AJ306536.1;FR865538.1;FR865548.1;Z28971.1;FR865543.1;FR865544.1;KM020045.1;M62999.1;Z28974.1
KU900220.1_extraction				1	multiple	end_to_end	1.0	323	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Chlorellales;family:Chlorellaceae;genus:Chlorella;species:Chlorella vulgaris;	superkingdom:100.0;phylum:100.0;class:92.6505077;order:88.927913117;family:88.927913117;genus:81.2405569111;species:74.1523741269;	JQ315772.1;FR865682.1;DQ377323.1;FM205855.1;KJ676105.1;AB162910.1;KU900220.1;KF791544.1;FR865589.1;FR865696.1;AB260895.1;AM231734.1;KJ676103.1;AB488577.1;X13688.1;KJ676102.1;FN298918.1;JX185298.1;KJ676108.1;FR865681.1;KP341004.1;FN298917.1;MF686452.1;FM205854.1;KU306723.1;FR865659.1;FR865658.1;KJ756813.1;AB488582.1;AB488575.1;KJ148623.1;KJ676104.1;FM205853.1;KJ676106.1;KC517115.1;FR865697.1;KJ756823.1;FR865660.1;AM231735.1;FR865662.1;KJ676107.1;KU291884.1;FM205832.1;AF360745.1;AB699112.1;KM020172.1;KF661335.1;MF686487.1;KF879591.1;KM020033.1;JX446471.1;KU926336.1;JX127164.1;KX094751.1;GQ507371.1;GQ122370.1;EU333011.1;KU926337.1;KP204566.1;KX465228.1;KP204548.1;KP204557.1;AY195980.1;KP204555.1;KF661334.1;AB488579.1;AY876301.1;KU291897.1;AB488580.1;AB488578.1;KX094755.1;KX094752.1;KX094756.1;HQ702295.1;HQ702293.1;HQ702294.1;HQ702292.1;HQ702296.1;AB488581.1;AB488576.1;KX355553.1;HQ702281.1;KX094757.1;AB622290.1;KF982000.1;KT285521.1;KM514840.1;KM514850.1;KF981999.1;KM514846.1;AB178085.1;KM514813.1;KM514808.1;KM514809.1;KM514811.1;KM514814.1;KM514807.1;KM514854.1;KM514853.1;KM514827.1
KU900221.1_extraction				1	multiple	end_to_end	1.0	323	superkingdom:Eukaryota;phylum:Chlorophyta;class:Chlorophyceae;order:Sphaeropleales;family:Scenedesmaceae;genus:Tetradesmus;species:Tetradesmus obliquus;	superkingdom:100.0;phylum:98.1650817178;class:92.2771694394;order:86.8052937256;family:86.2470035869;genus:37.7071302071;species:29.0165567145;	AY510460.1;KU948220.1;HQ246318.1;X56103.1;KU948221.1;FR865738.1;AY510462.1;X74002.1;FR865731.1;KF791543.1;FR865737.1;AY510463.1;EF024672.1;AY510458.1;KJ676128.1;AB917101.1;EU143976.1;KT267272.1;AY510464.1;FR865719.1;KP726267.1;JF834707.1;KJ676129.1;KF144164.1;KF898122.1;KU291882.1;KF898121.1;KF879581.1;AB917100.1;HQ246322.1;KC492077.1;KY268297.1;KJ676127.1;KU291899.1;AF513372.1;KT883908.1;KU057946.1;FR865726.1;FR865736.1;JX513885.1;HQ246320.1;AB917118.1;JX446457.1;AY197641.1;JQ315585.1;AB037088.1;KR904911.1;KF879583.1;KF879582.1;KU900221.1;AY510461.1;JQ315790.1;JQ315590.1;KX465224.1;JQ315568.1;JQ315569.1;KX465226.1;JQ315500.1;JQ315565.1;JQ315584.1;JQ315578.1;JQ315571.1;FR865722.1;JQ315593.1;KP726268.1;KX465227.1;JQ315791.1;FR865721.1;JQ315598.1;KX465225.1;KX465221.1;KX465220.1;JQ315586.1;KP726269.1;JQ315591.1;JQ315600.1;KX465233.1;JQ315588.1;AB037092.1;KY816917.1;EF024072.1;AF388375.1;AY605198.1;EF023317.1;JQ315572.1;KP726227.1;JQ315580.1;JQ315778.1;KC790431.1;LC192139.1;LC192134.1;KT778111.1;HM021308.1;KJ173794.1;KF673359.1;KT279449.1;KT279488.1;KT279469.1;LC192141.1;MF326557.1
KU900222.1_extraction				1	multiple	end_to_end	1.0	321	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Cryptomonadales;family:Cryptomonadaceae;genus:Cryptomonas;species:Cryptomonas pyrenoidifera;	superkingdom:100.0;phylum:5.68954354469;class:80.7669873771;order:73.1090809131;family:73.1090809131;genus:73.1090809131;species:40.7230748998;	KU900222.1;KP404773.1;KP404767.1;KF907397.1;AJ421150.1;HQ219463.1;KF907394.1;AF508267.1;EU163586.1;KF907398.1;KF907402.1;KP404772.1;AF508270.1;AJ421147.1;AM051198.2;KF907407.1;KF907389.1;KF907387.1;KP404774.1;AF508271.1;HQ191421.1;AM051191.2;KF907399.1;AM051192.2;AJ420696.1;KF907391.1;KF907382.1;KF907393.1;KF907400.1;AM051190.2;KF907405.1;EU163587.1;EU143944.1;FJ765388.1;AM051189.2;GU067870.1;FJ765370.1;JX869387.1;EU143949.1;FJ765405.1;HQ219417.1;KF907370.1;KF907374.1;KF907373.1;JN090891.1;HQ219458.1;EU143947.1;HQ219448.1;AB996616.1;AJ420695.1;AJ007280.1;KX998746.1;AJ421149.1;KF907392.1;AB996634.1;FJ765386.1;AB996629.1;AB996607.1;KF907385.1;KF907380.1;HM135076.1;HM135070.1;AY919764.1;HM135074.1;HM135077.1;KC928297.1;KC928300.1;KF907409.1;JQ230002.1;KC928309.1;KX998861.1;LC129525.1;JX490054.1;JX490053.1;EU286783.1;KC928298.1;KX998772.1;KC928299.1;AB240954.1;KJ925296.1;AY919729.1;AY919686.1;AY919794.1;AY919710.1;KC928304.1;AY919784.1;KF907371.1;AB996610.1;AY919700.1;AY919727.1;KX998872.1;JF730771.1;HQ710589.1;KX998830.1;KF907395.1;KX998855.1;KF907378.1;AB996645.1;KF907369.1;KF907375.1
KU900223.1_extraction				1	multiple	end_to_end	1.0	323	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Pyrenomonadales;family:Pyrenomonadaceae;genus:Rhodomonas;species:Rhodomonas sp. CCMP768;	superkingdom:100.0;phylum:12.6703324453;class:99.9666666667;order:99.9666666667;family:99.9666666667;genus:95.4061799312;species:29.6972305472;	KU900223.1;HF952596.1;HF952597.1;HF952603.1;HF952605.1;HF952581.1;HF952584.1;FJ973361.1;HF952559.1;HF952555.1;HF952561.1;HF952556.1;HF952557.1;HF952560.1;HF952600.1;HF952591.1;HF952572.1;HF952573.1;HF952599.1;HF952592.1;X54276.1;HF952601.1;HF952590.1;U53130.1;AB183594.1;HF952582.1;U53132.1;AF508273.1;HF952593.1;HF952579.1;HF952595.1;KP404786.1;HF952594.1;HF952558.1;HF952575.1;HF952576.1;U53128.1;HF952578.1;HF952574.1;AJ007286.1;AJ421148.1;HF952569.1;EF195733.1;HF952586.1;HF952568.1;HF952583.1;HF952589.1;HF952562.1;HF952598.1;HF952580.1;AF508274.1;HF952571.1;HF952567.1;HM126532.1;HF952587.1;HF952570.1;HM126535.1;KP404781.1;HF952566.1;HF952563.1;HF952585.1;EU926158.1;JQ315655.1;HF952588.1;X81373.1;LC129531.1;EF195737.1;HF952604.1;AF508276.1;KP404783.1;AB240956.1;GQ375265.1;KP404775.1;GU594640.1;KU743828.1;KU743827.1;HM126536.1;AJ007285.1;AB240957.1;AB240958.1;AJ007279.1;AJ007278.1;KU743844.1;AF508268.1;KP404770.1;AJ420699.1;U53126.1;KT861332.1;HG328382.1;AJ007277.1;HM126534.1;AJ420698.1;KF907403.1;FR850018.1;AF508269.1;KP404771.1;EU143953.1;AB240960.1;JN934672.1;KC488399.1
KU900224.1_extraction				1	multiple	end_to_end	1.0	328	superkingdom:Eukaryota;phylum:NA;class:NA;order:Prymnesiales;family:Prymnesiaceae;genus:Prymnesium;species:uncultured eukaryote;	superkingdom:100.0;phylum:6.65833333333;class:6.65833333333;order:46.6708333333;family:46.6708333333;genus:46.6083333333;species:53.2666666667;	L34670.1;KP404905.1;KP404686.1;KP404906.1;KP404798.1;KJ756812.1;KP404685.1;KP404727.1;AJ246269.1;KP404726.1;L34671.1;JN090869.1;AB183612.1;AJ246268.2;KU900224.1;KF684962.1;EF017804.1;AB183605.1;FR874498.1;AJ246267.1;KJ763216.1;KJ763188.1;AM491013.2;AM490995.2;U40923.1;AM491008.2;KF130396.1;AB183617.1;AB478412.1;KP404788.1;KJ763010.1;KJ763100.1;KJ762912.1;KJ760407.1;FR865770.1;KF130130.1;KF130149.1;FJ537341.1;KF130129.1;KJ763246.1;AB183608.1;GU824545.1;KJ020923.1;KJ020925.1;EF172993.1;KU743740.1;KU743746.1;KF620978.1;KU743756.1;KF621008.1;KU743752.1;KU743754.1;KU743757.1;KF130550.1;KU743742.1;KU743744.1;KU743758.1;MF185178.1;HQ446272.1;KP404692.1;AF107089.1;KU743759.1;KP404673.1;GU825190.1;KJ762999.1;EF526953.1;KF129804.1;FN551245.1;FN551244.1;FN551236.1;FN551235.1;FN551233.1;FN551240.1;FN551239.1;FN551234.1;AM491007.2;FR874448.1;KF621007.1;AM491021.2;KF621009.1;FR874463.1;AJ246273.1;AM491001.2;AJ544117.1;AM490981.2;EU371174.1;KF620972.1;KC888128.1;KT861316.1;JN934681.1;AJ544119.1;AJ544116.1;AM490975.2;EF208116.1;KU561110.1;AJ544120.1;AB847971.1;FN690514.1;AB478413.1;AM491028.2
KU900225.1_extraction				1	multiple	end_to_end	1.0	329	superkingdom:Eukaryota;phylum:NA;class:NA;order:Isochrysidales;family:Isochrysidaceae;genus:Isochrysis;species:Isochrysis galbana;	superkingdom:100.0;phylum:33.3333333333;class:33.3333333333;order:100.0;family:100.0;genus:100.0;species:100.0;	HM149541.1;HM149540.1;KU900225.1;HM149542.1;HM246242.1;KX980521.1;DQ079859.1;HM149543.1;DQ075200.1;KX980524.1;KY054965.1;HM149539.1;U40924.1;AJ246266.1;EU924188.1;XM_005756271.1;KX229688.1;GU474037.1;XM_005783044.1;KX056533.1;XM_005773227.1;AB058360.1;XM_005783537.1;AB183665.1;XM_005768650.1;XM_005776331.1;HQ877921.1;KC594686.1;HQ877901.1;KP404907.1;FJ537301.1;HQ446272.1;KP404687.1;KC888104.1;KF696664.1;KX980525.1;KC888108.1;AM490999.2;KC888095.1;AM490996.2;GQ118682.1;KC888109.1;DQ071574.1;KC888106.1;LC189150.1;KC888101.1;XM_005779403.1;DQ075203.1;AM490998.2;AM490997.2;KC888098.1;KC888102.1;KC888103.1;KC888105.1;KC888117.1;KC888116.1;KC888112.1;KC888115.1;HQ877902.1;DQ071572.1;HQ877903.1;HQ877911.1;KF130071.1;KJ762902.1;AF107091.1;KP404906.1;AM491015.1;AB183617.1;HQ877910.1;KC888100.1;KC888114.1;KC888099.1;AF107081.1;GU824002.1;HM581638.1;FJ537337.1;AF107090.1;AJ402346.1;HQ877920.1;KF620982.1;FJ537312.1;KP404688.1;HM581633.1;KX056536.1;KX980523.1;DQ071573.1;KX980522.1;HM103447.1;KC888122.1;KC888125.1;L04957.2;KX056535.1;JX868515.1;AF180940.1;KP404725.1;KP404684.1;KP404904.1;KC888120.1;KC888118.1;KX056532.1
KU900226.1_extraction				1	multiple	end_to_end	1.0	324	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Suessiales;family:Symbiodiniaceae;genus:Symbiodinium;species:Symbiodinium voratum;	superkingdom:100.0;phylum:6.15566742081;class:100.0;order:93.8443325792;family:93.8443325792;genus:93.8443325792;species:55.4010067873;	HF568830.1;GU362427.1;HE653238.1;HF568835.1;EF492514.1;HF568832.1;EF492496.1;HF568834.1;HF568833.1;HF568831.1;HE653239.1;LK934675.1;AF225965.1;GU362424.1;AF274279.1;KU900226.1;GU362425.1;KC816639.1;KC816641.1;HM067613.1;HM067612.1;AB016595.1;KC816638.1;KC816640.1;AY165766.1;AB016594.1;LK934671.1;M88509.1;LK934663.1;LK934670.1;AB016722.2;HM067611.1;LK934668.1;EF036539.1;AF238258.1;AB016724.1;HM067608.1;KC816642.1;LT631083.1;KC816637.1;AB016538.1;L13717.1;LK934674.1;U10893.1;LK934667.1;JQ305795.1;JQ320136.1;AF238256.1;AF238257.1;HG529978.1;AY443023.1;AB085915.1;AB085912.1;JN717147.1;LC189087.1;AB863030.1;KC816631.1;KC816632.1;KC816659.1;KC816655.1;KC816661.1;KC816674.1;KC816662.1;LC068840.1;JF791031.1;KJ763401.1;AF182822.1;KC816675.1;KC816656.1;KC816660.1;KC816670.1;KC816635.1;KC816665.1;KC816663.1;LC054923.1;KC816666.1;KC816636.1;KJ650343.1;AY160124.1;FR865627.1;FN690123.1;KT860942.1;KJ762869.1;KJ759286.1;FN690164.1;HM103494.1;FN690080.1;JF791046.1;JF791040.1;KC816633.1;EU371141.1;KJ759593.1;KJ762062.1;AY456111.1;FN690262.1;HQ438125.1;FN690161.1;FN690163.1;FN690144.1;FJ914482.1
KU900227.1_extraction				1	multiple	end_to_end	1.0	323	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Peridiniales;family:Heterocapsaceae;genus:Heterocapsa;species:Heterocapsa triquetra;	superkingdom:100.0;phylum:5.13480291638;class:94.3478810663;order:84.0782752335;family:84.0782752335;genus:78.6482342219;species:46.2132262474;	LC054933.1;EF492494.1;LC054932.1;MF423348.1;KU900227.1;EF492499.1;MF423349.1;MF423347.1;EF492492.1;AY421787.1;AJ415514.1;AB183670.1;AF274265.1;AF022198.1;MF423350.1;AB183639.1;AY692271.1;FJ549370.1;MF423346.1;AF274266.1;KJ763178.1;KJ762962.1;KJ763387.1;KJ763255.1;GU824216.1;AF033865.1;KJ762571.1;JX262492.1;KR362906.1;AF274270.1;GU825128.1;LC189145.1;KJ757309.1;AF274267.1;AF521100.1;GU824588.1;JF791045.1;GU825113.1;KJ758296.1;KC336937.1;GU647165.1;JN098199.1;KJ757193.1;JF791044.1;GU824152.1;GU823710.1;GU825314.1;GU824301.1;DQ103869.1;EF417315.1;GU823986.1;GU823839.1;GU825138.1;GU819947.1;EF526881.1;KJ762875.1;EF100400.1;GU825700.1;GU824712.1;GU825519.1;GU824599.1;KJ763274.1;GU825164.1;EF527032.1;KJ757933.1;GU824507.1;KJ758170.1;KJ758324.1;KJ763103.1;GU824742.1;LN811348.1;KJ758382.1;GU825063.1;KJ758344.1;FJ914452.1;JN098210.1;KC488439.1;KJ759709.1;JF275653.1;FJ914471.1;FJ914425.1;FJ914414.1;FJ914409.1;FJ914406.1;FJ914426.1;FJ914415.1;FJ914475.1;KJ758006.1;GU594638.1;FJ914436.1;HQ902266.1;KX602131.1;FN690216.1;KC336916.1;KJ763128.1;FJ914416.1;FJ914461.1;JF826364.1;KJ995958.1;FJ914492.1
