seq_name	mock_sanger	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction	1	superkingdom:Eukaryota;phylum:Bacillariophyta;class:Coscinodiscophyceae;order:Thalassiosirales;family:Thalassiosiraceae;genus:Thalassiosira;species:Thalassiosira pseudonana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:96.7348484848;species:87.096969697;	AF374481.2;DQ514863.1;HF565127.1;HM991698.1;DQ093367.1;DQ093364.1;HQ912555.1;AF525672.1;AY485452.1;DQ514880.1;DQ514859.1;KU900218.1;KY364697.1;FR865514.1;AY496207.1;AY221723.1;GQ148712.1;AY496211.1;AY496213.1;AB430591.1;KY364696.1;AM236073.1;AY496210.1;AY496206.1;AY496212.1;AJ535172.1;HM805030.1;DQ093371.1;KJ961703.1;DQ514862.1;DQ514856.1;DQ514851.1;DQ514854.1;DQ514861.1;DQ514850.1;KC736617.1;HQ912576.1;DQ514853.1;AJ810858.1;HM991701.1;AJ632205.1;DQ396518.1;DQ514869.1;DQ514860.1;KF959665.1;AB948140.1;DQ396523.1;AB948141.1;KT347147.1;AF374478.2;AB948138.1;AJ535173.1;DQ396524.1;KM203108.1;AY485494.1;EF585582.1;AB728775.1;AJ535166.1;AY684954.1;AY684950.1;AY684948.1;AF374479.2;GQ281043.1;FJ600728.1;HM991702.1;AJ535170.1;AY485445.1;DQ514864.1;KT072987.1;KT386323.1;AY684966.1;KT386324.1;AY684960.1;AY684962.1;AY684952.1;DQ514852.1;DQ329270.1;JN676163.1;AY188182.1;FJ266032.1;FJ266034.1;DQ514879.1;EU364891.1;AY684963.1;AY684965.1;KM203109.1;HQ912562.1;AY684961.1;DQ514889.1;AY684959.1;DQ514875.1;DQ514881.1;DQ011159.1;AF374477.2;HQ912617.1;KJ081747.1;GU594641.1;HQ710554.1;GQ148714.1;GQ148716.1
KU900219.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Microthamniales;family:NA;genus:Asterochloris;species:Asterochloris erici;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:6.25;genus:81.25;species:12.5;	KP318695.1;KP318684.1;KP318683.1;AB080310.1;KR952315.1;KP318694.1;KP318685.1;KP318687.1;KP318692.1;GU017647.1;KR952314.1;KP318690.1;KP318686.1;KU900219.1;KP318691.1;JN573863.1;KR952316.1;Z21552.1;JN573891.1;MF581791.1;KF144234.1;FR865539.1;FR865541.1;FR865553.1;KJ676103.1;FR865662.1;FM205833.1;MF686487.1;AB506070.1;KX094753.1;AJ410463.1;FJ211064.1;MF664527.1;FR865546.1;AJ410466.1;AJ410465.1;AY220563.1;DQ377321.1;AJ410462.1;AJ410459.1;FR865559.1;FR865533.1;FR865557.1;FR865556.1;KF597304.1;FR865552.1;FR865558.1;FR865584.1;GQ122354.1;FR865560.1;GQ487221.1;FR865549.1;FR865739.1;KJ616754.1;AJ410461.1;JN903984.1;FR865554.1;FR865534.1;FR865540.1;AJ410456.1;JN982286.1;FR865542.1;KM114868.1;FR865535.1;KJ676118.1;AB175837.1;KY086474.1;KY086472.1;AY271675.1;JX446487.1;HE586515.1;JX446485.1;JX446486.1;LC057292.1;AJ410467.1;AJ410464.1;JQ315506.1;JQ315765.1;FR865604.1;KX781334.1;FR865545.1;FR865561.1;FR865562.1;AB218708.1;AJ410460.1;HQ322126.1;FR865551.1;AJ410457.1;FR865548.1;FR865537.1;FR865538.1;AJ306536.1;FR865590.1;AB058304.1;FR865543.1;KM020045.1;M62999.1;Z28974.1;FN298927.1;FR865544.1
KU900220.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Chlorellales;family:Chlorellaceae;genus:Chlorella;species:Chlorella vulgaris;	superkingdom:100.0;phylum:100.0;class:93.0092148828;order:92.7903838815;family:92.7903838815;genus:84.0628688181;species:75.8460261293;	X13688.1;KU900220.1;KU291884.1;KJ676103.1;FM205832.1;FR865658.1;KJ676102.1;KJ756813.1;KU306723.1;JX185298.1;KJ148623.1;FR865682.1;JQ315772.1;AF360745.1;FR865662.1;KF791544.1;FM205855.1;AB488575.1;AM231735.1;FR865589.1;FR865696.1;KJ676108.1;KJ676105.1;AB488582.1;AM231734.1;FN298918.1;FR865659.1;FR865697.1;KJ676104.1;FM205853.1;FM205854.1;DQ377323.1;AB488577.1;FR865660.1;KC517115.1;MF686452.1;KJ676107.1;KJ676106.1;KJ756823.1;FR865681.1;FN298917.1;KP341004.1;AB162910.1;AB699112.1;KM020172.1;KU926336.1;JX446471.1;KM020033.1;KF661335.1;KF879591.1;MF686487.1;X74001.1;KU926337.1;JX446472.1;AB080307.1;AY195964.1;KF444207.1;KF864476.1;GQ507371.1;GQ122370.1;KP204548.1;KP204566.1;JX097060.1;KF661334.1;AB488579.1;AY876301.1;KU291897.1;AB488580.1;AB488578.1;KX094755.1;KX094756.1;AY197630.1;HQ702293.1;HQ702294.1;HQ702295.1;HQ702292.1;HQ702296.1;HQ702290.1;AB488576.1;KX355553.1;AB488581.1;KT778121.1;HQ702281.1;KX094757.1;KF982000.1;KT285521.1;KM514840.1;KM514850.1;KF981999.1;KM514846.1;AB178085.1;KM514853.1;KM514814.1;KM514807.1;KM514827.1;KM514809.1;KM514813.1;KM514811.1;KM514808.1;KM514854.1
KU900221.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Chlorophyceae;order:Sphaeropleales;family:Scenedesmaceae;genus:Tetradesmus;species:Tetradesmus obliquus;	superkingdom:100.0;phylum:100.0;class:99.7818171888;order:93.8777221799;family:93.3500397274;genus:40.5661590329;species:31.2648004247;	KT267272.1;KF898122.1;AY510463.1;HQ246320.1;FR865726.1;HQ246322.1;KP726267.1;KF791543.1;X74002.1;KF879581.1;FR865736.1;AY510458.1;AB917118.1;AY510462.1;KU291899.1;FR865719.1;KY268297.1;AY197641.1;AY510461.1;KU057946.1;JX446457.1;JF834707.1;KC492077.1;KJ676128.1;KF879582.1;KJ676129.1;KF898121.1;KU948221.1;JX513885.1;FR865738.1;KU900221.1;KR904911.1;AF513372.1;AB917100.1;X56103.1;FR865737.1;AB037088.1;AY510460.1;KU291882.1;HQ246318.1;AY510464.1;KU948220.1;JQ315585.1;KJ676127.1;FR865731.1;KF879583.1;KT883908.1;KF144164.1;AB917101.1;JQ315590.1;JQ315598.1;JQ315591.1;JQ315565.1;JQ315569.1;FR865721.1;KP726269.1;JQ315571.1;JQ315790.1;JQ315500.1;JQ315600.1;JQ315588.1;JQ315568.1;JQ315578.1;KP726268.1;JQ315584.1;JQ315791.1;JQ315586.1;FR865722.1;JQ315593.1;JQ315597.1;AB917103.1;AF388375.1;KF879588.1;JQ315594.1;FR865661.1;HQ012373.1;JQ315596.1;JQ315572.1;KP726224.1;KC492076.1;KX427161.1;KP726265.1;GQ375097.1;KP726266.1;AB055801.1;JX413790.1;FR865734.1;KT778105.1;KT778109.1;KT778117.1;KT778101.1;KT778111.1;KJ676123.1;KT778096.1;KJ173794.1;KF805716.1;KT778115.1;AY846371.1;KT279482.1;X56099.1
KU900222.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Cryptomonadales;family:Cryptomonadaceae;genus:Cryptomonas;species:Cryptomonas pyrenoidifera;	superkingdom:100.0;phylum:7.69957140383;class:100.0;order:100.0;family:100.0;genus:100.0;species:54.2827464331;	KF907402.1;KU900222.1;AF508267.1;KF907394.1;AJ421147.1;AF508270.1;AJ421150.1;EU163586.1;KF907398.1;AM051198.2;KF907397.1;KF907387.1;KF907389.1;KF907407.1;AF508271.1;AJ420696.1;KF907399.1;AM051191.2;AM051192.2;KF907391.1;AM051188.2;KF907382.1;KF907393.1;KF907400.1;AM051190.2;EU163587.1;KF907405.1;AM051189.2;KF907370.1;KF907376.1;KF907374.1;KF907373.1;KF907381.1;AJ420695.1;AJ007280.1;KF907392.1;AJ421149.1;KC928313.1;AM051194.2;AJ007276.1;AM051195.2;AM051196.2;KF907385.1;L28811.1;AJ007281.1;AM051200.2;KF907401.1;KF907380.1;KC928297.1;KC928300.1;KF907409.1;JQ230002.1;KC928309.1;LC129525.1;JX490054.1;JX490053.1;EU286783.1;AJ420697.1;KC928298.1;KC928299.1;AB240954.1;KF907384.1;KC928316.1;KC928304.1;KF907371.1;HG328381.1;AJ007278.1;KF907403.1;AJ007277.1;HG328382.1;AJ420698.1;KC928314.1;KC928315.1;HM126534.1;JN050857.1;AF143943.1;KF734089.1;LC129526.1;GQ375264.1;GQ375265.1;U53122.1;AM901361.1;HM126536.1;AJ007285.1;HQ710589.1;AF508269.1;KF907404.1;KF907395.1;X81328.1;AB240953.1;AB240955.1;KF907377.1;KF907378.1;HG328378.1;HF952604.1;AB240952.1;KF907375.1;KF907369.1;AM901364.1;KC928317.1
KU900223.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Pyrenomonadales;family:Pyrenomonadaceae;genus:Rhodomonas;species:Rhodomonas sp. CCMP768;	superkingdom:100.0;phylum:12.7987807944;class:100.0;order:100.0;family:100.0;genus:95.3700136465;species:30.2805914674;	KU900223.1;HF952605.1;HF952581.1;HF952603.1;HF952596.1;HF952584.1;HF952597.1;FJ973361.1;HF952555.1;HF952561.1;HF952560.1;HF952556.1;HF952559.1;HF952557.1;HF952591.1;X54276.1;HF952573.1;HF952600.1;HF952572.1;HF952592.1;HF952601.1;HF952599.1;HF952590.1;HF952582.1;U53132.1;HF952594.1;HF952593.1;AF508273.1;HF952595.1;AB183594.1;U53130.1;HF952579.1;HF952558.1;U53128.1;HF952574.1;HF952575.1;HF952578.1;HF952576.1;AJ007286.1;AJ421148.1;HF952580.1;EF195733.1;HM126532.1;HM126535.1;EU926158.1;HF952589.1;AF508274.1;HF952586.1;HF952566.1;HF952569.1;HF952583.1;HF952562.1;HF952585.1;HF952587.1;HF952563.1;HF952567.1;HF952598.1;HF952568.1;HF952571.1;HF952570.1;JQ315655.1;HF952588.1;X81373.1;LC129531.1;EF195737.1;HF952604.1;AF508276.1;AB240956.1;GQ375265.1;KF734089.1;GQ375264.1;GU594640.1;X57162.1;HM126536.1;AJ007285.1;AB240958.1;AB240957.1;HG328381.1;AF508268.1;AJ007279.1;U53126.1;AJ420699.1;AJ007278.1;KT861332.1;KF734088.1;AJ007277.1;HG328382.1;HM126534.1;AJ420698.1;KF907403.1;AB058365.1;FR850018.1;AF508269.1;X81328.1;AJ007283.1;AJ007287.1;EF195735.1;EF195736.1;AB240960.1;JN934672.1
KU900224.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:NA;order:Prymnesiales;family:Prymnesiaceae;genus:Prymnesium;species:Prymnesium parvum;	superkingdom:100.0;phylum:14.2003968254;class:14.2003968254;order:99.6527777778;family:99.6527777778;genus:99.4027777778;species:71.001984127;	KU900224.1;L34671.1;AJ246269.1;L34670.1;AB183612.1;KJ756812.1;AJ246268.2;AB183611.1;KF684962.1;AJ246271.1;AM491015.1;EF017804.1;AM491029.2;AB183603.1;AB058358.1;AM491013.2;AM490995.2;U40923.1;AM491008.2;AM491012.1;AB058347.1;AB183604.1;X90992.1;AJ004866.1;FR677016.1;AB250785.1;AB183617.1;AB478412.1;AJ246262.1;AJ246261.1;FR865770.1;AB058348.1;DQ071574.1;AM491030.2;AB183607.1;AM491016.2;AM491011.1;KJ020925.1;AM491010.2;AB183616.1;KF696663.1;KF728655.1;KF728654.1;KJ756811.1;AJ246263.1;FN551249.1;FN551245.1;FN551236.1;AB183265.1;FN551243.1;AM491005.2;AM491027.2;FN551241.1;FN551242.1;AB847970.1;FN551235.1;AM491025.2;FN551233.1;FN551238.1;FN551239.1;FN551240.1;FN551234.1;AM491007.2;AM490980.2;AJ246278.1;AM491021.2;AB199882.1;LT560334.1;FN551232.1;AM491000.2;KT861300.1;AJ246273.1;AJ246277.1;KY054990.1;AM490985.2;FR865767.1;AM491001.2;KU561118.1;FN551248.1;AB847972.1;AM490981.2;FN551247.1;DQ980478.1;AJ246274.1;AM490992.2;KX980525.1;AM491019.2;AB601109.1;JN934681.1;AJ544119.1;AJ544115.1;AJ544118.1;AJ544121.1;FN599060.1;KU561110.1;AJ544120.1;AM490978.2;AB478413.1;AM491017.2;AM491028.2
KU900225.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:NA;order:Isochrysidales;family:Isochrysidaceae;genus:Isochrysis;species:Isochrysis galbana;	superkingdom:100.0;phylum:33.3333333333;class:33.3333333333;order:100.0;family:100.0;genus:100.0;species:100.0;	KU900225.1;HM149541.1;HM149540.1;HM149539.1;HM246242.1;HM149542.1;HM149543.1;KY054965.1;KX980524.1;KX980521.1;DQ079859.1;DQ075200.1;AJ246266.1;EU924188.1;XM_005773227.1;XM_005783537.1;XM_005768650.1;XM_005783044.1;KX056533.1;AB058360.1;AB183665.1;XM_005756271.1;KX229688.1;XM_005776331.1;HQ877921.1;KC594686.1;HQ877901.1;KC888104.1;KF696664.1;KX980525.1;KC888108.1;AM490999.2;KC888095.1;AM490996.2;GQ118682.1;KC888109.1;DQ071574.1;LC189150.1;KC888101.1;KC888106.1;XM_005779403.1;DQ075203.1;AM490997.2;AM490998.2;KC888098.1;KC888105.1;KC888102.1;KC888103.1;AB478412.1;KC888117.1;KC888112.1;KC888116.1;U40923.1;KC888115.1;DQ071572.1;HQ877903.1;HQ877902.1;HQ877911.1;AB636316.1;L34670.1;AJ246269.1;AJ246267.1;AB183617.1;L34671.1;EF017804.1;KU900224.1;AB183605.1;HQ877910.1;KC888100.1;KC888114.1;KC888099.1;AB183604.1;HQ877920.1;AJ246271.1;AM491013.2;AM491029.2;KJ020925.1;AM490994.1;KF684962.1;AM491030.2;AB183608.1;AM491011.1;KF728655.1;AJ004866.1;KX056536.1;KX980523.1;KX980522.1;DQ071573.1;AJ246265.1;AB058348.1;KC888125.1;KC888122.1;FR865770.1;KX056535.1;JX868515.1;L04957.2;AF180940.1;KC888120.1;KC888118.1;KX056532.1
KU900226.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Suessiales;family:Symbiodiniaceae;genus:Symbiodinium;species:Symbiodinium voratum;	superkingdom:100.0;phylum:6.13502297054;class:100.0;order:93.8649770295;family:93.8649770295;genus:93.8649770295;species:55.2152067349;	HE653239.1;AF274279.1;LK934675.1;HF568830.1;GU362427.1;HF568832.1;HE653238.1;GU362424.1;HF568834.1;AF225965.1;HF568835.1;HF568833.1;HF568831.1;KU900226.1;EF492514.1;EF492496.1;GU362425.1;KC816640.1;KC816638.1;AB016595.1;KC816641.1;HM067613.1;HM067612.1;KC816639.1;HM067611.1;EF036539.1;AF238258.1;LK934663.1;M88509.1;LK934668.1;LK934671.1;LK934670.1;AB016722.2;AB183640.1;AB016538.1;JQ305795.1;HM067608.1;LK934672.1;AB016723.1;LK934669.1;X62650.1;KC816637.1;KC816642.1;L13717.1;AB016581.1;JQ320136.1;AF238257.1;AY443023.1;LT631058.1;U10892.1;AB085915.1;JN717147.1;LC189087.1;AB085911.1;KC816661.1;KC816659.1;KC816632.1;KC816662.1;KC816631.1;KC816674.1;KC816655.1;LC068840.1;JF791031.1;KC816656.1;KC816660.1;KC816675.1;AB085914.1;LN898222.1;KC816670.1;KC816666.1;KC816635.1;KC816663.1;KC816665.1;LC054923.1;KC816636.1;KJ650343.1;AY160124.1;AJ415517.1;EF492501.1;AF022195.1;FR865627.1;AF274259.1;EF492502.1;AF009216.1;AJ415518.1;DQ847434.1;EF492504.1;AF172714.1;AF172713.1;KT860942.1;FN357291.1;AF274262.1;AY800130.1;JF791046.1;JF791048.1;KC816633.1;JF791044.1;AY456111.1;FJ587219.1;FJ587220.1
KU900227.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Peridiniales;family:Heterocapsaceae;genus:Heterocapsa;species:Heterocapsa triquetra;	superkingdom:100.0;phylum:5.43888888889;class:100.0;order:89.1222222222;family:89.1222222222;genus:83.5807017544;species:48.95;	EF492499.1;EF492492.1;AF274265.1;KU900227.1;MF423349.1;MF423348.1;AJ415514.1;MF423346.1;AB183670.1;AY421787.1;AB183639.1;EF492494.1;LC054932.1;FJ549370.1;AF022198.1;MF423347.1;MF423350.1;LC054933.1;AF274266.1;AF033865.1;JX262492.1;AF274270.1;KR362906.1;KR362881.1;KX671042.1;KR362880.1;LC189145.1;EF058236.1;EF657885.1;GU001637.1;AF274267.1;AF521100.1;AB183674.1;HM483399.1;KR535602.1;EU418970.1;KM357282.1;AF274277.1;LC054949.1;HQ845330.1;HQ845331.1;AF274276.1;FR865630.1;AJ415515.1;AY421792.1;AY443018.1;KR535601.1;DQ847435.1;AB183671.1;JF791045.1;JF791048.1;JF791035.1;JF791046.1;JF791040.1;AY743960.1;EF417314.1;EF417316.1;AF274254.1;JF791044.1;LC054940.1;AM494499.1;EF417315.1;JF791032.1;AB120001.1;AY443017.1;FJ541189.1;U52357.1;KF751923.1;HM067010.1;AF521101.1;U52353.1;HG005135.1;AY800130.1;AM503929.1;JQ246506.1;HQ226070.1;LC054925.1;HQ226069.1;EU780646.1;AY970653.1;FJ228702.2;HQ226071.1;LN811348.1;AJ506974.1;JN982970.1;DQ388464.1;LC209793.1;AJ506972.1;LC192320.1;LC192323.1;AB353771.1;JQ639764.1;GU594638.1;HQ902266.1;HQ845328.1;KF751926.1;AB366002.1;EF417313.1;KJ995958.1;KF925338.1
