seq_name	mock_sanger	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Stramenopiles;order:D_3__Ochrophyta;family:D_6__Mediophyceae;genus:D_7__Thalassiosira;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	HF565127.1.2569;AY496208.1.1777;KM203108.1.1711;KM203109.1.1700;JQ781885.1.1796;DQ514859.1.1767;DQ310316.1.1399;AM712618.1.1803;AY221723.1.1798;JQ420105.1.1780;DQ514854.1.1746;JF791071.1.1777;DQ514856.1.1722;KT347147.1.3358;GU385572.1.1704;DQ514881.1.1755;EF192998.1.1618;JQ420124.1.1766;GU385529.1.1708;GU385539.1.1708;AF374478.1.1804;AF374477.1.1805;JF790985.1.1777;KJ758384.1.1803;DQ093366.1.1806;DQ310207.1.1388;GU823676.1.1397;DQ514864.1.1765;JF790979.1.1777;DQ514852.1.1730;GU385519.1.1708;JQ781887.1.1801;DQ514870.1.1749;JQ782060.1.1800;KJ758236.1.1799;KC771156.1.1803;AJ810856.1.1806;AY882503.1.1210;DQ514891.1.1754;AJ810854.1.1810;KJ757948.1.1800;AY256234.1.1309;JX069324.1.1637;KC284714.1.1781;AB430594.1.1791;JF790978.1.1777;JF790982.1.1777;AY882501.1.1214;AB275031.1.1667;KJ758134.1.1782;HM991692.1.1771;AY256227.1.1223;AY882502.1.1200;DQ093368.1.1806;KP137419.1.1711;DQ514904.1.1725;AJ810855.1.1801;JF730764.1.1711;DQ514905.1.1749;JQ782059.1.1799;JF826355.1.1616;AY256313.1.1207;DQ514882.1.1744;GU823004.1.1204;AY256320.1.1214;AJ535169.1.1793;DQ514867.1.1715;HM106505.1.1640;DQ514903.1.1735;DQ514901.1.1749;EU371210.1.1803;AJ810859.1.1809;AY256296.1.1224;HM991693.1.1758;AB353772.1.1738;KU295762.1.1667;X85397.1.1802;AY256292.1.1217;GU823134.1.1397;DQ514876.1.1765;AY665000.1.1757;GU385523.1.1702;GQ148713.1.1782;JQ782038.1.1800;AY046654.1.1206;KJ758251.1.1805;GU823124.1.1201;HQ912655.1.1751;JF791059.1.1777;KR048194.1.1628;KJ577846.1.1344;KJ758369.1.1799;GU385531.1.1706;HQ912674.1.1340;GU385536.1.1709;KF701594.1.1632;AB430605.1.1762;KR048198.1.1359;JX069327.1.1661;EU371178.1.1781
KU900219.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:D_4__Trebouxiophyceae;genus:D_5__Chlorella sorokiniana;species:D_6__Chlorella sorokiniana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.0;species:99.0;	KP318683.1.2142;KR952316.1.2077;EF023347.1.1784;AB006051.1.1796;EF023440.1.1785;KF673393.1.1732;EU878373.1.1752;AJ311638.1.1719;FJ790649.1.1735;AJ439399.1.1795;AJ306534.1.1716;KF693810.1.1752;HQ287928.1.1609;HG972995.1.2450;EF440183.1.1651;AB006050.1.2222;KP081399.1.1694;HG972998.1.2423;FR693368.1.1633;FM205882.1.2379;JN020229.1.1405;KM020045.1.2160;HW576338.1.1677;AB713412.1.2727;EF024244.1.1800;HE586510.3.2169;KM020151.1.2532;HJ800245.7.1741;AB079032.1.1737;AB780365.1.2085;AB058304.1.1749;JX391013.1.1728;FM958480.1.2146;KF661334.1.1766;KP081369.1.1730;KP201572.1.1287;KM068032.1.1722;HE586515.1.2118;AM422984.1.1721;EF200527.1.1709;AY197630.1.1795;HQ317312.1.1758;HQ287284.1.1312;HG973004.1.2546;AB079031.1.1283;AB488603.1.1656;KP071388.1.1658;DQ377322.1.1798;AJ439401.1.1801;LC086368.1.1742;AY195972.1.1797;JX391010.1.1651;FJ648515.1.1762;Z28973.1.1787;JF791112.1.1777;HQ287275.1.1305;AB903001.1.1776;HM030919.1.1641;FJ217360.1.1736;JX101906.1.1537;AB472272.1.1687;EU105208.1.1700;LC086371.1.1742;KP081356.1.1733;HF586460.1.2170;JQ356704.1.1656;JQ356707.1.2599;KC486718.1.1641;AF408246.1.1644;KP081328.1.1732;Z68702.1.2841;HM245350.1.1721;FR865666.1.2487;AB058310.1.2510;FM946000.1.1781;EU091849.1.1430;JQ315768.1.1808;EU127470.1.1764;FM946012.1.2168;FM946001.1.2161;FM946019.1.1780;JX169844.1.1760;JQ627430.1.1427;HM135079.1.1730;GU017648.1.1775;KP071394.1.1574;JQ627447.1.1523;KJ762991.1.1788;KC487193.1.1640;JQ988938.1.1734;LC086369.1.1742;JQ988940.1.1702;AB701548.1.1643;JX070625.1.1779;FR865586.2.1762;AB511834.1.1687;HM754414.1.1517;FJ790659.1.1728;AB701542.1.1680;EF023314.1.1782
KU900220.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:D_4__Trebouxiophyceae;genus:D_5__Chlorella sp. QUCCCM18;species:D_6__Chlorella sp. QUCCCM18;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AB488576.1.1648;JQ315519.1.1672;ADIC01000410.9913.12031;AY323840.1.1769;AB240151.1.2162;JX154075.1.1609;FM205858.1.2597;FM205876.1.1779;FM205882.1.2379;JN661815.1.1214;FM205862.1.2098;FM205840.1.2097;KC416208.1.1367;FM205863.1.2130;KM985424.1.1359;JQ664295.1.1487;AF288365.1.2118;LC075779.1.2119;KP201572.1.1287;KF574393.1.1718;JX889640.1.1727;FM205836.1.1779;KP726268.1.1761;KF661334.1.1766;AY197630.1.1795;GQ487238.1.1731;FM205880.1.2094;AB713412.1.2727;EF024302.1.1784;GQ487227.1.1726;KR904899.1.1308;AY323839.1.1767;AB488574.1.1644;HQ111431.1.1726;JX296635.1.1731;KF805713.1.1721;DQ377322.1.1798;JQ315510.1.1343;KF805714.1.1723;HQ702286.1.1630;AY195973.1.1796;AB713408.1.1655;KM985390.1.1205;KF574391.1.1721;GQ502287.1.3704;FJ593468.1.1617;KP726219.1.1764;AB012845.1.1792;FJ946890.1.1730;AB080300.1.1789;EF440183.1.1651;JX296617.1.1726;AB488594.1.1675;AY195983.1.1794;AB488600.1.1664;KT893857.1.1651;KF693808.1.1512;GQ487192.1.1743;KT893856.1.1645;JQ797561.1.1722;JX097053.1.1748;GQ487201.1.3882;KM020036.1.1775;JN090888.1.1794;AB488589.1.1671;AB488603.1.1656;GQ487217.1.3037;AB488591.1.1544;AY197625.1.1761;KT893862.1.1649;JX235961.1.1754;KF805715.1.1731;KT726935.1.1637;GQ487204.1.2716;FJ013257.1.2329;X81965.1.2214;GQ487219.1.2551;EF024254.1.1810;JQ920362.1.1769;KF693810.1.1752;JX169833.1.1652;HQ418417.1.3433;FM958480.1.2146;AJ416104.1.1736;HQ246305.1.1748;KJ635669.1.1746;JQ356706.1.3120;AY780663.1.1689;U63097.1.1770;U63105.1.1462;AY220085.1.1788;AB488566.1.1596;JX296598.1.1718;AB214975.1.1756;JF790981.1.1777;LC086333.1.1745;GQ120999.1.1576;JQ315561.1.1668;AY425322.1.1776;KM020176.1.1763
KU900221.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:D_5__Sphaeropleales;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:33.6096539425;genus:36.3426218518;species:37.7756738875;	AB037097.1.2265;AB917100.1.1776;JF972663.1.1644;JQ315592.1.1663;KF805716.1.1724;JQ315595.1.1669;AY170311.1.1728;AB037089.1.1788;FN298924.1.2265;AF388377.1.1778;FJ946899.1.2546;AM419228.1.1711;KP717763.1.1605;AB037098.1.2252;EF023123.1.1782;AY197621.1.1794;AB037094.1.1790;KT984853.1.2658;JX513881.1.2952;JX513882.1.2819;KM985417.1.1320;AB742452.1.2184;FR865674.1.2658;LWCB01008357.1725.4338;AB037082.1.2710;KC861672.1.1639;EF024072.1.1794;AB742453.1.2271;KC492077.1.1769;KM020171.1.1755;KF879581.1.1701;AB743827.1.2637;JF972662.1.1638;EF024611.1.1784;KJ855305.1.1242;DI338904.22.1403;KF673376.1.2080;AF339735.1.2641;KC852905.1.1794;AY663035.1.1691;AB212094.1.1762;HM021308.1.1728;HM021321.1.1730;AF277649.1.1686;HM021314.1.1731;AY663030.1.1693;GQ375104.1.2539;JQ315558.1.1669;AY122334.1.1769;AF288363.1.1760;AF288361.1.1760;HG328355.1.1764;AY663036.1.3013;D86501.1.1750;KP187815.1.1276;AB771835.1.1675;GQ985405.1.1753;AB451189.1.1690;KM020062.1.1773;AB360746.1.1743;JN934685.1.1628;KC315813.1.1638;FR865690.2.1765;AB007370.1.1733;M74496.1.1788;M62997.1.1800;AY197638.1.1757;AB771902.1.1648;JX101324.1.1776;JQ315588.1.1670;AY197622.1.1756;AB701539.1.1650;KF144227.1.1777;FR865718.2.1768;AB721053.1.1675;AY197634.1.1757;EF023277.1.1786;AB917132.1.4295;AB001374.1.1718;KF144228.1.1656;DQ009753.1.1692;AB109544.1.2656;U70795.1.1699;FJ946881.1.1726;EF100261.1.1213;DQ009743.1.1686;JX296614.1.1711;JN090901.1.1792;JN090871.1.1792;JQ315784.1.2147;AB602849.1.1743;JX296613.1.1716;JN020229.1.1405;AJ581914.1.2566;KJ855304.1.1287;AF203398.1.1747;AY009898.1.1747;KC196722.1.1686;JN402970.1.1225;AF367860.1.3101
KU900222.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Cryptophyceae;class:D_2__Cryptomonadales;order:D_3__Cryptomonas;family:Ambiguous_taxa;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:79.1666666667;genus:79.1666666667;species:79.1666666667;	JX490053.1.1667;KF907395.1.1662;KC928304.1.1674;AM051191.1.1651;AJ421149.1.1703;AJ420696.1.1706;KF907385.1.1714;AM051190.1.1726;KF907387.1.1713;AM051188.1.1659;AY821950.1.1592;AB240953.1.1600;KF907409.1.1685;AB240952.1.1603;AM051201.1.1602;AB721046.1.1653;KF907369.1.1646;KJ925296.1.1658;AB771888.1.1629;KC315828.1.1615;AY919710.1.1717;HQ710589.1.1546;AJ420697.1.1707;AY919794.1.1707;AJ007281.1.1746;GU290075.1.1764;AJ007276.1.1741;AB240955.1.1591;AY919700.1.1694;KC928317.1.1662;EF180057.1.1671;GU647180.1.1513;KC928319.1.1650;AB721052.1.1654;KF907401.1.1699;GU647185.1.1529;KF907403.1.1701
KU900223.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Cryptophyceae;class:D_2__Cryptomonadales;order:D_3__Rhodomonas;family:Ambiguous_taxa;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:94.2666666667;genus:94.2666666667;species:94.2666666667;	AB240956.1.1601;HF952562.1.2563;AJ007286.1.1754;HF952558.1.2543;X54276.1.1762;U53128.1.1747;AF508276.1.1725;AJ421148.1.1707;HF952582.1.2492;AB240960.1.1604;HF952572.1.2500;DQ310223.1.1390;EF526813.1.1388;AF143943.1.1734;AB058365.1.1726;KJ762954.1.1780;JQ966995.1.1666;EF195737.1.1721;DQ310193.1.1541;KC488397.1.1614;JQ966996.1.1641;EF527056.1.1380;AB471786.1.1706;JQ420095.1.1751;AJ007279.1.1761;AB971065.1.1239;FJ032651.1.1632;AF143944.1.1738;AY642713.1.1388;JQ420111.1.1752;FM876311.1.1770;AB240962.1.1610;JQ420116.1.1753;AY665097.1.1724;FR850018.1.1781;AJ007285.1.1761;AM901354.1.1662;AM901352.1.1663;AM901360.1.1624;HM135081.1.1702;JF791076.1.1777;FN689951.1.1656;AB971064.1.1242;GU068021.1.1740;AY919810.1.1722;JF790986.1.1777;AY919825.1.1696;AM901358.1.1585;AB364287.1.1726;JF791030.1.1777;EF526948.1.1379;JQ226537.1.1566;JF790984.1.1777;EU371185.1.1747;LC129523.1.1683;AM901356.1.1669;EF527142.1.1764;AB240963.1.1610
KU900224.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Haptophyta;class:D_2__Prymnesiophyceae;order:D_3__Prymnesiales;family:D_4__Prymnesium;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:94.6666666667;species:94.6666666667;	AM491004.1.1800;GBYI01024087.1577.3305;AM491009.1.1792;EF172993.1.1681;AJ246271.1.1789;KP404715.1.1775;AM491010.1.1778;AB183611.1.1757;KF621000.1.1752;FN551232.1.1582;AM491008.1.1789;AM491002.1.1723;AJ246272.1.1787;AM491011.1.1802;KP404674.1.1774;AM491012.1.1801;AM490987.1.1722;FN690514.1.1693;KF130396.1.1761;AJ246274.1.1786;KF620971.1.1798;AM491016.1.1802;GU824545.1.1206;AM490984.1.1724;FJ157339.1.1641;AM491003.1.1723;AM490983.1.1724;AM491018.1.1787;AB180202.1.1707;KF130428.1.1753;KF129833.1.1759;KF130470.1.1761;GU825576.1.1204;KP404661.1.1775;KF684962.1.1757;AB183265.1.1724;AM490985.1.1724;KT861300.1.1757;AB058347.1.1756;HM581603.1.1799;KF620969.1.1796;EU446348.1.1551;KF129692.1.1759;KC888122.1.1721;GU825190.1.1202;GQ863798.1.1596;AJ402347.1.1758;AM490979.1.1721;AF107080.1.1795;AM490997.1.1721;AB636316.1.1726;DQ071574.1.1750;AM490981.1.1722;JF261100.1.1800;GU825016.1.1204;KP404672.1.1770;FR677016.1.1800;KP404851.1.1702;KF130516.1.1755;KF129696.1.1758;DQ071573.1.1700;KF130229.1.1762;AB183617.1.1757;KP404908.1.1800;AB058358.1.1749;AB478413.1.1579;GU823940.1.1202;AF107092.1.1794;HM581637.1.1797;KF130605.1.1762;KJ763084.1.1797;HM149540.1.1793;KF620972.1.1793;KF620994.1.1753;DQ980478.1.1754;AJ402334.1.1758;EF172966.1.1680;FJ537352.1.1770;AJ402351.1.1758;AB183596.1.1734;EU924188.1.1780;AY642708.1.1425;HM581634.1.1796;AF163147.1.1802;JQ956276.1.1687;AM490991.1.1730;KP404678.1.1775;FJ000253.1.1392;AJ544115.1.1719;KC582958.1.1796;KC488455.1.1665;FJ537355.1.1794;KC594686.1.1799;KF620990.1.1809;KJ759582.1.1796;KJ757232.1.1818;AM491017.1.1785;GU824821.1.1203;KT878670.1.1759;FJ537342.1.1758
KU900225.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Haptophyta;class:D_2__Prymnesiophyceae;order:D_3__Isochrysidales;family:D_4__Isochrysis;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:97.5;genus:100.0;species:100.0;	HM149540.1.1793;AM490997.1.1721;KC888095.1.1731;KC888122.1.1721;DQ071574.1.1750;DQ071573.1.1700;EU924188.1.1780;GU067829.1.1796;KC594686.1.1799;HQ446272.1.1792;AB183665.1.1755;AM491009.1.1792;AJ246271.1.1789;KP404715.1.1775;KF130396.1.1761;FN551232.1.1582;EF172993.1.1681;AM490985.1.1724;AB183611.1.1757;KP404674.1.1774;AB058347.1.1756;AM491008.1.1789;AM491002.1.1723;AM491010.1.1778;GU824545.1.1206;AB601108.1.1769;AM491004.1.1800;AM490979.1.1721;KJ762999.1.1800;AM490981.1.1722;GU823940.1.1202;AM491012.1.1801;AB183617.1.1757;EU446347.1.1552;KF130229.1.1762;AM490986.1.1722;KF621000.1.1752;KF130470.1.1761;AF107092.1.1794;AB636316.1.1726;GBYI01024087.1577.3305;GU825190.1.1202;AJ246261.1.1795;AB058348.1.1757;AM490991.1.1730;AB183607.1.1764;HM581634.1.1796;KF129796.1.1759;KF620978.1.1797;GU825016.1.1204;AJ402347.1.1758;KF129692.1.1759;KP404794.1.1699;AM490992.1.1723;KF130605.1.1762;KP404851.1.1702;AB183265.1.1724;KF620979.1.1799;GQ863817.1.1709;KP404672.1.1770;AB183605.1.1757;KF620973.1.1798;EU371174.1.1788;KF620975.1.1798;KJ763222.1.1804;KF684962.1.1757;KF620994.1.1753;KF130130.1.1757;KT861300.1.1757;KF696663.1.1778;AJ246265.1.1789;AB183596.1.1734;AB478413.1.1579;AJ246264.1.1788;AJ544115.1.1719;EU446348.1.1551;KF129663.1.1757;AM490973.1.1734;AF163147.1.1802;KF620990.1.1809;KF620996.1.1754;AM491023.1.1800;KF620977.1.1797;FJ537310.1.1790;KF620998.1.1753;AB847973.1.1646;AM491003.1.1723;GU067782.1.1405;JN381493.1.1802;EF172966.1.1680;JF698782.1.1630;KC488455.1.1665;DQ369019.1.1798;FJ157339.1.1641;KJ759582.1.1796;KJ759287.1.1799;KC582958.1.1796;FJ537355.1.1794;JF261100.1.1800;AF107083.1.1796
KU900226.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Alveolata;order:D_3__Dinoflagellata;family:D_6__Suessiaceae;genus:D_7__Symbiodinium;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	HE653238.1.1737;AB016538.1.1790;GBRZ01000219.49.1839;GBSC01001982.104.1447;EF419282.1.1694;DQ838542.1.1691;AJ271758.1.1572;AB126928.1.1693;AY051086.1.1605;HM067611.1.1774;AY051089.1.1531;AY051099.1.1533;AB126931.1.1695;KC816635.1.1673;AY525027.1.1451;AJ271774.1.1575;U10892.1.1788;KC816661.1.1657;AY664924.1.1754;JN255743.1.1596;JN255741.1.1595;KJ761252.1.1799;AY664922.1.1754;KJ762754.1.1800;EF526773.1.1340;KJ759447.1.1798;AY664958.1.1754;JX840913.1.1300;AY664991.1.1752;AY664943.1.1753;KF130258.1.1759;KJ759718.1.1784;FJ000272.1.1388;LC027036.1.1767;KJ759621.1.1800;KJ757149.1.1798;KJ759474.1.1797;AJ402336.1.1758;FJ000254.1.1382;GU327678.1.1791;EU780632.1.1711;AF379641.1.1693;KJ758246.1.1800;KJ759372.1.1798;KJ763781.1.1796;KJ758348.1.1800;KJ757501.1.1800;KJ759637.1.1802;FJ947038.1.1778;KJ763909.1.1801;KJ758163.1.1787;KJ763818.1.1796;JN255736.1.1584;KC488410.1.1679;AY664929.1.1755;KJ762495.1.1798;AY664877.1.1758;KJ763570.1.1798;KJ758154.1.1797;AY664925.1.1753;KJ762528.1.1800;KJ759464.1.1802;KJ758209.1.1800;AY664887.1.1754;JQ226361.1.1614;KJ757996.1.1802;KJ761359.1.1805;AY665023.1.1758;KJ763737.1.1798;JX188382.1.1760;DQ504312.1.1621;KJ761451.1.1796;KJ759462.1.1802;KJ759362.1.1803;FJ914422.1.1493;AB762397.1.1796;KJ763179.1.1804;EU371139.1.1609;EU446408.1.1519;JQ956280.1.1704;EF016917.1.1802;KJ759377.1.1799;KJ763129.1.1799;KC488415.1.1696;FJ832104.1.1585;KJ762876.1.1802;LC025890.1.1675;FJ914469.1.1493;BASF01015284.22116.24113;KJ759323.1.1791;KJ763253.1.1799;FJ914430.1.1503;DQ386748.1.1523;KJ764216.1.1807;KJ761606.1.1797;DQ504315.1.1652;JF791080.1.1777;JF826350.1.1615;AY664983.1.1754;FJ914424.1.1508
KU900227.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Alveolata;order:D_3__Dinoflagellata;family:D_4__Dinophyceae;genus:D_5__uncultured;species:D_6__uncultured marine dinoflagellate;	superkingdom:100.0;phylum:100.0;class:100.0;order:95.8277777778;family:73.9777777778;genus:69.8944444444;species:73.9777777778;	FJ914432.1.1485;AJ415514.1.1749;FJ914409.1.1526;AF033865.1.1801;LC054933.1.1748;KJ763031.1.1796;KJ763359.1.1795;KJ763128.1.1798;KJ763070.1.1796;KJ762841.1.1801;KC488424.1.1711;KJ763044.1.1797;KJ763326.1.1799;JN098200.1.1539;JN098195.1.1537;AF372784.1.1272;KC488429.1.1673;KJ762863.1.1802;DQ504314.1.1636;FJ914452.1.1526;JN098203.1.1536;EF100400.1.1399;GU823729.1.1201;EF527000.1.1562;KJ762957.1.1803;KJ761133.1.1799;AY664968.1.1756;JX457438.1.1504;FN690154.1.1699;KJ757794.1.1799;HQ438121.1.1602;KJ761570.1.1798;GU647167.1.1539;AF022196.1.1803;KR362891.1.1705;KJ757790.1.1801;KJ758030.1.1798;EU371191.1.1790;KJ757866.1.1795;KJ758393.1.1797;JF826314.1.1615;JF730873.1.1713;DQ837534.1.1782;KJ758101.1.1793;KJ758522.1.1796;KJ758381.1.1800;KJ481834.1.1754;FJ914434.1.1512;KJ757613.1.1810;KJ758050.1.1796;KP790152.1.1783;KJ757968.1.1799;KJ758089.1.1796;AB920349.1.1715;AY664896.1.1755;KJ758055.1.1797;KJ758241.1.1800;KJ758383.1.1797;KJ758078.1.1798;KJ758171.1.1798;KJ758224.1.1799;FJ914407.1.1250;EU371372.1.1763;KT860951.1.1807;KJ758205.1.1795;KJ757890.1.1796;AY664893.1.1754;HQ438112.1.1586;KJ758175.1.1800;KJ758065.1.1800;KJ758284.1.1801;KJ758239.1.1800;AY664975.1.1755;GU824144.1.1220;JN098211.1.1537;KJ757991.1.1806;JF791105.1.1777;EU371356.1.1766;JF826316.1.1596;KJ757813.1.1800;AF022194.1.1803;JF791096.1.1777;KJ758002.1.1801;KJ758275.1.1802;KJ763511.1.1806;KJ758112.1.1796;KJ762456.1.1798;FJ473380.1.1206;KJ763328.1.1800;KJ759633.1.1811;AB211357.1.1742;KJ757753.1.1799;DQ371293.1.1755;DQ371294.1.1754;DQ975471.1.1755;KJ757907.1.1784;JQ996374.1.1806;KJ758294.1.1805;Y16239.1.1788;GU820089.1.1209
