CO1_seq_number	run1	run2	taxonomy	taxonomy_confidence	acessions
KP253993.1_extraction	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Gobiiformes;family:Gobiidae;genus:Coryphopterus;species:Coryphopterus glaucofraenum;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	GQ367355.1;GQ367355.1;KX140632.1;KX140632.1;KP254434.1;KP254434.1;KP253993.1;KP253993.1;JQ840005.1;JQ840005.1;JQ840463.1;JQ840463.1;GQ367367.1;GQ367367.1;JQ841508.1;JQ841508.1;KP253995.1;KP253995.1;GQ367361.1;GQ367361.1;JQ840007.1;JQ840007.1;GQ367373.1;GQ367373.1;KX140189.1;KX140189.1;KX140624.1;KX140624.1;JF769272.1;JF769272.1;GQ367354.1;GQ367354.1;JF769268.1;JF769268.1;JF769276.1;JF769276.1;JQ841509.1;JQ841509.1;JF769284.1;JF769284.1;JQ840006.1;JQ840006.1;GQ367370.1;GQ367370.1;KX140073.1;KX140073.1;GQ367371.1;GQ367371.1;KX140173.1;KX140173.1;KX140252.1;KX140252.1;GQ367379.1;GQ367379.1;KX140232.1;KX140232.1;GQ367359.1;GQ367359.1;JF769273.1;JF769273.1;JF769271.1;JF769271.1;JF769274.1;JF769274.1;KX140262.1;KX140262.1;JF769270.1;JF769270.1;KX140597.1;KX140597.1;KX140551.1;KX140551.1;JF769269.1;JF769269.1;JF769277.1;JF769277.1;GQ367363.1;GQ367363.1;KX140697.1;KX140697.1;KX140069.1;KX140069.1;JF769280.1;JF769280.1;KX140261.1;KX140261.1;KX140387.1;KX140387.1;KX140183.1;KX140183.1;KX140081.1;KX140081.1;GQ367356.1;GQ367356.1;GQ367362.1;GQ367362.1;GQ367357.1;GQ367357.1;GQ367376.1;GQ367376.1;KX140648.1;KX140648.1;KX140460.1;KX140700.1;KX140700.1;KX140186.1;KX140186.1;KX140564.1;GQ367393.1;GQ367393.1;GQ367391.1;GQ367391.1;KF415229.1;JQ354006.1;HQ704767.3;HQ704765.3;KJ450884.1;KF415196.1;HQ712316.1;KF415230.1;HQ704769.3;HQ704768.3;JQ685888.1;JQ685887.1;EU741725.1;KC751797.1;KC751798.1;KC751795.1;KC751794.1
KP253998.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Hippolytidae;genus:NA;species:Hippolytidae sp. BOLD:AAF4969;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:90.3767637053;genus:3.20774543157;species:90.3767637053;	KP255047.1;KP255047.1;KP253998.1;KP253998.1;KP255239.1;KP255239.1;KP254738.1;KP254738.1;KP254468.1;KP254468.1;KP254767.1;KP254767.1;KP254764.1;KP254764.1;KP254033.1;KP254033.1;KP255122.1;KP255122.1;KP254899.1;KP254899.1;KP254672.1;KP254672.1;KP255308.1;KP255308.1;KP254554.1;KP254554.1;KP254925.1;KP254925.1;KP254089.1;KP254089.1;KP254528.1;KP254528.1;KP254606.1;KP254606.1;KP254617.1;KP254617.1;KP254757.1;KP254757.1;KP254626.1;KP254626.1;KP254326.1;KP254326.1;KP254039.1;KP254039.1;KP255285.1;KP255285.1;KP254317.1;KP254317.1;KP254381.1;KP254381.1;KP254290.1;KP254290.1;KP255332.1;KP255332.1;KP254598.1;KP254598.1;KP254141.1;KP254141.1;KP254655.1;KP254655.1;KP254603.1;KP254603.1;KP255319.1;KP255319.1;KP255092.1;KP255092.1;KP254622.1;KP254622.1;KP254681.1;KP254681.1;KP254473.1;KP254473.1;KP255232.1;KP255232.1;KP255048.1;KP254762.1;KP254078.1;KP255223.1;KP254491.1;KP254405.1;KP254687.1;KM571294.1;JN887074.1;JN887075.1;JF412134.1;KJ595102.1;HQ948937.1
KP254006.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:NA;order:NA;family:NA;genus:NA;species:Annelida sp. BOLD:ACQ1281;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP255208.1;KP255208.1;KP254006.1;KP254361.1
KP254038.1_extraction	1	1	superkingdom:Eukaryota;phylum:Echinodermata;class:Ophiuroidea;order:Ophiurida;family:Amphiuridae;genus:Amphipholis;species:Amphipholis squamata;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.8194444444;	KP255252.1;KP255252.1;KP254038.1;KP254038.1;KP254154.1;KP254154.1;KP254330.1;KP254330.1;KP254990.1;KP254990.1;KP254265.1;KP254265.1;KC626140.1;KC626140.1;KU895010.1;KU895010.1;KP254182.1;KP254871.1;KC626137.1;KC626137.1;KC626139.1;KC626139.1;KU594365.1;KU594365.1;KU895373.1;AB758807.1;KU895449.1;KU895009.1;AB542545.1;EF407631.2
KP254059.1_extraction	1	1	superkingdom:Eukaryota;phylum:Mollusca;class:Gastropoda;order:NA;family:NA;genus:NA;species:Gastropoda sp. BOLD:ACQ5764;	superkingdom:100.0;phylum:100.0;class:100.0;order:98.0;family:98.0;genus:98.0;species:100.0;	KP254059.1;KP254059.1;KP254311.1;KP254311.1;KJ831027.1;KJ831027.1;KC756055.1;KY675053.1;KY675056.1;KY675058.1;KY675060.1;KY675059.1;KY675064.1;HM991894.1;KY675055.1;KT820551.1;KY675062.1;KJ831025.1
KP254100.1_extraction	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Batrachoidiformes;family:Batrachoididae;genus:Opsanus;species:Opsanus tau;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:92.9;	KP254100.1;KP254100.1;KP254175.1;KP254175.1;KC442075.1;KC442075.1;KP254671.1;KP254671.1;JQ842614.1;JQ842614.1;KF461213.1;KF461213.1;FJ583769.1;FJ583769.1;JX034013.1;JX034013.1;JX034014.1;JX034014.1;KF461212.1;KF461212.1;KF461211.1;KF461211.1;KF930206.1;KF930206.1;KF446993.1;KM207149.1;EF609452.1
KP254102.1_extraction	1	1	superkingdom:Eukaryota;phylum:Echinodermata;class:Ophiuroidea;order:Ophiurida;family:Ophiactidae;genus:Ophiactis;species:Ophiactis savignyi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254102.1;KP254102.1;KM234230.1;KM234230.1;KY263280.1;KY263280.1;GU480578.1;GU480578.1;KU895148.1;KU895148.1;KF663069.1;KU895229.1;KF663125.1
KP254114.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Alpheus;species:Alpheus sp. BOLD:ACQ2777;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254114.1;KP254114.1;KP254018.1;KP254018.1;KP254618.1;KP254618.1;KP254376.1;KP254376.1;KP254406.1;KP254406.1;KP255338.1;KP255338.1;KP254660.1;KP254660.1;KP254191.1;KP254191.1;KP255008.1;KP255008.1;KP255329.1;KP255329.1;KP254134.1;KP254134.1;KP254769.1;KP254769.1;KP254299.1;KP254299.1;JX135095.1;JX135095.1;JX135094.1;JX135094.1;KP254093.1;KU285955.1;KU285958.1;KU285952.1;KU285954.1;EF092275.1
KP254117.1_extraction	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Blenniidae;genus:NA;species:Blenniidae sp. BOLD:ACP9792;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:40.0;species:100.0;	KP254792.1;KP254792.1;KP254117.1;KP254117.1;KP254578.1;KP254578.1;KP254001.1;KP254001.1;KP255053.1;KP255053.1;KF929810.1;KF929810.1;JQ861024.1;KF930236.1;KP845186.1;FJ583787.1;FJ583788.1;GU804917.1;KP194978.1;KJ609397.1;KP845177.1;JF952881.1;KP194412.1;AP009174.1;EF609395.1;KR861539.1;KF568995.1;JN208418.1;HQ420838.1;FJ583542.1;KY857941.1;KU944860.1;AB988823.1;KT248116.1;KT248117.1
KP254207.1_extraction	1	1	superkingdom:Eukaryota;phylum:Echinodermata;class:Ophiuroidea;order:Ophiurida;family:NA;genus:NA;species:Ophiurida sp. BOLD:ACQ3159;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254207.1;KP254207.1;KC626210.1;KC626209.1;KU895230.1;KC626208.1;KU895225.1;KU895315.1;AB758817.1;KC626203.1;KC626205.1;KU895090.1;KC626204.1;AB758813.1;KU895420.1
