seq_name	mock_sanger	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction	1	superkingdom:Eukaryota;phylum:Bacillariophyta;class:Coscinodiscophyceae;order:Thalassiosirales;family:Thalassiosiraceae;genus:Thalassiosira;species:Thalassiosira pseudonana;	superkingdom:100.0;phylum:89.1712787213;class:89.1712787213;order:89.1712787213;family:89.1712787213;genus:80.8771728272;species:78.2555611056;	DQ093367.1;HQ912555.1;DQ514863.1;HM991698.1;KU900218.1;AF525672.1;DQ514880.1;HF565127.1;JN090893.1;DQ514862.1;AY485452.1;DQ093364.1;KU352756.1;KC315838.1;AF374481.2;GQ148714.1;DQ514851.1;KC736617.1;AY496207.1;KT072987.1;FR865514.1;GQ148716.1;AB430591.1;AY496210.1;KX905101.1;JQ420108.1;AM236073.1;DQ514850.1;AY496211.1;AY496212.1;GQ148712.1;HM805030.1;KT386324.1;DQ514859.1;DQ514860.1;FJ355232.1;FJ349635.1;JQ782070.1;KY364696.1;DQ514853.1;KX905100.1;HQ912576.1;DQ093371.1;FJ349699.1;FJ349698.1;KT386323.1;GU370037.1;KT780978.1;DQ514858.1;KX913724.1;GU370024.1;EF526943.1;AB694703.1;JQ217341.1;JQ420097.1;JQ420101.1;AY221723.1;KC315809.1;AB694697.1;DQ514856.1;KT347147.1;GU385515.1;GU385572.1;DQ514869.1;GU385593.1;GU385573.1;GU385587.1;JQ420124.1;FJ349703.1;GU385566.1;GU385529.1;GU385539.1;FJ349700.1;FJ349701.1;LC191028.1;HM991702.1;AF374479.2;AJ535170.1;GQ281043.1;FJ600728.1;AY485445.1;DQ514879.1;DQ514889.1;GU594641.1;AF374477.2;JF790985.1;LC121844.1;KF733589.1;JF790979.1;AY882498.1;GU385519.1;EU106794.1;KF733556.1;LC189086.1;LC191081.1;HQ710554.1;KT861086.1;AB827454.1;JF708166.1;KU743705.1
KU900219.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Microthamniales;family:NA;genus:Asterochloris;species:Asterochloris phycobiontica;	superkingdom:100.0;phylum:100.0;class:93.0346288515;order:93.0346288515;family:6.96537114846;genus:85.9516106443;species:13.9307422969;	GU017647.1;KP318685.1;KP318694.1;KP318690.1;KP318683.1;KP318692.1;JQ627429.1;KU900219.1;KP318686.1;AB080310.1;KP318684.1;KP318687.1;KP318691.1;KP318695.1;JN573891.1;Z21552.1;KR952314.1;KR952316.1;KR952315.1;EF023527.1;EF023120.1;EF023347.1;EF023800.1;Z28971.1;EF023440.1;LT560368.1;KF673393.1;X74000.1;KX094798.1;KX094801.1;KX094800.1;LT560371.1;LT560369.1;MG696560.1;LT560370.1;KX094802.1;KX094799.1;KY587796.1;HE586513.1;KM020054.1;JN400256.1;KP081373.1;JQ920367.1;HE586516.1;HG972975.1;JF261261.2;JF261266.2;LC075789.1;KF693804.1;KX094805.1;FR865662.1;KF693790.1;KC333461.1;AB902986.1;JN573884.1;AB902990.1;KF130609.1;HG973007.1;KF673392.1;HG973003.1;KM116459.1;LN879479.1;HQ287272.1;KT253181.1;AY250848.1;EF695144.1;KU579625.1;KF144205.1;HQ246325.1;AB721029.1;AB903023.1;KT860926.1;KU579633.1;FM958481.1;MF589939.1;EF695160.1;AJ410447.1;KU579617.1;FN824384.1;JF680957.1;FR865677.1;FM946019.1;EF023693.1;HQ191377.1;KU579547.1;FN824385.1;KU579527.1;KM020177.1;KR002183.1;HF920644.1;FN298929.1;KJ762991.1;LC133501.1;AB058312.1;AF514400.1;JQ315783.1;KF693806.1;KT279443.1;AB488791.1;JN020232.1
KU900220.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Chlorellales;family:Chlorellaceae;genus:Chlorella;species:Chlorella vulgaris;	superkingdom:99.8109682571;phylum:99.1922587752;class:94.3382234324;order:89.1329755312;family:89.1329755312;genus:85.7070567297;species:77.4779037947;	GQ122370.1;KF791544.1;FR865697.1;KT250600.1;KT250605.1;AB260895.1;AB488580.1;KT587788.1;FM205855.1;FR865682.1;AB488579.1;FM205853.1;FR865658.1;AB488581.1;KJ148623.1;AB162910.1;KF319021.1;HQ702293.1;JX127164.1;AB488578.1;FR865681.1;JX185298.1;AB488577.1;KF879591.1;AF360745.1;KT587785.1;KT285521.1;KT250601.1;KT250599.1;AB699112.1;X13688.1;KX094752.1;AM231735.1;KJ756813.1;KF661335.1;KT587787.1;FN298918.1;MF686487.1;KJ756823.1;LC333291.1;KX355553.1;AM231734.1;KX094757.1;FR865696.1;AB488582.1;KR904897.1;FM205832.1;DQ377323.1;JQ315772.1;AB488575.1;HQ702295.1;HQ702294.1;KU900220.1;FR865660.1;KU306723.1;FR865589.1;KX094754.1;FN298917.1;KR904898.1;KX094756.1;MF686452.1;FM205854.1;KU926336.1;KU926337.1;AB488576.1;KM020172.1;JQ315519.1;FR865659.1;KX094755.1;KM020033.1;JX097060.1;X63504.1;KX094751.1;KP341004.1;AB622290.1;FM205833.1;HQ702296.1;KC517115.1;AB178085.1;KT151953.1;KT151952.1;HQ702292.1;MF196918.1;KX094753.1;KY244021.1;KT279468.1;KX618655.1;KP126666.1;KX771777.1;AB699111.1;KC794708.1;JQ360531.1;KF569728.1;KF569724.1;KF569735.1;KF982000.1;KF981999.1;KF569734.1;KT860880.1;KT860627.1
KU900221.1_extraction	1	superkingdom:Eukaryota;phylum:Chlorophyta;class:Chlorophyceae;order:Sphaeropleales;family:Scenedesmaceae;genus:Scenedesmus;species:Tetradesmus obliquus;	superkingdom:100.0;phylum:98.0;class:95.0;order:90.0;family:90.0;genus:28.0;species:20.0;	FR865722.1;KT279478.1;AB917101.1;KC794701.1;KT279473.1;KR904912.1;AY510463.1;KF733545.1;AY510458.1;AY510460.1;LC192133.1;KT279480.1;KF879588.1;KX427160.1;KY268297.1;JQ315567.1;KU900221.1;JQ315585.1;KT279481.1;KT883908.1;KT250606.1;HQ246322.1;JN090881.1;AY197641.1;AY510459.1;JQ315792.1;JQ315572.1;HQ246319.1;KT279465.1;FR865726.1;JQ315791.1;FR865716.1;FR865736.1;KF898121.1;KM985413.1;KC526215.1;AY510461.1;KT279472.1;KP726264.1;KT250603.1;FR865737.1;KY303736.1;AJ249512.1;FR865725.1;JQ315582.1;JQ315565.1;KF144164.1;JX413790.1;KT279448.1;JQ315789.1;JQ315569.1;JQ315571.1;AB037084.1;FR865721.1;AB037097.1;AY510462.1;KF879582.1;JQ315590.1;AB037088.1;AB917100.1;KC439160.1;KX465225.1;FR865719.1;JQ315790.1;KM985405.1;KR904911.1;KX465221.1;X81966.1;JQ315600.1;KT279487.1;KT279492.1;KT267272.1;KP091738.1;AB917118.1;AY510464.1;FR865738.1;MF069190.1;KT279482.1;KT279483.1;AJ249515.1;KJ808696.1;X74002.1;AB037083.1;KU057946.1;KF887343.1;HQ246320.1;JQ315793.1;KF898122.1;KU579616.1;KT279429.1;JX513885.1;AF513372.1;KT587786.1;KP726266.1;KX465223.1;JQ315598.1;FR865734.1;AB037093.1;KY315602.1;KT279449.1
KU900222.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Cryptomonadales;family:Cryptomonadaceae;genus:Cryptomonas;species:Cryptomonas pyrenoidifera;	superkingdom:100.0;phylum:5.19388563539;class:83.7817175204;order:77.8709290383;family:77.8709290383;genus:77.8309290383;species:50.9597542022;	JX453451.1;JX490053.1;KP404767.1;EU163586.1;KU900222.1;AJ421150.1;KC928307.1;AB971059.1;KF907397.1;AJ421147.1;KF907392.1;JX490054.1;AF508267.1;KF907393.1;KP404772.1;AM051197.2;KC928306.1;JN547307.1;JN547314.1;AY919764.1;KF907395.1;AB971060.1;KF907400.1;KF907399.1;KF907398.1;AB971058.1;AF508271.1;KP404774.1;KF907394.1;KC928304.1;KF907385.1;KF907391.1;AM051191.2;AJ421149.1;AJ420696.1;AM051192.2;AJ420695.1;AM051193.2;EU163587.1;KC928300.1;KC928298.1;KF907381.1;KC928299.1;KF907380.1;KF907405.1;KC928297.1;DQ409133.1;AB240954.1;AF508270.1;KF907402.1;KP404773.1;KF907389.1;AB971056.1;AY821953.1;AB971055.1;AM051198.2;AM051190.2;KF907382.1;AY821950.1;AM051199.2;AM051188.2;KF907407.1;AB971057.1;HQ191421.1;KF907409.1;AM051201.2;HQ219463.1;AM901361.1;AB971052.1;AB771888.1;LC129525.1;AM051196.2;KX998867.1;KC928313.1;KC928316.1;KC928315.1;KP404769.1;AM051194.2;KP404663.1;L28811.1;AB240955.1;KC928314.1;HE655350.1;GU067938.1;GU067964.1;GU067937.1;GU067961.1;GU067972.1;GU067993.1;HE655348.1;HE655268.1;GU067946.1;GU067960.1;HE655236.1;KX998836.1;GU067988.1;GU067922.1;GU067930.1;GU068019.1;GU068012.1
KU900223.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Pyrenomonadales;family:Pyrenomonadaceae;genus:Rhodomonas;species:Rhodomonas lens;	superkingdom:100.0;phylum:5.43340095082;class:99.1227810128;order:93.3475339787;family:93.3475339787;genus:90.006853698;species:16.3002028525;	HF952597.1;JQ315655.1;HF952603.1;HF952590.1;HF952584.1;HF952574.1;HF952576.1;HF952581.1;KU900223.1;HF952596.1;HF952575.1;HF952578.1;AB240956.1;AB183594.1;HF952605.1;FJ973361.1;GU594640.1;HF952580.1;HF952585.1;HF952591.1;HM126535.1;AJ007286.1;EU926158.1;HF952594.1;HF952589.1;U53130.1;AB240958.1;HF952566.1;HF952571.1;HF952588.1;HF952592.1;KP404781.1;HF952587.1;AF508274.1;EF527165.1;HF952567.1;HF952583.1;HF952570.1;AB240957.1;HF952568.1;LC129531.1;HF952595.1;HF952569.1;HF952593.1;HF952579.1;HF952586.1;HF952562.1;EF195733.1;HM126532.1;HF952598.1;HF952563.1;HF952559.1;HF952561.1;U53132.1;AF508273.1;HF952560.1;HF952557.1;KP404786.1;HF952556.1;HF952555.1;HF952558.1;X54276.1;KP404783.1;U53128.1;HF952565.1;HF952564.1;AF508276.1;AJ421148.1;EF526982.1;HF952582.1;HF952604.1;JN934672.1;KF039722.1;HF952599.1;HF952601.1;HF952572.1;HF952573.1;KT861332.1;KC488399.1;DQ310223.1;KT817949.1;KT817955.1;AJ965228.1;FJ350428.1;LC191151.1;KY095005.1;KT815680.1;AY295666.1;KT861342.1;KT861329.1;KT861330.1;KT861331.1;AY295419.1;KT861341.1;KT861338.1;HM859455.1;KT861333.1;KT861336.1;KT861334.1;KT861335.1
KU900224.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:NA;order:Prymnesiales;family:Prymnesiaceae;genus:Prymnesium;species:uncultured eukaryote;	superkingdom:100.0;phylum:5.40547201337;class:5.40547201337;order:40.2017126149;family:40.2017126149;genus:40.2017126149;species:54.3928153718;	KU900224.1;KP404905.1;AB183612.1;JN090869.1;KP404686.1;KP405108.1;KP404923.1;L34671.1;KJ756812.1;KP404798.1;AJ246269.1;KF733547.1;KP404685.1;KP404727.1;AJ246268.2;L34670.1;KP404906.1;KP404726.1;KT781065.1;JX291688.1;JX291802.1;JX291738.1;HQ865286.1;AJ246271.1;KP404715.1;KP404673.1;AM779755.1;AM491027.2;AM491010.2;KP404790.1;EF017804.1;KU561110.1;KP404800.1;JX680371.1;KF621000.1;AM491008.2;AM491006.1;FJ546708.1;AM491007.2;HM581563.1;MF039887.1;JX680402.1;KF620971.1;FR865770.1;AM491003.2;LC191014.1;KC888114.1;GQ863798.1;AM490997.2;HM581625.1;KC888102.1;KC888108.1;KU900225.1;KU600444.1;KU600442.1;KU600443.1;JX680414.1;FJ431889.1;HQ868470.1;KJ763331.1;KF621007.1;HQ865162.1;MF589954.1;JX680441.1;HQ869236.1;HQ867481.1;FJ431487.1;HQ869030.1;HM561161.1;HQ868983.1;HQ868657.1;HQ868562.1;FR874448.1;FJ431407.1;HQ868489.1;HQ877921.1;HQ868554.1;GU370025.1;KT812269.1;FJ431495.1;JF698758.1;HM858474.1;KM365435.1;JX680413.1;KT861318.1;AY426941.1;KT815648.1;KR063936.1;KR063942.1;KT812050.1;KR063937.1;KR063924.1;HQ865044.1;AJ965246.1;AY295411.1;KT878670.1;JN693092.1;DQ647532.1;LC191065.1;HM858475.1
KU900225.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:NA;order:Isochrysidales;family:Isochrysidaceae;genus:Isochrysis;species:Isochrysis galbana;	superkingdom:100.0;phylum:6.54147985166;class:6.54147985166;order:96.8448823555;family:89.2632099268;genus:88.2024149132;species:80.6218704577;	KC888108.1;KU600444.1;KC888106.1;KU900225.1;KU600443.1;KC888104.1;KU600445.1;KU600442.1;HM149541.1;KC888109.1;KC888103.1;AM490999.2;KC888105.1;AM490996.2;KC888112.1;HM149540.1;JX680414.1;KC888117.1;KC888115.1;KT781064.1;KC888116.1;KC888114.1;JX680442.1;AM490997.2;HQ877921.1;KC888102.1;AM490998.2;KC888099.1;KC888098.1;KF696664.1;KC888100.1;KC888101.1;KC888095.1;JX680413.1;KC888120.1;KU352749.1;HM149539.1;HM149542.1;KY399776.1;HM246242.1;KC888118.1;HQ877920.1;DQ079859.1;KC888122.1;KX980521.1;DQ075203.1;DQ071574.1;KC888127.1;HQ877903.1;KX980522.1;JN938582.1;KX980524.1;DQ071573.1;KX980525.1;KX980523.1;KT825676.1;HM149543.1;KM057843.1;HQ877902.1;KY054965.1;KC888125.1;JQ423157.1;KC888126.1;HQ877910.1;HQ877911.1;DQ071572.1;GQ118682.1;FJ536744.1;AJ246266.1;KM365435.1;EU924188.1;GU969079.1;KU291211.1;GU969080.1;KC594686.1;KU352754.1;KT814971.1;JX291802.1;AM491000.2;KF733547.1;KU900224.1;L34670.1;KP405108.1;KJ756812.1;KP404905.1;KP404727.1;KP404726.1;KP404923.1;AJ246268.2;KP404798.1;KP404906.1;AB183612.1;KT861287.1;KF621000.1;KF130470.1;JX680373.1;HM581563.1;KT818412.1;LC191014.1;HM857186.1
KU900226.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Suessiales;family:Symbiodiniaceae;genus:Symbiodinium;species:Symbiodinium voratum;	superkingdom:100.0;phylum:5.20045948204;class:100.0;order:98.142481203;family:98.142481203;genus:98.142481203;species:46.8041353383;	AF225965.1;KT860943.1;JN717147.1;HF568834.1;JQ320136.1;HF568830.1;HE653238.1;EF492496.1;KT860942.1;HF568832.1;AY160124.1;HF568831.1;HF568835.1;KU900226.1;EF492514.1;HE653239.1;HF568833.1;LK934675.1;AF274279.1;GU362427.1;KJ650343.1;GU362425.1;GU362424.1;KR092119.1;AB016574.1;KR092117.1;AF238256.1;AB085913.1;AB016581.1;AB016723.1;KR092115.1;M88521.1;KR092118.1;LK934674.1;LK934669.1;AB085911.1;KR092122.1;KC848879.1;KR092114.1;AJ271754.1;AJ271481.1;EU035778.1;AY628357.1;AY456113.1;EF419288.1;AJ271764.1;AY628347.1;KU188513.1;KU188509.1;KU188514.1;AY628354.1;KU188510.1;KU188511.1;KU188515.1;KU188508.1;U10892.1;AY664958.1;KJ759447.1;EF526773.1;JX291882.1;LC027036.1;AB827527.1;GU327679.1;GU327678.1;AF379641.1;FJ431673.1;KJ758154.1;KJ759838.1;AY664877.1;KJ762495.1;KJ762528.1;KJ759464.1;EU818572.1;JQ226361.1;EU500225.1;KJ761359.1;DQ504312.1;FJ431597.1;FN598257.1;AY665023.1;KJ759362.1;EU793937.1;KJ758335.1;KJ763750.1;EU446408.1;EF016917.1;EF016923.1;EF016918.1;EF016922.1;EF016919.1;EF016921.1;EF016920.1;EU371190.1;FN552048.1;LC025890.1;FJ431655.1;KT812995.1;DQ504315.1;JF791080.1;LC025895.1
KU900227.1_extraction	1	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Peridiniales;family:Heterocapsaceae;genus:Heterocapsa;species:Heterocapsa niei;	superkingdom:100.0;phylum:76.8819444444;class:99.8666666667;order:86.2388888889;family:86.2388888889;genus:85.5611111111;species:78.3541666667;	KU900227.1;FJ914432.1;KP685272.1;EF492499.1;MF423350.1;GU647165.1;AY421787.1;AF022198.1;MF423348.1;AJ415514.1;AF274265.1;AB183670.1;MF423347.1;LC054932.1;AY628364.1;MF423349.1;MF423346.1;GU594638.1;AF033865.1;LC054933.1;EF492492.1;KP685256.1;FJ914475.1;KM067428.1;FJ914409.1;FJ914414.1;FJ914406.1;JX661033.1;AF274266.1;FJ549370.1;FJ914415.1;EF492494.1;KF925338.1;FJ914431.1;FJ914458.1;FJ914471.1;JX661034.1;KP685274.1;KJ763255.1;KC488424.1;KJ763359.1;JX661031.1;KX913718.1;AB183639.1;LC189145.1;AY692271.1;HQ864869.1;HQ865020.1;HQ865036.1;DQ386738.1;KC488429.1;KJ762837.1;DQ388464.1;FJ914452.1;JN098203.1;KX532338.1;FJ431760.1;JQ639761.1;FJ914439.1;FJ914438.1;AY664947.1;FJ914434.1;FJ914440.1;JX291899.1;EU500028.1;KT860951.1;AB827570.1;AY664893.1;HQ864902.1;FN598230.1;KT815476.1;FJ431807.1;KT814371.1;KT813501.1;KT810977.1;KT814155.1;HM858692.1;EU350924.1;KT817040.1;JN090911.1;KT815909.1;DQ119959.1;KT860952.1;KT813215.1;KT814441.1;KT815539.1;HM857978.1;KT815554.1;HQ230129.1;HM561070.1;KT818148.1;DQ918118.1;KT815450.1;LC191142.1;Y16239.1;KT816865.1;DQ918629.1;JQ955779.1;KT816164.1;KT813014.1
