CO1_seq_number	run1	run2	taxonomy	taxonomy_confidence	acessions
KP253993.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Panopeidae;genus:Dyspanopeus;species:Dyspanopeus sayi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP253998.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:NA;family:NA;genus:NA;species:Polychaeta sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254006.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:NA;species:Alpheidae sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254038.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Eriphiidae;genus:Menippe;species:Menippe mercenaria;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:75.0;	blast_blca
KP254059.1_extraction	1	1	superkingdom:Eukaryota;phylum:Mollusca;class:Gastropoda;order:NA;family:Placobranchidae;genus:Elysia;species:Elysia subornata;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254100.1_extraction	1	1	superkingdom:Eukaryota;phylum:Platyhelminthes;class:NA;order:NA;family:NA;genus:NA;species:Platyhelminthes sp. FLTWO130-14;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254102.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Phyllodocida;family:Polynoidae;genus:Lepidonotus;species:Lepidonotus humilis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254114.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Isopoda;family:Sphaeromatidae;genus:Cilicaea;species:Cilicaea sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:90.0;	blast_blca
KP254117.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Synalpheus;species:Synalpheus hemphilli;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254207.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Palaemonidae;genus:NA;species:Palaemonidae sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:80.0;genus:100.0;species:80.0;	blast_blca
KP254210.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Phyllodocida;family:Hesionidae;genus:NA;species:Hesionidae sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254222.1_extraction	1	1	superkingdom:Eukaryota;phylum:Echinodermata;class:Ophiuroidea;order:Ophiurida;family:NA;genus:NA;species:Ophiurida sp. BOLD:	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
KP254259.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Eunicida;family:Amphinomidae;genus:Eurythoe;species:Eurythoe complanata;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	blast_blca
