seq_name	mock_sanger	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Stramenopiles;order:D_3__Ochrophyta;family:D_6__Mediophyceae;genus:D_7__Cyclotella;species:D_8__Cyclotella meneghiniana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:96.1666666667;species:67.6666666667;	HF565127.1.2569;DQ514859.1.1767;AY496208.1.1777;JQ420120.1.1784;AY221723.1.1798;DQ514856.1.1722;JQ420125.1.1769;DQ514854.1.1746;JF791034.1.1777;JQ420105.1.1780;JF790979.1.1777;JF790982.1.1777;EF526864.1.1643;JQ781885.1.1796;KM203108.1.1711;AJ810858.1.1803;GU823614.1.1398;AY882504.1.1205;GU823195.1.1201;GU823174.1.1397;AB353772.1.1738;JQ781887.1.1801;FR865519.2.1773;AF374478.1.1804;AY256204.1.1220;DQ514903.1.1735;AB948138.1.1764;AY256296.1.1224;AY256292.1.1217;X85394.1.1798;JF791059.1.1777;KT347147.1.3358;AJ535173.1.1800;DQ093366.1.1806;AB430594.1.1791;AM050629.1.1803;KC284714.1.1781;DQ514876.1.1765;AY882501.1.1214;AY256293.1.1220;HM991693.1.1758;KM203109.1.1700;AY256255.1.1239;AJ968728.1.1795;EU050968.1.1765;GQ148713.1.1782;AJ810856.1.1806;DQ514864.1.1765;AY256313.1.1207;DQ514852.1.1730;AJ810859.1.1809;KJ577863.1.1779;JN676163.1.1781;AJ535168.1.1802;EU371210.1.1803;KJ757896.1.1807;EU371204.1.1783;GU385556.1.1692;GU385575.1.1705;GU385517.1.1702;JQ782060.1.1800;X85397.1.1802;DQ514904.1.1725;AY882497.1.1202;Y10570.1.1802;JQ782059.1.1799;EU371178.1.1781;GU385529.1.1708;GU385531.1.1706;GU385523.1.1702;GU823124.1.1201;DQ514905.1.1749;KJ758190.1.1790;KJ577858.1.1767;GU823004.1.1204;DQ514881.1.1755;GU385526.1.1714;AJ810855.1.1801;DQ093365.1.1807;AF374477.1.1805;DQ514866.1.1750;AF525671.1.1759;DQ514891.1.1754;JQ782038.1.1800;EF585584.1.1758;AY046654.1.1206;DQ514901.1.1749;EU371167.1.1781;JF730764.1.1711;AY665000.1.1757;DQ093368.1.1806;EF192998.1.1618;GU823560.1.1201;AB183641.1.1718;AGNL01025219.4749.6540;GU823341.1.1212;JF791106.1.1777;GU823071.1.1212;KJ758143.1.1801;KP137419.1.1711
KU900219.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:Ambiguous_taxa;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP318683.1.2142;KR952316.1.2077;EF023347.1.1784;AB017435.1.1786;AF516675.1.2158;EU878373.1.1752;HQ191377.1.2601;AF513369.1.1744;KF673393.1.1732;FR865541.2.1769;LC075779.1.2119;FJ946881.1.1726;AF516674.1.1765;KF693810.1.1752;AB240151.1.2162;FM205851.1.2103;FM205857.1.3055;AY195964.1.2125;HQ111431.1.1726;FM205858.1.2597;AJ410463.1.1770;AB080303.1.1788;KF661334.1.1766;JQ920362.1.1769;EF023154.1.1787;AJ410465.1.1774;Z68702.1.2841;JQ259940.1.1752;JX889640.1.1727;GQ487192.1.1743;AF288365.1.2118;FM205863.1.2130;FM205876.1.1779;FM205882.1.2379;AY197625.1.1761;AY220563.1.2242;FM205840.1.2097;AY323840.1.1769;KF693793.1.1755;AB055866.1.2256;AY323839.1.1767;FJ013257.1.2329;KC145436.1.1750;JQ315645.1.1669;JX235961.1.1754;AB175837.1.1748;KF144165.1.1761;AB183601.1.2211;HE586515.1.2118;LC057292.1.1747;FM205844.1.1775;AB257662.1.1775;AB257666.1.1772;FR865604.2.1767;HE586510.3.2169;JQ315595.1.1669;KF693808.1.1512;GQ487227.1.1726;JN400255.1.2261;JN860151.1.1795;JX169844.1.1760;EF023314.1.1782;JX169843.1.1762;FJ946890.1.1730;FM205862.1.2098;FM205836.1.1779;D86501.1.1750;AB058304.1.1749;HM021298.1.1731;HG972975.1.3209;KF144240.1.1749;KM020045.1.2160;JF903801.1.2112;GQ985405.1.1753;HM021308.1.1728;AGSI01000004.2976164.2978397;HG972982.1.2447
KU900220.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:D_4__Trebouxiophyceae;genus:D_6__Chlorella;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:51.3256132756;genus:35.552020202;species:38.1271284271;	FM205858.1.2597;AY195964.1.2125;HQ111431.1.1726;FM205857.1.3055;FM205851.1.2103;FM205882.1.2379;JX889640.1.1727;FM205863.1.2130;LC075779.1.2119;AF288365.1.2118;KF661334.1.1766;AB240151.1.2162;KP726219.1.1764;KF693808.1.1512;FM205842.1.1776;FM205880.1.2094;DQ377322.1.1798;GQ487192.1.1743;AY195973.1.1796;EF024302.1.1784;GQ487227.1.1726;FM205862.1.2098;FJ946890.1.1730;JQ315595.1.1669;FM205840.1.2097;GQ487238.1.1731;GQ487204.1.2716;JN090888.1.1794;FM205876.1.1779;AY195976.1.1794;AF516675.1.2158;AJ439399.1.1795;JX097053.1.1748;AY220081.1.1793;AB713412.1.2727;JX235961.1.1754;AY197630.1.1795;JX296635.1.1731;JX296617.1.1726;FJ013257.1.2329;GQ502287.1.3704;AB488576.1.1648;X56099.1.1802;HQ702286.1.1630;HQ191377.1.2601;AB488589.1.1671;FJ593468.1.1617;KF805714.1.1723;HQ219339.1.2346;LC053773.1.1740;KM020036.1.1775;KF144189.1.1776;KF693810.1.1752;KF805713.1.1721;KF693793.1.1755;KM020057.1.3063;KJ635669.1.1746;HQ191395.1.2738;GU017648.1.1775;AJ306534.1.1716;AB983623.1.1743;GU117580.1.1768;AB972426.1.1741;AB695511.1.1744;FJ946892.1.1778;AB983621.1.1742;AF302769.1.1764;HG972970.1.2399;JN968581.1.1742;KF805715.1.1731;AB488574.1.1644;AB360746.1.1743;FM958480.1.2146;JQ315502.1.1798;KF144210.1.1751;Y17924.1.2561;AB727552.1.1775;AB917110.1.2350;HQ191305.1.3038;KT893857.1.1651;JX446447.1.1200;AJ439401.1.1801;KT893856.1.1645;KT726935.1.1637;AB917116.1.2202;KT893862.1.1649;JN187941.1.1789;AB713408.1.1655;HM483517.1.3814;AJ300527.1.1730;FJ217360.1.1736;AF228688.1.1774;KF574393.1.1718;JQ315547.1.2240;KF574391.1.1721;JQ315545.1.1668;HM483515.1.1744;KM199733.1.1739;LC129522.1.1707;AF228690.1.3425
KU900221.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Archaeplastida;class:D_2__Chloroplastida;order:D_3__Chlorophyta;family:Ambiguous_taxa;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:79.5208797395;family:38.0217223093;genus:46.5839214793;species:47.4483901376;	KC492077.1.1769;KF879581.1.1701;EF024672.1.1785;AB917100.1.1776;JQ315588.1.1670;KP726268.1.1761;AB037097.1.2265;JX513882.1.2819;LWCB01008357.1725.4338;AB037082.1.2710;AB743827.1.2637;FR865674.1.2658;AB742452.1.2184;AB742453.1.2271;JX513881.1.2952;EF023591.1.1771;KT984853.1.2658;EF024072.1.1794;EF023339.1.1787;KC852905.1.1794;AF513379.1.1762;EF023277.1.1786;HG328355.1.1764;KP726224.1.1762;GQ375104.1.2539;AB037098.1.2252;EF023123.1.1782;AB037094.1.1790;AB255363.1.2203;AY122334.1.1769;AF513373.1.1790;FJ946899.1.2546;KM020171.1.1755;EF024611.1.1784;AB037089.1.1788;AB212094.1.1762;AF388377.1.1778;AF388379.1.1785;AF339735.1.2641;FR865718.2.1768;AY197621.1.1794;AY663034.1.2687;HM021298.1.1731;AY197638.1.1757;AF388378.1.1776;HM021308.1.1728;GU827477.1.1744;JQ315558.1.1669;HM021309.1.1722;JQ315561.1.1668;AY195984.1.1793;AB917110.1.2350;AY195974.1.1793;HM021314.1.1731;KF673373.1.3285;AY846378.1.1776;KJ855305.1.1242;AB917116.1.2202;AY846375.1.2552;KF805716.1.1724;FJ946892.1.1778;HM021321.1.1730;KF673366.1.1756;JQ259940.1.1752;HM483517.1.3814;HM483519.1.3292;M62997.1.1800;FR865701.2.1765;AY170311.1.1728;KF144227.1.1777;EF024339.1.1790;EF024750.1.1784;Y17817.1.4661;KR025877.1.1754;AJ300526.1.1766;HM560960.1.2048;JQ315548.1.2059;AB917098.1.1773;AJ300527.1.1730;AY846384.1.2409;AY220563.1.2242;KF673376.1.2080;GQ122380.1.1667;AY846370.1.1784;AB902971.1.1733;AY846380.1.2583;AF302769.1.1764;AF516675.1.2158;AB243988.1.1710;X56099.1.1802;KF615771.1.1635;AY663035.1.1691;AY780663.1.1689;AY846377.1.1735;AF277649.1.1686;HE586510.3.2169;JQ259955.1.1706;KP081379.1.1729;KC852902.1.1263;JQ790559.1.1745
KU900222.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Cryptophyceae;class:D_2__Cryptomonadales;order:D_3__Cryptomonas;family:Ambiguous_taxa;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:98.8333333333;genus:98.8333333333;species:98.8333333333;	KF907387.1.1713;AJ420696.1.1706;AM051191.1.1651;AM051188.1.1659;AM051190.1.1726;AJ421149.1.1703;AJ007276.1.1741;KF907385.1.1714;AJ007281.1.1746;KF907401.1.1699;KF907409.1.1685;JX490053.1.1667;AJ420697.1.1707;KJ925296.1.1658;KC928304.1.1674;AY919710.1.1717;AY919794.1.1707;AY919700.1.1694;KF907403.1.1701;KF907395.1.1662;AJ420698.1.1737;JQ420116.1.1753;AF143943.1.1734;FR874777.1.1771;AJ007285.1.1761;EF526813.1.1388;HQ710589.1.1546;AF508269.1.1725;FR850018.1.1781;AB240953.1.1600;AB240955.1.1591;U53128.1.1747;FM876311.1.1770;KJ757870.1.1795;AB721046.1.1653;KF907369.1.1646;AB240952.1.1603;KC928317.1.1662
KU900223.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Cryptophyceae;class:D_2__Cryptomonadales;order:D_3__Rhodomonas;family:D_4__Pyrenomonas salina;genus:D_5__Pyrenomonas salina;species:D_6__Pyrenomonas salina;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:43.3333333333;genus:43.3333333333;species:43.3333333333;	HF952572.1.2500;X54276.1.1762;HF952582.1.2492;HF952558.1.2543;U53128.1.1747;AJ007286.1.1754;AJ421148.1.1707;HF952562.1.2563;EF195737.1.1721;AF508276.1.1725;AB240956.1.1601;EF526813.1.1388;JQ420106.1.1771;JQ420124.1.1766;AEIE01002671.389.2153;AJ007285.1.1761;AF143943.1.1734;AJ007279.1.1761;JF791030.1.1777;AY665097.1.1724;EF527056.1.1380;EF527143.1.1748;AJ420698.1.1737;JX296577.1.1781;JX296579.1.1797;KF907403.1.1701;FM876311.1.1770;AB058365.1.1726;KJ757870.1.1795;AF143944.1.1738;FR850018.1.1781;AF508269.1.1725;AB364287.1.1726;KJ762964.1.1792;AM051190.1.1726;EU371185.1.1747;AB240960.1.1604
KU900224.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Haptophyta;class:D_2__Prymnesiophyceae;order:D_3__Prymnesiales;family:D_4__Prymnesium;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:82.1666666667;species:82.1666666667;	AM491004.1.1800;GBYI01024087.1577.3305;KF684962.1.1757;AB183611.1.1757;AJ246271.1.1789;KJ763216.1.1781;AB183605.1.1757;AB058358.1.1749;AM491008.1.1789;AB058347.1.1756;AM491012.1.1801;KF620971.1.1798;KF130396.1.1761;FR677016.1.1800;KF130470.1.1761;AM491009.1.1792;KF621000.1.1752;AB183617.1.1757;KJ763010.1.1784;KJ763222.1.1804;AB478412.1.1741;KJ762912.1.1801;KJ760407.1.1804;AJ246261.1.1795;KF130130.1.1757;KF620975.1.1798;AB058348.1.1757;DQ071574.1.1750;KF130129.1.1755;FJ537341.1.1764;AB183607.1.1764;AM491016.1.1802;AJ246272.1.1787;AM491011.1.1802;GU824545.1.1206;AM491010.1.1778;EF172993.1.1681;KF696663.1.1778;KF620978.1.1797;GU823940.1.1202;KF130521.1.1757;KF130550.1.1758;KP404715.1.1775;HQ446272.1.1792;GU825190.1.1202;KJ762999.1.1800;KF620973.1.1798;AB183665.1.1755;KF129796.1.1759;AB636316.1.1726;GU825016.1.1204;KJ763263.1.1797;AB183265.1.1724;GU825073.1.1204;JN381493.1.1802;KF620990.1.1809;AJ246264.1.1788;KF620979.1.1799;KP404672.1.1770;GU825576.1.1204;KP404908.1.1800;HM581633.1.1797;AY851301.1.1802;KP404674.1.1774;EF172980.1.1681;AF107084.1.1798;KF129833.1.1759;HM149540.1.1793;HM581634.1.1796;FN551232.1.1582;KT861300.1.1757;FJ537352.1.1770;AJ246277.1.1782;AJ246273.1.1799;AM490985.1.1724;JF791092.1.1777;AM490986.1.1722;AM491003.1.1723;AM490981.1.1722;AJ246274.1.1786;EU371174.1.1788;AM490987.1.1722;KF620972.1.1793;AM490992.1.1723;GU067782.1.1405;AJ544115.1.1719;AF107083.1.1796;HM581637.1.1797;AM490979.1.1721;KJ759720.1.1802;AF107082.1.1793;AB847971.1.1666;KC582958.1.1796;FJ537355.1.1794;FN690514.1.1693;KJ763084.1.1797;AB478413.1.1579;KF620969.1.1796;AM491017.1.1785;KP404794.1.1699
KU900225.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__Haptophyta;class:D_2__Prymnesiophyceae;order:D_3__Isochrysidales;family:D_4__Isochrysis;genus:Ambiguous_taxa;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	HM149540.1.1793;DQ075200.1.1433;EU924188.1.1780;AB183665.1.1755;KC594686.1.1799;HQ446272.1.1792;KC888095.1.1731;DQ071574.1.1750;AM490997.1.1721;AB478412.1.1741;KJ763010.1.1784;KJ762912.1.1801;AM491008.1.1789;KF130071.1.1754;KJ763222.1.1804;KJ760407.1.1804;KF130130.1.1757;AB636316.1.1726;AB183605.1.1757;KJ763216.1.1781;AM491004.1.1800;AB183617.1.1757;AB058347.1.1756;KF130129.1.1755;FJ537341.1.1764;AJ246264.1.1788;AJ246271.1.1789;GBYI01024087.1577.3305;AJ246272.1.1787;AB058358.1.1749;KP404908.1.1800;GU824545.1.1206;KF684962.1.1757;HM581633.1.1797;KF130396.1.1761;KF130470.1.1761;KF620998.1.1753;KF620971.1.1798;AM491012.1.1801;AB183607.1.1764;JF261100.1.1800;AB183611.1.1757;AM491009.1.1792;KJ763160.1.1804;AM491011.1.1802;KF620975.1.1798;AJ246261.1.1795;KF696663.1.1778;FR677016.1.1800;DQ071573.1.1700;KF129796.1.1759;AJ246265.1.1789;FJ537352.1.1770;KF621000.1.1752;KC888122.1.1721;AB058348.1.1757;AB158370.1.1763;AM491010.1.1778;GU825016.1.1204;AM491023.1.1800;KF130550.1.1758;EF172993.1.1681;AJ402346.1.1758;KF130521.1.1757;KJ763263.1.1797;KF620978.1.1797;GU823940.1.1202;AHAL01010410.794.2002
KU900226.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Alveolata;order:D_3__Dinoflagellata;family:D_6__Suessiaceae;genus:D_7__Symbiodinium;species:Ambiguous_taxa;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:99.2;	HE653238.1.1737;KC816639.1.1639;KC816638.1.1646;HM067613.1.1791;BASF01015284.22116.24113;HM067611.1.1774;AB016594.1.1792;AB016722.1.1792;GBSC01001878.104.1407;AB016538.1.1790;GBSC01001982.104.1447;GBSC01001048.104.1765;HM067608.1.1789;GBRZ01000219.49.1839;HG529978.1.1727;U10892.1.1788;EF432528.1.1728;AF099183.1.1788;KJ759242.1.1793;KJ758468.1.1796;AB016578.1.1792;KC816661.1.1657;KT346265.1.1782;LC068840.1.1783;JF791031.1.1777;KJ763401.1.1794;JX840932.1.1351;AF182822.1.1783;AB085914.1.1733;KC816635.1.1673;AB695506.1.1753;U37365.1.1796;JF791066.1.1777;JF791067.1.1777;DQ310254.1.1803;KJ762832.1.1801;AB275020.1.1707;GU647191.1.1545;GU647174.1.1510;JF791063.1.1777;FR865627.1.1766;KJ762892.1.1799;KJ759564.1.1805;AY664886.1.1754;KJ757200.1.1796;KJ759358.1.1787;FN690258.1.1700;KJ763245.1.1785;KJ759623.1.1791;JF791093.1.1777;HM581765.1.1782;HM581706.1.1796;FN690097.1.1692;KJ762277.1.1800;KJ757407.1.1798;AY665045.1.1753;KJ762869.1.1798;KJ759286.1.1796;HM581720.1.1792;KJ762185.1.1797;KJ763986.1.1822;AY664981.1.1703;KJ763232.1.1801;AY800130.1.1799;FN690065.1.1690;KJ757275.1.1796;KJ759634.1.1797;JF791040.1.1777;JF791032.1.1777;GU825716.1.1223;KF130542.1.1758;KJ761189.1.1798;JF791035.1.1777;JF791048.1.1777;JF791045.1.1777;KJ763179.1.1804;EU371145.1.1794;KJ764339.1.1797;KJ758547.1.1797;KJ757193.1.1802;EU371141.1.1799;EU371140.1.1799;KJ758180.1.1802;JF791044.1.1777;EF526870.1.1411;AY664891.1.1746;AF352818.1.1680;FN690130.1.1701;FN690143.1.1697;EU371334.1.1771;FN690161.1.1685;EU371366.1.1764;AY664881.1.1753;AB261514.1.1767;EU371187.1.1778;KJ762843.1.1796;FN690144.1.1691;FJ914482.1.1529;GU647176.1.1535;DQ386747.1.1535
KU900227.1_extraction	1	superkingdom:D_0__Eukaryota;phylum:D_1__SAR;class:D_2__Alveolata;order:D_3__Dinoflagellata;family:D_6__Peridiniales;genus:D_7__Heterocapsa;species:D_8__Heterocapsa psammophila;	superkingdom:100.0;phylum:100.0;class:100.0;order:97.3;family:94.9;genus:94.9;species:93.7;	AJ415514.1.1749;LC054933.1.1748;KJ762962.1.1825;KJ763070.1.1796;KJ763313.1.1783;AF033865.1.1801;KJ762571.1.1799;KJ763641.1.1786;KR362906.1.1776;KJ763421.1.1790;KJ758361.1.1800;KJ758046.1.1785;KJ760672.1.1797;KJ757309.1.1798;KJ757157.1.1806;EF657885.1.1755;JF791105.1.1777;AY664974.1.1754;AB183674.1.1756;LC054949.1.1767;AF521100.1.1753;JF791046.1.1777;KF130542.1.1758;EU371191.1.1790;JF791035.1.1777;JF791040.1.1777;JF791045.1.1777;JF791048.1.1777;KJ758296.1.1801;KJ757888.1.1800;JN098199.1.1537;KJ757193.1.1802;KJ764339.1.1797;AF274254.1.1749;JF791044.1.1777;JQ420114.1.1770;KJ758273.1.1799;AF372796.1.1669;GU824072.1.1203;GU823710.1.1206;GU824196.1.1222;GU825350.1.1222;FJ000248.1.1380;AY664891.1.1746;JF791032.1.1777;DQ103869.1.1818;FJ541189.1.1448;GU819947.1.1201;GU824610.1.1221;GU823918.1.1203;EF526881.1.1802;KJ757934.1.1798;KJ757628.1.1801;EF526856.1.1749;KJ762875.1.1813;EF100400.1.1399;AY665058.1.1741;AB191414.1.1708;GU823813.1.1203;GU824544.1.1200;KJ763274.1.1798;JF791033.1.1777;GU823903.1.1203;KJ758346.1.1800;KJ762995.1.1792;KJ758072.1.1793;KJ757893.1.1796;KJ758038.1.1799;EF527032.1.1395;KJ757824.1.1800;KJ758055.1.1797;KJ757933.1.1798;KJ758170.1.1812;KJ758242.1.1797;HQ226071.1.1799;KJ758045.1.1797;FJ000193.1.1364;FJ914452.1.1526;KC488440.1.1711;JN098210.1.1538;KJ759709.1.1792;FJ914425.1.1505;JQ956280.1.1704;KJ763079.1.1792;FJ914409.1.1526;KJ758278.1.1799;KJ758006.1.1794;JN832726.1.1705;DQ504332.1.1638;KJ763191.1.1800;HQ438117.1.1608;KJ758065.1.1800;KJ763128.1.1798;FJ914416.1.1489;FJ914461.1.1513;JF826364.1.1609;EF417313.1.1249;KJ758101.1.1793;JF826375.1.1611;FJ914492.1.1536
