seq_name	Andrew	HMP	Extreme	taxonomy	taxonomy_confidence	acessions
read_01	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides vulgatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:23.3976082294;	HM245139.1;HM245139.1;NR_112946.1;NR_112946.1;AM042696.1;AM042696.1;JX519752.1;JX519752.1;KR364743.1;KR364743.1;AB714371.1;AB714371.1;AB714275.1;AB714275.1;HM245091.1;HM245091.1;EU728705.1;EU728705.1;AB714363.1;AB714363.1;CP000139.1;CP000139.1;AB714302.1;AB714302.1;JX519749.1;JX519749.1;JX519750.1;JX519750.1;HM245142.1;HM245142.1;JX519748.1;JX519748.1;JX519744.1;JX519744.1;HM245131.1;HM245131.1;AB714292.1;AB714292.1;JF298873.1;JF298873.1;EU136687.1;EU136687.1;KP944149.1;KP944149.1;JN084207.1;JN084207.1;JN084210.1;JN084210.1;AB714382.1;AB714382.1;JF813176.1;JF813176.1;AB714274.1;AB714274.1;JX519702.1;JX519702.1;HM245077.1;HM245077.1;AB714358.1;AB714358.1;HM245095.1;HM245095.1;HQ012024.1;HQ012024.1;JX519745.1;JX519745.1;KR232871.1;KR232871.1;HM245093.1;HM245093.1;AB470321.1;AB470321.1;CP013020.1;CP013020.1;AB714362.1;AB714362.1;JX519747.1;JX519747.1;JN084209.1;JN084209.1;NR_112143.1;NR_112143.1;JX519746.1;JX519746.1;AB714366.1;AB714366.1;JX519751.1;JX519751.1;HM245074.1;HM245074.1;HM245132.1;HM245132.1;JN084208.2;JN084208.2;HM245136.1;HM245136.1;NR_074515.1;NR_074515.1;JX519703.1;JX519703.1;DQ217839.2;DQ217839.2;CP011531.1;CP011531.1;JX048287.1;JX048287.1;CP007619.1;CP007619.1;NR_041351.1;NR_041351.1;AB242143.1;AB242143.1;KR232902.1;KR232902.1;LC033790.1;LC033790.1;KJ145327.1;KJ145327.1;KP944150.1;KP944150.1;AM117579.1;AM117579.1;KT221551.1;KT221551.1;HQ012025.1;HQ012025.1;AM230647.1;AM230647.1;AB714384.1;AB714384.1;AB714349.1;AB714349.1;AB714367.1;AB714367.1;AB714385.1;AB714385.1;AB714373.1;AB714373.1;AB714356.1;AB714356.1;AB714357.1;AB714357.1;AB714368.1;AB714368.1;AB714372.1;AB714372.1;AB714298.1;AB714298.1;AB714353.1;AB714353.1;AB714365.1;AB714365.1;AB714360.1;AB714360.1;AB714286.1;AB714286.1;AB714380.1;AB714380.1;AB714273.1;AB714273.1;AB714305.1;AB714305.1;AB714374.1;AB714374.1;AB714370.1;AB714370.1;AB714383.1;AB714383.1;AB714361.1;AB714361.1;KT221547.1;KT221547.1;LC333653.1;LC333653.1;AB714294.1;AB714294.1;KP944148.1;KP944148.1;KP944147.1;KP944147.1;AB714350.1;AB714350.1;LN998056.1;LN998056.1;AB253728.1;AB253728.1;NR_041446.1;NR_041446.1;NR_144744.1;NR_144744.1;AB714297.1;AB714297.1;NR_041461.1;NR_041461.1;NR_041642.1;NR_041642.1;AB730668.1
read_02	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Barnesiellaceae;genus:Barnesiella;species:Barnesiella intestinihominis;	superkingdom:100.0;phylum:97.2;class:97.2;order:97.2;family:97.2;genus:97.2;species:82.6;	NR_113073.1;NR_113073.1;NR_041668.1;NR_041668.1;EF608208.1;EF608208.1;KR232914.1;KR232914.1;KR232873.1;KR232873.1;NR_121773.2;NR_121773.2;CP007034.1;CP007034.1;NR_041508.1;NR_041508.1;KT263531.1;KT263531.1;CP021421.1;KP192300.1;AF385555.1;KU726636.1;JN713457.1;JN713457.1;LN998056.1;JN713510.1;JN713510.1;AB053944.1;X73962.1;DQ344915.1;AB053941.1;DQ344914.1;KM462161.1;GU417650.1;KF030194.1;AB253729.1;GU417657.1;CP017038.1;JF813179.1;LC333625.1;AF157056.1;JN713537.1;KM462103.1;NR_044696.1;EU012307.1;EU012310.1;EU012298.1;EU012297.1;KR822459.1;GU418126.1;CP012889.1;CP011995.1;GU429134.1;GU429123.1;FN377756.1;AF414815.1;GU418059.1;EU012314.1;AB035457.1;CP024600.1;GU418057.1;KR074424.1;GU418121.1;EU012330.1;EU012305.1;KM461998.1;AF414814.1;NR_114574.1;EU012311.1;EU012327.1;AB910743.1;GU429135.1;EU012295.1;AF414811.1;GU418060.1;NR_114638.1;EU012332.1;AF287986.1;NR_108635.1
read_03	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Paraprevotella;species:Paraprevotella clara;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	NR_113077.1;NR_113077.1;NR_041626.1;NR_041626.1;NR_041627.1;NR_041627.1;NR_113078.1;NR_113078.1;KM462157.1;LT693061.1;JN713391.1;JN713390.1;KM462152.1;AY349400.1;LT615364.1;NR_118334.1;AY923148.1;GQ422736.1;NR_041448.1;LT745889.1;AB117564.1;LC033796.1;NR_040866.1;AB117563.1;KP944144.1;AB470322.1;AF385564.1;AB215082.1;AB215083.1;LC333720.1;KR822449.1
read_04	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Prevotella;species:Prevotella buccalis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:69.15;	JN867226.1;JN867226.1;JN867261.1;JN867261.1;KC999389.1;KC999389.1;NR_113098.1;NR_113098.1;NR_044630.1;NR_044630.1;JN867243.1;JN867243.1;KF280300.1;KF280300.1;KF007172.1;KF007172.1;JX104019.1;JX104019.1;JN809764.1;JN809764.1;JN809774.1;JN809774.1;KC311753.1;KC311753.1;KF280305.1;KF280305.1;FJ848545.1;FJ848545.1;KP334252.1;KP334252.1;DQ278861.1;DQ278861.1;NR_116832.1;NR_116832.1;HM587317.1;HM587317.1;NR_113320.1;NR_113320.1;AF385558.2;GU424752.1;HM245063.1;HM245084.1;JN867238.1;HM245072.1;HM245086.1;LT699557.1;LN998069.1;FJ825150.1;GU561353.1;HM245064.1;NR_113117.1;JN867223.1;NR_042841.1;HM245104.1;GQ422744.1;AF018441.1;AF018441.1;AF018524.1;AF018524.1;HM245213.1;CP013195.1;CP013195.1;NR_113104.1;NR_113104.1;NR_025281.1;NR_025281.1;KT274175.1;KT274175.1;AF018467.1;AF018467.1;NR_113111.1;NR_041907.1;GU420703.1;AF018439.1;AF018439.1;AF018494.1;AF018494.1;AF018535.1;AF018535.1;AF018446.1;AF018488.1;AF018488.1;AY005062.1;GU409433.1;LT694451.1;AF018532.1
read_05	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Prevotella;species:Prevotella copri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.8666666667;species:64.0043956044;	LN907746.1;LN907746.1;NR_113411.1;NR_113411.1;AB244773.1;AB244773.1;EU728757.1;EU728757.1;AB244772.1;AB244772.1;EU728712.1;EU728712.1;NR_040877.1;NR_040877.1;AB244771.1;AB244771.1;MG592701.1;MG592701.1;MG592702.1;MG592702.1;AB244770.1;AB244770.1;AJ581354.1;AJ581354.1;LT722678.1;LT722678.1;LC333716.1;LC333716.1;EU728752.1;EU728752.1;EU728740.1;EU728740.1;EU728732.1;EU728732.1;LT674774.1;LT674774.1;LT682732.1;LT682732.1;KX833854.1;KX833854.1;LT685739.1;LT685739.1;LT691148.1;LT691148.1;GU432153.1;GU432153.1;LT682130.1;LT682130.1;LT688584.1;LT688584.1;LT683959.1;LT683959.1;AF018470.1;AF018470.1;GU409597.1;GU409597.1;GU412746.1;GU412746.1;AY331415.1;AY331415.1;GU409596.1;GU409596.1;HQ616399.1;HQ616399.1;AF385512.1;AF385512.1;NR_024816.1;NR_024816.1;LT223698.1;LT223698.1;JN867233.1;JN867233.1;GU409638.1;GU409638.1;JX519822.1;JX519822.1;GU409709.1;GU409709.1;GU409708.1;GU409708.1;GU432179.1;GU432179.1;JX519824.1;JX519824.1;NR_113118.1;NR_113118.1;JF803574.1;JF803574.1;GU409735.1;GU409735.1;JN867229.1;JN867229.1;JX519821.1;JX519821.1;U43698.1;U43698.1;GU409743.1;GU409743.1;GQ131410.1;GQ131410.1;GU409637.1;GU409637.1;JX519823.1;JX519823.1;JN867237.1;JN867237.1;L16472.2;L16472.2;NR_029147.1;NR_029147.1;GQ422734.1;GQ422734.1;NR_113120.1;NR_113120.1;AY005055.1;AY005055.1;NR_044628.1;NR_044628.1;AY005056.1;AY005056.1;LT682757.1;LT682757.1;JF803580.1;JF803580.1;AY349396.1;AY349396.1;GU409639.1;GU409639.1;JN867287.1;JN867287.1;GU409640.1;GU409640.1;GU409738.1;GU409738.1;GU432133.1;GU432133.1;NR_044270.1;NR_044270.1;LT689266.1;LT689266.1;AY005057.1;AY005057.1;NR_113110.1;NR_113110.1;GU409369.1;GU409369.1;AY005058.1;AY005058.1;JN867292.1;JN867292.1;NR_116050.1;NR_116050.1;GU409727.1;GU409727.1;GU411029.1;GU411029.1;NR_041908.1;NR_041908.1;GU411030.1;GU411030.1;HM596284.1;HM596284.1;EU562293.1;EU562293.1;NR_113112.1;NR_113112.1;GU470906.1;GU470906.1;LT699431.1;LT699431.1;GU409396.1;GU409396.1;GU561350.1;GU561350.1;GU561342.1;GU561342.1;LC333715.1;LC333715.1;GU409397.1;GU409397.1;AF018509.1;AF018509.1;NR_147404.1;NR_147404.1;LT223577.1;LT223577.1;LC333724.1;LC333724.1;AY158021.1;AY158021.1;JX519820.1;JX519827.1;EU728743.1;LC333717.1;LC333717.1;LT684507.1;LT684507.1
read_06	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Prevotella;species:Prevotella copri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:99.5;genus:99.175;species:63.5578754579;	MG592701.1;MG592701.1;EU728757.1;EU728757.1;AB244771.1;AB244771.1;AB244772.1;AB244772.1;AB244773.1;AB244773.1;EU728712.1;EU728712.1;NR_040877.1;NR_040877.1;AB244770.1;AB244770.1;MG592702.1;MG592702.1;LN907746.1;LN907746.1;NR_113411.1;NR_113411.1;AJ581354.1;AJ581354.1;LT722678.1;LT722678.1;LC333716.1;LC333716.1;EU728752.1;EU728752.1;EU728740.1;EU728740.1;LT687507.1;LT687507.1;S70838.1;S70838.1;AF018456.1;AF018456.1;LT689301.1;LT689301.1;AB730679.1;AB730679.1;U43698.1;U43698.1;JF803574.1;JF803574.1;JX519822.1;JX519822.1;GU409638.1;GU409638.1;GU409743.1;GU409743.1;JX519823.1;JX519823.1;JX519824.1;JX519824.1;GU432179.1;GU432179.1;GU409735.1;GU409735.1;NR_044628.1;NR_044628.1;GU412746.1;GU412746.1;LT223698.1;LT223698.1;GQ433639.1;GQ433639.1;KC311744.1;KC311744.1;AF218617.1;AF218617.1;NR_044270.1;NR_044270.1;AY005057.1;AY005057.1;AY581270.1;GU409396.1;GU409396.1;AB078832.1;NR_040924.1;AB081578.1;GU561342.1;GU561342.1;AF018539.1;AF018539.1;JQ797590.1;JQ797592.1;GU409539.1;GU409540.1;AY005059.1;AF018483.1;AF018483.1;GQ422735.1;AF018482.1;AF018482.1;LC333720.1;GU409464.1;GU409577.1;GU409548.1;GU409547.1;GU409549.1;AF385554.1;AY550997.1;GU409534.1;GU409532.1;AF018511.1;KF933766.1;HM245064.1;NR_113117.1;LN998069.1;GU424752.1;HM245084.1;JN867238.1;HM245086.1;HM245072.1;AB078831.1;HM245213.1;LT679495.1;LT695050.1;LT688648.1;NR_026242.1;LT679451.1;LT679467.1;CP022412.2;EU136686.1;NR_112932.1;NR_112893.1;LT679355.1;NR_113065.1;JF298876.1;AB714283.1;LT679345.1;AB618793.1;JQ607779.1;EU136690.1;AB714463.1;KR232860.1;AB078830.1
read_07	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides ovatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.7638222774;species:29.0383048843;	NR_112940.1;NR_112940.1;JQ608201.1;JQ608201.1;AB470334.1;AB470334.1;NR_115301.1;NR_115301.1;JQ607822.1;JQ607822.1;NR_040865.1;NR_040865.1;EU722734.1;EU722734.1;FJ748583.1;FJ748583.1;JQ607816.1;JQ607816.1;CP012938.1;CP012938.1;NR_116181.1;NR_116181.1;KX826956.1;KX826956.1;NR_119165.1;NR_119165.1;KX025135.1;KX025135.1;JX006520.1;JX006520.1;AY895197.1;AY895197.1;JX006574.1;JX006574.1;KY703634.1;KY703634.1;JQ607811.1;JQ607811.1;DQ100446.1;DQ100446.1;KX025133.1;KX025133.1;KU234406.1;KU234406.1;KR232860.1;KR232860.1;JX519843.1;JX519843.1;AB908394.1;AB908394.1;AY895193.1;AY895193.1;KX025134.1;KX025134.1;KM396275.1;KM396275.1;L16484.1;L16484.1;AY538687.1;AY538687.1;KR364742.1;KR364742.1;JX006767.1;JX006767.1;LT622246.1;LT622246.1;JX519758.1;JX519758.1;GU968166.1;GU968166.1;AY643080.1;AY643080.1;AM117578.1;AM117578.1;KR232920.1;KR232920.1;KP944117.1;KP944117.1;KR232893.1;KR232893.1;JQ607564.1;JQ607564.1;JX048413.1;JX048413.1;KT452899.1;KT452899.1;AY895194.1;AY895194.1;EF608211.1;EF608211.1;KP944115.1;KP944115.1;NR_042499.1;NR_042499.1;AY895185.1;AY895185.1;JN084211.1;JN084211.1;JX519756.1;JX519756.1;JQ607913.1;JQ607913.1;KP944116.1;KP944116.1;JX519754.1;JX519754.1;AY895184.1;AY895184.1;KP202688.1;KP202688.1;JX519755.1;JX519755.1;JQ607549.1;JQ607549.1;JF298879.1;JF298879.1;AY643081.1;AY643081.1;NR_112947.1;NR_112947.1;KX658684.1;KX658684.1;AB908392.1;AB908392.1;JF298887.1;JF298887.1;JX519753.1;JX519753.1;JX519757.1;JX519757.1;JN084212.1;JN084212.1;JX048331.1;JX048331.1;LT598566.3;LT598566.3;AB021159.1;AB021159.1;AB021165.1;AB021165.1;AB021161.1;AB021161.1;CP015401.2;CP015401.2;NR_144606.1;NR_144606.1;KR364741.1;KR364741.1;NR_112931.1;NR_112931.1;NR_041313.1;NR_041313.1;KR364740.1;KR364740.1;EU722740.1;EU722740.1;AB222700.1;AB222700.1;LC033798.1;LC033798.1;KT006899.1;KT006899.1;KY950632.1;KY950632.1;AB021162.1;AB021162.1;EU136694.1;EU136694.1;AB021164.1;AB021164.1;AB021163.1;AB021163.1;KP334255.1;KP334255.1;AB021160.1;AB021160.1;NR_028607.1;NR_028607.1;KC107215.1;KC107215.1;KX658685.1;KX658685.1;AB021156.1;AB021156.1;KP055629.1;KP055629.1;HE608157.1;HE608157.1;GU968173.1;GU968173.1;HM007585.1;HM007585.1;JF813178.1;JF813178.1;KU886094.1;KU886094.1;JN713206.1;JN713206.1
read_08	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides ovatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.7590682279;species:27.6367659247;	JX519753.1;JX519753.1;JF298887.1;JF298887.1;NR_042499.1;NR_042499.1;JX006767.1;JX006767.1;AY895184.1;AY895184.1;JQ607564.1;JQ607564.1;AY538687.1;AY538687.1;KR364742.1;KR364742.1;JX519757.1;JX519757.1;LT622246.1;LT622246.1;JQ607549.1;JQ607549.1;JX519754.1;JX519754.1;NR_112947.1;NR_112947.1;JX519755.1;JX519755.1;JQ607913.1;JQ607913.1;AY895185.1;AY895185.1;JX519756.1;JX519756.1;KP944117.1;KP944117.1;KP202688.1;KP202688.1;KX658684.1;KX658684.1;JF298879.1;JF298879.1;KR232920.1;KR232920.1;JX519758.1;JX519758.1;AB908392.1;AB908392.1;AY895194.1;AY895194.1;AY643081.1;AY643081.1;EF608211.1;EF608211.1;JX048413.1;JX048413.1;JN084211.1;JN084211.1;AY643080.1;AY643080.1;AY895181.1;AY895181.1;NR_119165.1;NR_119165.1;CP015401.2;CP015401.2;KR364741.1;KR364741.1;AB021161.1;AB021161.1;JX048331.1;JX048331.1;NR_144606.1;NR_144606.1;AB021165.1;AB021165.1;AB021159.1;AB021159.1;JX048573.1;JX048573.1;JN084212.1;JN084212.1;KR364740.1;KR364740.1;JX006574.1;JX006574.1;JQ607779.1;JQ607779.1;AB470334.1;AB470334.1;AB021164.1;AB021164.1;LC033798.1;LC033798.1;AB021163.1;AB021163.1;JX006520.1;JX006520.1;KM396275.1;KM396275.1;KU234406.1;KU234406.1;NR_040865.1;NR_040865.1;FJ748583.1;FJ748583.1;KX025134.1;KX025134.1;DQ100446.1;DQ100446.1;KY950632.1;KY950632.1;AY895197.1;AY895197.1;JQ608051.1;JQ608051.1;AB021162.1;AB021162.1;KX025133.1;KX025133.1;AB908394.1;AB908394.1;EU136694.1;EU136694.1;JQ607091.1;JQ607091.1;EU722734.1;EU722734.1;KY703634.1;KY703634.1;EU722740.1;EU722740.1;NR_116181.1;NR_116181.1;AB222700.1;AB222700.1;NR_115301.1;NR_115301.1;NR_112940.1;NR_112940.1;NR_112931.1;NR_112931.1;JQ608201.1;JQ608201.1;AY895193.1;AY895193.1;KT006899.1;KT006899.1;JQ607822.1;JQ607822.1;AB021160.1;AB021160.1;CP012938.1;CP012938.1;JX519843.1;JX519843.1;JQ607816.1;JQ607816.1;NR_041313.1;NR_041313.1;NR_028607.1;NR_028607.1;KP944115.1;KP944115.1;KR232860.1;KR232860.1;KT452899.1;KT452899.1;KR232893.1;KR232893.1;GU968166.1;GU968166.1;AM117578.1;AM117578.1;KP944116.1;KP944116.1;AB021156.1;AB021156.1;KP055629.1;KP055629.1;JQ607930.1;JQ607930.1;KX658685.1;KX658685.1;AY895187.1;AY895187.1;NR_074784.2;NR_074784.2;AY895203.1;AY895203.1;LT691923.1;LT691923.1;LT598566.3;LT598566.3;LT679345.1;LT679345.1;KP334255.1;KP334255.1;JQ607157.1;JQ607157.1
read_09	0	0	1	superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides ovatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.7448826952;species:28.1811907993;	NR_116181.1;NR_116181.1;AB470334.1;AB470334.1;FJ748583.1;FJ748583.1;JQ607816.1;JQ607816.1;NR_040865.1;NR_040865.1;NR_112940.1;NR_112940.1;JQ608201.1;JQ608201.1;JQ607822.1;JQ607822.1;CP012938.1;CP012938.1;NR_115301.1;NR_115301.1;EU722734.1;EU722734.1;KX826956.1;KX826956.1;NR_119165.1;NR_119165.1;JQ607811.1;JQ607811.1;AY895197.1;AY895197.1;KU234406.1;KU234406.1;KR232860.1;KR232860.1;DQ100446.1;DQ100446.1;KM396275.1;KM396275.1;KX025135.1;KX025135.1;JX519843.1;JX519843.1;KX025134.1;KX025134.1;KX025133.1;KX025133.1;AB908394.1;AB908394.1;KY703634.1;KY703634.1;JX006574.1;JX006574.1;JX006520.1;JX006520.1;AY895193.1;AY895193.1;L16484.1;L16484.1;GU968166.1;GU968166.1;AY643080.1;AY643080.1;JQ607913.1;JQ607913.1;KP202688.1;KP202688.1;AY895194.1;AY895194.1;JX519756.1;JX519756.1;JX519757.1;JX519757.1;AY538687.1;AY538687.1;KP944115.1;KP944115.1;AY895184.1;AY895184.1;JX048413.1;JX048413.1;JF298887.1;JF298887.1;KR232920.1;KR232920.1;AY895185.1;AY895185.1;JQ607549.1;JQ607549.1;JN084211.1;JN084211.1;JX519754.1;JX519754.1;AB908392.1;AB908392.1;JF298879.1;JF298879.1;KP944116.1;KP944116.1;KR364742.1;KR364742.1;AM117578.1;AM117578.1;LT622246.1;LT622246.1;NR_042499.1;NR_042499.1;EF608211.1;EF608211.1;JX006767.1;JX006767.1;NR_112947.1;NR_112947.1;JX519753.1;JX519753.1;JQ607564.1;JQ607564.1;KR232893.1;KR232893.1;KX658684.1;KX658684.1;KT452899.1;KT452899.1;JX519758.1;JX519758.1;JX519755.1;JX519755.1;KP944117.1;KP944117.1;AY643081.1;AY643081.1;JN084212.1;JN084212.1;JX048331.1;JX048331.1;CP015401.2;CP015401.2;AB021161.1;AB021161.1;AB021165.1;AB021165.1;NR_144606.1;NR_144606.1;AB021159.1;AB021159.1;LT598566.3;LT598566.3;KR364741.1;KR364741.1;AB222700.1;AB222700.1;NR_112931.1;NR_112931.1;JQ608051.1;JQ608051.1;KR364740.1;KR364740.1;NR_041313.1;NR_041313.1;KP334255.1;KP334255.1;KT006899.1;KT006899.1;NR_028607.1;NR_028607.1;AB021164.1;AB021164.1;AB021160.1;AB021160.1;EU136694.1;EU136694.1;EU722740.1;EU722740.1;KY950632.1;KY950632.1;LC033798.1;LC033798.1;AB021162.1;AB021162.1;AB021163.1;AB021163.1;AB021156.1;AB021156.1;KX658685.1;KX658685.1;AY895187.1;AY895187.1;JQ680134.1;JQ680134.1;JQ680132.1;JQ680132.1;AB542764.1;AB542764.1;JQ680133.1;JQ680133.1;JQ606878.1;JQ606878.1;JN713206.1;JN713206.1
read_10	0	0	1	superkingdom:Bacteria;phylum:Firmicutes;class:Clostridia;order:Clostridiales;family:Clostridiaceae;genus:Clostridium;species:Clostridium sp. OkiF101;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:68.4345238095;genus:54.7698412698;species:13.6646825397;	GU247219.1;GU247219.1;KX426599.1;KX426599.1;AB114232.1;AB114232.1;HM055998.1;HM055998.1;NR_028740.1;NR_028740.1;NR_025796.1;NR_025796.1;JQ271538.1;JQ271538.1;AB114233.1;AB114233.1;AB298755.2;AB298755.2;JQ271555.1;JQ271555.1;FJ957873.1;FJ957873.1;JN873174.1;JN873174.1;KC331198.1;KC331198.1;DQ507245.1;DQ507245.1;Y10030.1;Y10030.1;Y12289.1;Y12289.1;LT799004.1;LT799004.1;AB700364.1;AB700364.1;LC192800.1;LC192800.1;KT274738.1;KT274738.1;KJ722511.1;KJ722511.1;MF988702.1;MF988702.1;KC211016.1;KC211016.1;DQ677019.1;DQ677019.1;DQ223884.1;DQ223884.1;JQ271545.1;JQ271545.1;Y10029.1;Y10029.1;HQ827821.1;HQ827821.1;MF188184.1;MF188184.1;NR_043680.1;NR_043680.1;AJ295659.2;AJ295659.2;KT935665.1;KT935665.1;JQ271584.1;JQ271584.1;DQ677007.1;DQ677007.1;AB910754.1;AB910754.1;JN650298.1;JN650298.1;MF188180.1;MF188180.1;KJ722506.1;KJ722506.1;AY221993.1;AY221993.1;NR_026100.1;NR_026100.1;AY604564.1;AY604564.1;DQ677024.1;DQ677024.1;KJ194910.1;KJ194910.1;AB600536.1;AB600536.1;KJ194905.1;KJ194905.1;KJ194873.1;KJ194873.1;AM884908.1;AM884908.1;AB114228.1;AB114228.1;LT009681.1;LT009681.1;KT633852.1;KT633852.1;KU316943.1;KU316943.1;KJ194847.1;KJ194847.1;HM804852.1;HM804852.1;NR_026494.1;NR_026494.1;KJ194916.1;KJ194916.1;KJ194850.1;KJ194850.1;AB600548.1;AB600548.1;KJ194888.1;KJ194888.1;KJ194926.1;KJ194926.1;KJ194912.1;KJ194912.1;KJ194837.1;KJ194837.1;KJ194917.1;KJ194917.1;LT161895.1;LT161895.1;KR055028.1;KR055028.1;KJ194851.1;KJ194851.1;KJ194854.1;KJ194854.1;KJ194907.1;KJ194907.1;AB601081.1;AB601081.1;KC331206.1;KC331206.1;KJ194923.1;KJ194923.1;DQ677005.1;DQ677005.1;KJ194914.1;KJ194914.1;KJ194843.1;KJ194843.1;AB610574.1;AB610574.1;KJ194908.1;KJ194908.1;AB298754.2;AB298754.2;AJ295658.1;AJ295658.1;LC192799.1;LC192799.1;KJ194874.1;KJ194874.1;AF520990.1;AF520990.1;JQ897427.1;JQ897427.1;JQ897426.1;JQ897426.1;JQ246092.1;JQ246092.1;KJ194925.1;KJ194925.1;KJ194869.1;KJ194869.1;AB601066.1;AB601066.1;AB114231.1;AB114231.1;HQ417162.1;HQ417162.1;KU925801.1;KC143064.1;KC143064.1;KX356505.1;KX356507.1;AJ311620.2;AY653235.1;KX356508.1;KX356509.1;KX009918.1;KX009918.1;NR_044289.1;NR_044289.1;EF564278.1;EF564278.1;KX024579.1;KX024579.1
