seq_name	sequence	sequencesF	sequencesR	mock_sanger	single_or_multiple_hit	end_to_end_or_local	max_percent_id	input_sequence_length	taxonomy	taxonomy_confidence	acessions
KU900218.1_extraction				1	multiple	end_to_end	1.0	387	superkingdom:Eukaryota;phylum:Bacillariophyta;class:Coscinodiscophyceae;order:Thalassiosirales;family:Thalassiosiraceae;genus:Thalassiosira;species:Thalassiosira pseudonana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:90.6896270396;species:87.8883449883;	AY485452.1;DQ514862.1;HQ912555.1;DQ514863.1;HM991698.1;DQ093367.1;AF525672.1;HF565127.1;KU900218.1;DQ514880.1;KU352756.1;DQ093364.1;AF374481.2;AY496208.1;DQ514851.1;GQ148714.1;DQ514861.1;KY364697.1;GQ148716.1;AY496207.1;DQ514850.1;FR865514.1;KF959665.1;KJ961703.1;AY496212.1;KM203109.1;HM805030.1;KX905101.1;KX905102.1;KT072987.1;AY485499.1;KM203108.1;AY496211.1;KC736617.1;GQ148712.1;AM236073.1;AJ535172.1;KT386324.1;AB430591.1;AY496210.1;AY496206.1;DQ514859.1;DQ093371.1;KX905100.1;DQ514860.1;HQ912576.1;KT386323.1;DQ514853.1;AY496213.1;KY364696.1;DQ514858.1;DQ514855.1;AM712618.1;DQ514857.1;JQ217340.1;JQ217341.1;JQ217342.1;DQ514854.1;AY221723.1;JF791071.1;DQ514856.1;DQ514869.1;KT347147.1;EF192997.1;EF192998.1;DQ514881.1;FR873240.1;DQ514875.1;DQ514879.1;HM991702.1;FJ600728.1;AY485445.1;GQ281043.1;AJ535170.1;AF374479.2;DQ514889.1;GU594641.1;AF374477.2;KY399779.1;JF790985.1;JF790979.1;DQ514852.1;EU106794.1;DQ093369.1;KU961672.1;FJ590768.1;KF454006.1;DQ514891.1;KJ755343.1;AB430594.1;JF790978.1;JF790982.1;LC189086.1;HM991692.1;EF140621.1;KJ671719.1;DQ514898.1;HQ710554.1;KT861086.1;JF708166.1
KU900219.1_extraction				1	multiple	end_to_end	1.0	383	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Microthamniales;family:NA;genus:Asterochloris;species:Asterochloris erici;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:7.5698125404;genus:92.3125404008;species:15.1396250808;	KP318695.1;KP318694.1;GU017647.1;KP318692.1;KP318683.1;KP318687.1;KP318690.1;KU900219.1;AB080310.1;KP318691.1;KP318686.1;KP318685.1;KP318684.1;JN573891.1;Z21552.1;KR952314.1;KR952316.1;KR952315.1;AF513369.1;KF693793.1;KT119888.1;KU948224.1;LT560369.1;X74000.1;KX094801.1;KF673393.1;LT560371.1;LT560370.1;KX094800.1;LT560368.1;M62995.1;KX094798.1;AB055865.1;JQ315610.1;KX094799.1;JQ411021.1;FJ946891.1;HQ287928.1;AY422075.1;EF440184.1;GQ502289.1;KM020128.1;AM422985.1;FJ946881.1;KM020170.1;HG972998.1;KT279439.1;AY323840.1;KY054944.1;JQ315619.1;AY762603.1;KX809905.1;HG972972.1;FN597598.1;AB780365.1;JF261273.2;X73991.1;GQ487227.1;KJ616754.1;AF189075.1;AM167525.1;KT253174.1;HG973003.1;JQ356705.1;KU561148.1;JQ988930.1;LT560346.1;JQ259926.1;AB734116.1;LT560345.1;AJ131691.1;FR865524.1;D86495.1;AY197629.1;AJ410451.1;Z68702.1;FN824384.1;JF680957.1;HM245350.1;KJ756839.1;KM020129.1;U63104.1;JN904002.1;HQ702321.1;AB058310.1;FN824385.1;AJ581910.1;KR002183.1;AY220560.1;HF920644.1;GU017655.1;KC166137.1;LC133500.1;AB006048.1;FR865576.1;LC086351.1;KX781326.1;KR904894.1;FR865593.1;FR865586.1
KU900220.1_extraction				1	multiple	end_to_end	1.0	383	superkingdom:Eukaryota;phylum:Chlorophyta;class:Trebouxiophyceae;order:Chlorellales;family:Chlorellaceae;genus:Chlorella;species:Chlorella vulgaris;	superkingdom:100.0;phylum:100.0;class:94.9172537476;order:94.6998710872;family:94.6998710872;genus:90.6144492742;species:81.6602417429;	FN298918.1;KJ756823.1;KJ756813.1;AB699112.1;KT587788.1;KX094756.1;AB488578.1;KX094757.1;FR865660.1;KU900220.1;KT285521.1;KF319021.1;AB488575.1;KT250605.1;FR865697.1;DQ377323.1;FR865589.1;KF879591.1;KT587787.1;MF686487.1;AB488579.1;AB488580.1;AB162910.1;FM205855.1;GQ122370.1;HQ702295.1;AM231735.1;FR865681.1;FM205854.1;KT587785.1;KR904897.1;KJ148623.1;FR865658.1;AF360745.1;MF686452.1;KF791544.1;HQ702293.1;AB488582.1;KT250599.1;X13688.1;FR865682.1;KR904898.1;AM231734.1;FN298917.1;KX094754.1;AB488577.1;KF661335.1;JX185298.1;AB488581.1;JQ315772.1;FM205832.1;KX355553.1;FR865696.1;FM205853.1;KT250601.1;KT250600.1;KU306723.1;LC333291.1;HQ702294.1;KU926337.1;KU926336.1;AB488576.1;KM020172.1;X63504.1;JQ315519.1;FR865659.1;KP341004.1;FM205833.1;KX094755.1;JX097060.1;KM020033.1;HQ702296.1;KT151953.1;KC517115.1;KT151952.1;AB178085.1;FR865662.1;JQ315774.1;HQ702292.1;KX094753.1;KY244021.1;KT279461.1;GQ176853.1;KT279468.1;FM205856.1;KX618655.1;KP126666.1;AB699111.1;KC794708.1;KF569728.1;JQ360531.1;KF569724.1;KF569735.1;KF982000.1;KF981999.1;KF569734.1;AY425299.1;KT860880.1;KT860876.1;KT860627.1
KU900221.1_extraction				1	multiple	end_to_end	1.0	380	superkingdom:Eukaryota;phylum:Chlorophyta;class:Chlorophyceae;order:Sphaeropleales;family:Scenedesmaceae;genus:Scenedesmus;species:Tetradesmus obliquus;	superkingdom:100.0;phylum:100.0;class:100.0;order:94.9048888846;family:94.9048888846;genus:28.9481138972;species:21.3994666845;	KT279437.1;AB037093.1;KT279465.1;HQ246321.1;KT279480.1;KF733545.1;AY510459.1;JQ315565.1;AB917100.1;JQ315793.1;FR865721.1;AY510460.1;KT883908.1;KR904912.1;AY510462.1;FR865716.1;KT279487.1;KT250603.1;FR865719.1;KC439160.1;AY510463.1;FR865738.1;AY510461.1;JX413790.1;AY510458.1;AY510464.1;KU900221.1;KM985413.1;JQ315572.1;KP726264.1;KF898121.1;KR904911.1;JQ315569.1;KT279473.1;KT267272.1;JQ315791.1;AJ249512.1;AY197641.1;KJ808696.1;JQ315590.1;JQ315585.1;FR865726.1;KT279492.1;KT279429.1;KF898122.1;KF879582.1;FR865737.1;JQ315600.1;HQ246322.1;AB037083.1;KT279481.1;KT250602.1;AB037088.1;KX427160.1;KT279482.1;MF069190.1;JQ315582.1;KF144164.1;FR865722.1;KY315602.1;KT279472.1;KP726266.1;KT587786.1;JQ315567.1;KT250606.1;AB037084.1;AB037097.1;KC526215.1;FR865725.1;KC794701.1;JQ315789.1;AF513372.1;LC192133.1;KY303736.1;X74002.1;KM985405.1;HQ246319.1;JQ315790.1;FR865734.1;KT279448.1;JQ315571.1;HQ246320.1;KT279449.1;JX513885.1;KT279483.1;AB917101.1;AJ249515.1;JQ315792.1;AB917118.1;JQ315598.1;FR865736.1;KY268297.1;X81966.1;KF879588.1;KU057946.1;KT279478.1;KP091738.1;KP726265.1;JQ315592.1;KU674362.1
KU900222.1_extraction				1	multiple	end_to_end	1.0	378	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Cryptomonadales;family:Cryptomonadaceae;genus:Cryptomonas;species:Cryptomonas pyrenoidifera;	superkingdom:100.0;phylum:6.78350840336;class:100.0;order:100.0;family:100.0;genus:100.0;species:65.3582633053;	KC928306.1;EU163586.1;AJ421150.1;KF907393.1;AF508267.1;AJ421147.1;AM051197.2;JX490054.1;KF907392.1;KU900222.1;JX453451.1;KC928307.1;KF907397.1;JX490053.1;KF907395.1;KF907399.1;KF907400.1;AF508271.1;KF907398.1;KF907394.1;KC928304.1;AJ420696.1;KC928298.1;AJ421149.1;KF907385.1;KF907391.1;KF907381.1;AJ420695.1;KC928300.1;AM051191.2;KC928299.1;AM051192.2;AM051193.2;EU163587.1;KF907389.1;AB240954.1;KF907402.1;KF907380.1;AF508270.1;KF907405.1;KC928297.1;AM051198.2;AM051188.2;KF907387.1;KF907407.1;AM051199.2;AM051190.2;KF907382.1;AB240953.1;KF907409.1;AM051201.2;AB240952.1;AM901361.1;JQ230004.1;AJ007280.1;KF907377.1;JX490049.1;JX490050.1;KF907369.1;JQ230002.1;KF907373.1;AM051189.2;KC928309.1;JX490048.1;KF907370.1;KF907374.1;KF907372.1;KF907375.1;KF907376.1;KF907378.1;LC129525.1;KF907371.1;HQ710589.1;AM051196.2;AM901364.1;AJ420697.1;KF907384.1;AM051200.2;AJ007281.1;KF907383.1;KC928313.1;KC928315.1;AM051195.2;L28811.1;AM051194.2;KC928316.1;AJ007276.1;AB240955.1;KC928317.1;LC129526.1;KC928314.1;KF907404.1;EF180057.1;KC928319.1;KF907401.1;KF907403.1
KU900223.1_extraction				1	multiple	end_to_end	1.0	378	superkingdom:Eukaryota;phylum:NA;class:Cryptophyta;order:Pyrenomonadales;family:Pyrenomonadaceae;genus:Rhodomonas;species:Rhodomonas lens;	superkingdom:100.0;phylum:5.71333491122;class:100.0;order:94.0398205456;family:94.0398205456;genus:91.655547199;species:17.1400047336;	HF952578.1;HF952581.1;HF952574.1;AB240956.1;KU900223.1;HF952597.1;HF952576.1;HF952605.1;HF952584.1;HF952575.1;HF952596.1;AB183594.1;HF952590.1;HF952603.1;JQ315655.1;FJ973361.1;GU594640.1;EU926158.1;HF952598.1;HF952571.1;AB240957.1;HF952589.1;HF952562.1;HF952568.1;AJ007286.1;U53130.1;HF952586.1;AB240958.1;HF952579.1;HF952594.1;HF952588.1;EF195733.1;LC129531.1;HF952580.1;HM126535.1;HF952592.1;HF952595.1;HF952587.1;HF952583.1;HF952563.1;HF952569.1;AF508274.1;HM126532.1;HF952570.1;HF952567.1;HF952585.1;HF952566.1;HF952593.1;HF952591.1;HF952559.1;HF952557.1;HF952560.1;U53132.1;AF508273.1;HF952561.1;HF952555.1;HF952556.1;HF952558.1;X54276.1;AF508276.1;U53128.1;HF952564.1;HF952565.1;AJ421148.1;X81373.1;HF952582.1;HF952604.1;AB240960.1;HF952572.1;HF952600.1;KF039722.1;HF952601.1;JN934672.1;HF952599.1;KT861332.1;HF952573.1;KF734089.1;AB058365.1;AF143943.1;JQ966995.1;JQ966994.1;EF195737.1;HM126531.1;KY095005.1;EF195738.1;FJ884690.1;FM876311.1;KT861342.1;KT861331.1;KT861329.1;KT861330.1;FR850018.1;AJ007285.1;KT861341.1;JF790986.1;KT861338.1;KT861334.1;KT861336.1;KT861333.1;KT861335.1
KU900224.1_extraction				1	multiple	end_to_end	1.0	384	superkingdom:Eukaryota;phylum:NA;class:NA;order:Prymnesiales;family:Prymnesiaceae;genus:Prymnesium;species:Prymnesium parvum;	superkingdom:100.0;phylum:11.8492424242;class:11.8492424242;order:88.1507575758;family:88.1507575758;genus:88.1507575758;species:59.2462121212;	AB183612.1;L34670.1;KJ756812.1;KF733547.1;L34671.1;AJ246268.2;AJ246269.1;KU900224.1;KT781065.1;AJ004868.1;AM491001.2;AJ246271.1;AM491029.2;AM491027.2;KU561110.1;EF017804.1;AM491028.2;AM779755.1;AM491010.2;KY054990.1;KU561118.1;AM491000.2;AB183611.1;AJ004866.1;FN551246.1;FN551238.1;FN551234.1;FN551232.1;FN551248.1;FN551240.1;FN551237.1;FN551233.1;FN551247.1;FN551249.1;AM491007.2;FN551235.1;FN551243.1;FJ546708.1;FN551241.1;FN551236.1;AM491005.2;AM491006.1;U40923.1;AM491008.2;AM491011.1;JF812342.1;AM491013.2;AJ246272.1;JF794056.1;AM491012.1;MF039887.1;KF422621.1;AJ246274.1;FR865770.1;AM491003.2;AJ246277.1;AJ246273.1;AJ246278.1;FN599060.1;LT560334.1;AM491020.1;AB199882.1;KF684962.1;KT861300.1;KT781064.1;KC888117.1;KC888116.1;AM490997.2;KC888114.1;KC888115.1;KC888112.1;KC888102.1;AM490996.2;AB847976.1;AB847980.1;HM149541.1;KU600442.1;KU600443.1;KC888108.1;KU600444.1;KC888103.1;KC888106.1;KU900225.1;AM490999.2;KC888105.1;KC888104.1;KC888109.1;KU600445.1;KF771252.1;AB847972.1;HM149540.1;DQ980478.1;HQ877921.1;AM491021.2;KM365435.1;KT861317.1;KT861318.1;KT861303.1;KT878670.1;KT861302.1
KU900225.1_extraction				1	multiple	end_to_end	1.0	383	superkingdom:Eukaryota;phylum:NA;class:NA;order:Isochrysidales;family:Isochrysidaceae;genus:Isochrysis;species:Isochrysis galbana;	superkingdom:100.0;phylum:6.94046590664;class:6.94046590664;order:100.0;family:91.8635893518;genus:90.5144487865;species:85.3533970931;	KU600444.1;KU900225.1;KU600442.1;KC888106.1;KC888109.1;KU600445.1;KU600443.1;AM490999.2;HM149541.1;KC888104.1;KC888105.1;KC888103.1;KC888108.1;AM490996.2;HM149540.1;KC888112.1;KC888117.1;KC888116.1;KC888115.1;AM490997.2;KT781064.1;KC888114.1;HQ877921.1;KC888102.1;KC888095.1;KF696664.1;AM490998.2;KC888098.1;KC888101.1;KC888100.1;KC888099.1;HQ877920.1;DQ075203.1;KX980521.1;KU352749.1;DQ079859.1;HM149539.1;HM246242.1;KC888118.1;KC888122.1;KC888120.1;HM149542.1;KY399776.1;DQ071574.1;KX980525.1;HQ877902.1;KY054965.1;KX980522.1;JQ423157.1;KX980523.1;HQ877903.1;KM057843.1;KC888125.1;KX980524.1;DQ071573.1;HM149543.1;KC888126.1;KC888127.1;JN938582.1;HQ877910.1;HQ877911.1;DQ071572.1;FJ536744.1;GQ118682.1;AJ246266.1;KM365435.1;EU924188.1;KU291211.1;KC594686.1;XM_005792518.1;XM_005786329.1;XM_005783370.1;L04957.2;LC189150.1;KU352754.1;AJ004868.1;AM779755.1;AM491000.2;KT781065.1;AB058347.1;AJ246268.2;L34671.1;L34670.1;AJ246269.1;AB183612.1;KJ756812.1;KU900224.1;KF733547.1;KT861287.1;KJ020923.1;LC189148.1;AM490973.2;MF039887.1;EU106827.1;EU106793.1;KT861274.1;KT861258.1;EU106795.1;KT861279.1;KT861275.1
KU900226.1_extraction				1	multiple	end_to_end	1.0	384	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Suessiales;family:Symbiodiniaceae;genus:Symbiodinium;species:Symbiodinium voratum;	superkingdom:100.0;phylum:5.21537176274;class:100.0;order:97.992481203;family:97.992481203;genus:97.992481203;species:46.9383458647;	KT860942.1;KT860943.1;EF492496.1;KU900226.1;AY160124.1;JN717147.1;HF568833.1;HF568831.1;EF492514.1;HF568832.1;HE653239.1;AF225965.1;JQ320136.1;LK934675.1;HF568835.1;HE653238.1;HF568830.1;HF568834.1;AF274279.1;GU362427.1;KJ650343.1;GU362425.1;GU362424.1;M88521.1;KR092113.1;AB085913.1;KR092114.1;LK934672.1;KR092119.1;LK934669.1;KR092123.1;AB016581.1;KR092122.1;LK934674.1;AF238256.1;AB016538.1;KR092116.1;AB016574.1;KR092118.1;AB085911.1;AB016723.1;KR092115.1;KC848879.1;KR092117.1;AJ271754.1;EF419288.1;AJ271761.1;EU035778.1;AY456113.1;AJ271481.1;AB863031.1;AB085912.1;AJ271764.1;KU188513.1;KU188514.1;KU188509.1;AJ271758.1;AJ271759.1;AJ271775.1;KU188511.1;KU188510.1;KU188515.1;AF182822.1;KU188508.1;AF290917.1;AY525027.1;KF925337.1;EF417317.1;U10892.1;LC027036.1;GU327679.1;GU327678.1;AF379641.1;HQ270472.1;FJ947038.1;JN255742.1;KP790154.1;AB921308.1;KJ481817.1;KJ481815.1;AB762397.1;KF543360.1;EF016923.1;KU314866.1;EF016921.1;EF016920.1;EF016917.1;EF016919.1;EF016918.1;EF417314.1;EF016922.1;FN552048.1;LC025890.1;KJ995958.1;LC068838.1;AF172714.1;KR139781.1;JN587290.1;AY721981.1;LC025895.1
KU900227.1_extraction				1	multiple	end_to_end	1.0	384	superkingdom:Eukaryota;phylum:NA;class:Dinophyceae;order:Peridiniales;family:Heterocapsaceae;genus:Heterocapsa;species:Heterocapsa niei;	superkingdom:100.0;phylum:75.0120342076;class:100.0;order:99.3194444444;family:99.3194444444;genus:98.6666666667;species:79.854284441;	KU900227.1;MF423349.1;AB183670.1;AJ415514.1;AF022198.1;MF423348.1;MF423346.1;AF274265.1;EF492499.1;GU594638.1;MF423347.1;AY421787.1;LC054932.1;MF423350.1;EF492492.1;LC054933.1;AF033865.1;EF492494.1;FJ549370.1;JX661033.1;AF274266.1;KF925338.1;JX661034.1;LC189145.1;JX661031.1;AB183639.1;JX661030.1;DQ388464.1;AF274267.1;EF036540.1;DQ779991.1;JQ639761.1;DQ004735.1;HQ270472.1;FJ587220.1;FJ024297.1;HQ270473.1;FJ024298.1;AJ415519.1;AF274253.1;KR362891.1;GQ423576.1;EU293236.1;HQ324897.1;DQ837534.1;EU293238.1;LC054930.1;KJ481834.1;FN392226.1;AY999082.1;AF022196.1;AY443017.1;FN357291.1;AB698451.1;GQ423575.1;AB920349.1;KP790152.1;KT860951.1;AY590483.1;AY112746.1;KC511789.1;AB860180.1;DQ991377.1;AY590485.1;DQ991373.1;DQ991376.1;DQ991378.1;FJ024299.1;KP790169.1;DQ991380.1;DQ991372.1;DQ991379.1;KR362907.1;AF022194.1;EU293237.1;HM853806.1;AY829527.1;FJ473380.1;JX661029.1;HM853811.1;DQ371294.1;DQ371293.1;DQ975472.1;JX661026.1;JX661025.1;DQ371295.1;KY094990.1;DQ975471.1;KY094994.1;AB716917.1;AB211357.1;KT860952.1;JQ996382.1;JQ996375.1;JX627342.1;JX627340.1;JN257669.1;Y16239.1;EU106736.1;GU355680.1
