seq_name	mock_sanger	sum taxonomy
KU900218.1_extraction	1	Chlorophyta;Trebouxiophyceae;Microthamniales;NA;;
KU900219.1_extraction	1	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;
KU900220.1_extraction	1	NA;;;;;
KU900221.1_extraction	1	Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;
KU900222.1_extraction	1	NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;
KU900223.1_extraction	1	NA;Dinophyceae;;;;
KU900224.1_extraction	1	Chlorophyta;;;;;
KU900225.1_extraction	1	Chlorophyta;Chlorophyceae;;;;
KU900226.1_extraction	1	NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;
KU900227.1_extraction	1	NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana
KU900228.1_extraction	1	NA;Dinophyceae;;;;
KU900229.1_extraction	1	NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;;
